pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file
EGFR/HER2,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,28,38,,0.6663533834586466,0.6663533834586466,0.5237584218584672,0.793095238095238,2000,2000,EH40_01;EH40_02;EH40_03;EH40_04;EH40_05;EH40_06;EH40_07;EH40_08;EH40_09;EH40_10;EH40_11;EH40_12;EH40_13;EH40_14;EH40_15;EH120_041;EH120_042;EH120_043;EH120_044;EH120_045;EH120_046;EH120_047;EH120_048;EH120_049;EH120_050;EH120_051;EH120_052;EH120_053,independent recompute; cross-check primary_directional_intervals_review_v1.csv
EGFR/HER2,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,28,32,,0.4296875,0.4296875,0.2817924317062248,0.579011972770499,2000,2000,EH40_01;EH40_02;EH40_03;EH40_04;EH40_05;EH40_06;EH40_07;EH40_08;EH40_09;EH40_10;EH40_11;EH40_12;EH40_13;EH40_14;EH40_15;EH120_041;EH120_042;EH120_043;EH120_044;EH120_045;EH120_046;EH120_047;EH120_048;EH120_049;EH120_050;EH120_051;EH120_052;EH120_053,independent recompute; cross-check primary_directional_intervals_review_v1.csv
EGFR/HER2,main,summary_min,"min(D/A,D/B)",weaker directional arm,28,32,,0.4296875,0.4296875,0.2817924317062248,0.5775046404364821,2000,2000,EH40_01;EH40_02;EH40_03;EH40_04;EH40_05;EH40_06;EH40_07;EH40_08;EH40_09;EH40_10;EH40_11;EH40_12;EH40_13;EH40_14;EH40_15;EH120_041;EH120_042;EH120_043;EH120_044;EH120_045;EH120_046;EH120_047;EH120_048;EH120_049;EH120_050;EH120_051;EH120_052;EH120_053,independent recompute; cross-check primary_directional_intervals_review_v1.csv
EGFR/HER2,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,28,32,12,0.3783482142857143,,0.20161830357142851,0.5524553571428571,,,,independent boot_delta shared dual draw
EGFR/HER2,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,28,38,12,0.053884711779448646,,,,,,,independent boot_delta shared dual draw
EGFR/HER2,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,28,12,,0.7559523809523809,0.756,,,,,,independent complete-case vina_mean
EGFR/HER2,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,28,70,,0.5163265306122449,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint
EGFR/HER2,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,28,70,,0.23962585034013606,,,,,,,secondary diagnostic
EGFR/HER2,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,28,70,,0.16964285714285715,,0.059145422149122794,0.2877330714894653,,,,independent paired ligand resample
JAK1/JAK2,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,32,32,,0.58837890625,0.58837890625,0.4444173177083333,0.7292067307692305,2000,2000,J1J2_065;J1J2_066;J1J2_067;J1J2_068;J1J2_069;J1J2_070;J1J2_071;J1J2_072;J1J2_073;J1J2_074;J1J2_075;J1J2_076;J1J2_077;J1J2_078;J1J2_079;J1J2_080;J1J2_081;J1J2_082;J1J2_083;J1J2_084;J1J2_085;J1J2_086;J1J2_087;J1J2_088;J1J2_089;J1J2_090;J1J2_091;J1J2_092;J1J2_093;J1J2_094;J1J2_095;J1J2_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv
