figure,pair,plotted_or_reported,independent,n_dual,n_A,n_B,n_neither,hardcoded_in_plotter,machine_readable_source,status
Figure 2 / Table 2,EGFR/HER2,0.43,0.4296875,28,38,32,12,audit_figures_pr32.py asserts 0.378/0.444,primary_directional_intervals_review_v1.csv / plotted_values.json,MATCH
Figure 2D / Table S10,EGFR/HER2,1/5/5/0,1/5/5/0,,,,,,audit_outputs/candidate_ranking_audit.csv,MATCH
Figure 2 / Table 2,JAK1/JAK2,0.588,0.58837890625,32,32,32,14,audit_figures_pr32.py asserts 0.378/0.444,primary_directional_intervals_review_v1.csv / plotted_values.json,MATCH
Figure 2D / Table S10,JAK1/JAK2,6/5/0/0,6/5/0/0,,,,,,audit_outputs/candidate_ranking_audit.csv,MATCH
Figure 2 / Table 2,JAK1/TYK2,0.365,0.3649193548387097,31,32,32,14,audit_figures_pr32.py asserts 0.378/0.444,primary_directional_intervals_review_v1.csv / plotted_values.json,MATCH
Figure 2D / Table S10,JAK1/TYK2,1/3/7/0,1/3/7/0,,,,,,audit_outputs/candidate_ranking_audit.csv,MATCH
Figure 2 / Table 2,PIK3CA/mTOR,0.692,0.6921296296296297,18,14,12,4,audit_figures_pr32.py asserts 0.378/0.444,primary_directional_intervals_review_v1.csv / plotted_values.json,MATCH
Figure 2D / Table S10,PIK3CA/mTOR,4/1/0/0,4/1/0/0,,,,,,audit_outputs/candidate_ranking_audit.csv,MATCH
Figure 2 / Table 2,AChE/BChE,0.606,0.6058201058201058,27,25,28,15,audit_figures_pr32.py asserts 0.378/0.444,primary_directional_intervals_review_v1.csv / plotted_values.json,MATCH
Figure 2D / Table S10,AChE/BChE,5/3/1/1,5/3/1/1,,,,,,audit_outputs/candidate_ranking_audit.csv,MATCH
Figure 2 / Table 2,F2/F10,0.345,0.34475806451612906,31,32,32,12,audit_figures_pr32.py asserts 0.378/0.444,primary_directional_intervals_review_v1.csv / plotted_values.json,MATCH
Figure 2D / Table S10,F2/F10,4/1/6/0,4/1/6/0,,,,,,audit_outputs/candidate_ranking_audit.csv,MATCH
Figure 2 / Table 2,PPARG/PPARA,0.649,0.6491935483870968,32,31,32,14,audit_figures_pr32.py asserts 0.378/0.444,primary_directional_intervals_review_v1.csv / plotted_values.json,MATCH
Figure 2D / Table S10,PPARG/PPARA,7/3/0/1,7/3/0/1,,,,,,audit_outputs/candidate_ranking_audit.csv,MATCH
Figure 2 / Table 2,PPARA/PPARD,0.446,0.4462890625,32,32,32,14,audit_figures_pr32.py asserts 0.378/0.444,primary_directional_intervals_review_v1.csv / plotted_values.json,MATCH
Figure 2D / Table S10,PPARA/PPARD,5/2/3/1,5/2/3/1,,,,,,audit_outputs/candidate_ranking_audit.csv,MATCH
