manuscript_section,quoted_text,metric,pair,comparison,reported_value,reported_CI,reported_n,independent_recalculated_value,independent_CI,independent_n,source_result_file,status
Abstract,0.430,AUROC_D_vs_B_pocketA,EGFR/HER2,dual vs B-only,0.430,,28,0.4296875,,28,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Abstract,0.808,AUROC_D_vs_neither_pocketA,EGFR/HER2,dual vs neither score A,0.808,,12,0.8080357142857143,,12,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Abstract,0.378,fixed_score_delta_pocketA,EGFR/HER2,neither minus B-only,0.378,,,0.3783482142857143,,,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Abstract,0.444,fixed_score_delta_pocketA,JAK1/TYK2,neither minus B-only,0.444,,,0.4438364055299539,,,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Abstract,0.023,max_abs_delta_incremental,all,ECFP4 vs ECFP4+docking,0.023,,,0.0234375,,,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Table 2,0.649,summary_min,PPARG/PPARA,weaker directional,0.649,,32,0.6491935483870968,"[0.504,0.751]",32,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Table 3,n=4,n_neither,PIK3CA/mTOR,neither complete-case,n=4,,4,4,,4,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Results,0.692,summary_min_primary_crystal,PIK3CA/mTOR,4L23/4JT6,0.692,,18,0.6921,,18,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Results,0.486,summary_min_4JPS,PIK3CA/mTOR,4JPS/4JT6,0.486,,18,0.4861,,18,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Results,0.505,summary_min_5DXT,PIK3CA/mTOR,5DXT/4JT6,0.505,,18,0.5046,,18,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Results,0.639,summary_min_4JSX,PIK3CA/mTOR,4L23/4JSX,0.639,,18,0.6389,,18,audit_outputs/canonical_ligand_table.csv + independent recompute,MATCH
Table 2,EGFR/HER2 da=0.666,da,EGFR/HER2,da,0.666,,28 / 38 / 32,0.6663533834586466,,28 / 38 / 32,canonical_ligand_table.csv,MATCH
Table 2,EGFR/HER2 db=0.43,db,EGFR/HER2,db,0.43,,28 / 38 / 32,0.4296875,,28 / 38 / 32,canonical_ligand_table.csv,MATCH
Table 2,EGFR/HER2 smin=0.43,smin,EGFR/HER2,smin,0.43,,28 / 38 / 32,0.4296875,,28 / 38 / 32,canonical_ligand_table.csv,MATCH
Table 2,JAK1/JAK2 da=0.588,da,JAK1/JAK2,da,0.588,,32 / 32 / 32,0.58837890625,,32 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,JAK1/JAK2 db=0.728,db,JAK1/JAK2,db,0.728,,32 / 32 / 32,0.7275390625,,32 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,JAK1/JAK2 smin=0.588,smin,JAK1/JAK2,smin,0.588,,32 / 32 / 32,0.58837890625,,32 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,JAK1/TYK2 da=0.575,da,JAK1/TYK2,da,0.575,,31 / 32 / 32,0.5751008064516129,,31 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,JAK1/TYK2 db=0.365,db,JAK1/TYK2,db,0.365,,31 / 32 / 32,0.3649193548387097,,31 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,JAK1/TYK2 smin=0.365,smin,JAK1/TYK2,smin,0.365,,31 / 32 / 32,0.3649193548387097,,31 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,PIK3CA/mTOR da=0.714,da,PIK3CA/mTOR,da,0.714,,18 / 14 / 12,0.7142857142857143,,18 / 14 / 12,canonical_ligand_table.csv,MATCH
Table 2,PIK3CA/mTOR db=0.692,db,PIK3CA/mTOR,db,0.692,,18 / 14 / 12,0.6921296296296297,,18 / 14 / 12,canonical_ligand_table.csv,MATCH
Table 2,PIK3CA/mTOR smin=0.692,smin,PIK3CA/mTOR,smin,0.692,,18 / 14 / 12,0.6921296296296297,,18 / 14 / 12,canonical_ligand_table.csv,MATCH
Table 2,AChE/BChE da=0.65,da,AChE/BChE,da,0.65,,27 / 25 / 28,0.6503703703703704,,27 / 25 / 28,canonical_ligand_table.csv,MATCH
Table 2,AChE/BChE db=0.606,db,AChE/BChE,db,0.606,,27 / 25 / 28,0.6058201058201058,,27 / 25 / 28,canonical_ligand_table.csv,MATCH
Table 2,AChE/BChE smin=0.606,smin,AChE/BChE,smin,0.606,,27 / 25 / 28,0.6058201058201058,,27 / 25 / 28,canonical_ligand_table.csv,MATCH
Table 2,F2/F10 da=0.413,da,F2/F10,da,0.413,,31 / 32 / 32,0.41330645161290325,,31 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,F2/F10 db=0.345,db,F2/F10,db,0.345,,31 / 32 / 32,0.34475806451612906,,31 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,F2/F10 smin=0.345,smin,F2/F10,smin,0.345,,31 / 32 / 32,0.34475806451612906,,31 / 32 / 32,canonical_ligand_table.csv,MATCH
Table 2,PPARG/PPARA da=0.649,da,PPARG/PPARA,da,0.649,,32 / 31 / 32,0.6491935483870968,,32 / 31 / 32,canonical_ligand_table.csv,MATCH
Table 2,PPARG/PPARA db=0.706,db,PPARG/PPARA,db,0.706,,32 / 31 / 32,0.7060546875,,32 / 31 / 32,canonical_ligand_table.csv,MATCH
