analysis_set,ligand_ids_dual,n_A_only,n_B_only,n_complete,n_dual,n_holdout,n_main,n_neither,n_total_rows,overlap_chembl,overlap_ligand_id,overlap_scaffold,overlap_smiles,pair,strict_vs_theta6_mismatch,theta6_vs_membership_mismatch
main,EH120_041;EH120_042;EH120_043;EH120_044;EH120_045;EH120_046;EH120_047;EH120_048;EH120_049;EH120_050;EH120_051;EH120_052;EH120_053;EH40_01;EH40_02;EH40_03;EH40_04;EH40_05;EH40_06;EH40_07;EH40_08;EH40_09;EH40_10;EH40_11;EH40_12;EH40_13;EH40_14;EH40_15,38,32,110,28,,,12,110,,,,,EGFR/HER2,0,0
main,J1J2_065;J1J2_066;J1J2_067;J1J2_068;J1J2_069;J1J2_070;J1J2_071;J1J2_072;J1J2_073;J1J2_074;J1J2_075;J1J2_076;J1J2_077;J1J2_078;J1J2_079;J1J2_080;J1J2_081;J1J2_082;J1J2_083;J1J2_084;J1J2_085;J1J2_086;J1J2_087;J1J2_088;J1J2_089;J1J2_090;J1J2_091;J1J2_092;J1J2_093;J1J2_094;J1J2_095;J1J2_096,32,32,110,32,,,14,110,,,,,JAK1/JAK2,0,0
main,J1TYK2_065;J1TYK2_066;J1TYK2_067;J1TYK2_068;J1TYK2_069;J1TYK2_070;J1TYK2_071;J1TYK2_072;J1TYK2_073;J1TYK2_074;J1TYK2_075;J1TYK2_076;J1TYK2_077;J1TYK2_078;J1TYK2_079;J1TYK2_080;J1TYK2_081;J1TYK2_082;J1TYK2_083;J1TYK2_084;J1TYK2_085;J1TYK2_086;J1TYK2_087;J1TYK2_088;J1TYK2_089;J1TYK2_090;J1TYK2_091;J1TYK2_093;J1TYK2_094;J1TYK2_095;J1TYK2_096,32,32,109,31,,,14,109,,,,,JAK1/TYK2,0,0
main,PM48_01;PM48_02;PM48_03;PM48_04;PM48_05;PM48_06;PM48_07;PM48_08;PM48_09;PM48_10;PM48_11;PM48_12;PM48_13;PM48_14;PM48_15;PM48_16;PM48_17;PM48_18,14,12,48,18,,,4,48,,,,,PIK3CA/mTOR,0,0
main,AB_002;AB_003;AB_004;AB_005;AB_006;AB_007;AB_008;AB_009;AB_010;AB_011;AB_012;AB_013;AB_014;AB_015;AB_016;AB_017;AB_018;AB_019;AB_020;AB_021;AB_022;AB_023;AB_024;AB_025;AB_026;AB_027;AB_028,25,28,95,27,,,15,95,,,,,AChE/BChE,0,0
main,F2F10_065;F2F10_066;F2F10_067;F2F10_068;F2F10_069;F2F10_070;F2F10_071;F2F10_072;F2F10_073;F2F10_074;F2F10_075;F2F10_076;F2F10_077;F2F10_078;F2F10_079;F2F10_081;F2F10_082;F2F10_083;F2F10_084;F2F10_085;F2F10_086;F2F10_087;F2F10_088;F2F10_089;F2F10_090;F2F10_091;F2F10_092;F2F10_093;F2F10_094;F2F10_095;F2F10_096,32,32,107,31,,,12,107,,,,,F2/F10,0,0
main,PGPA_065;PGPA_066;PGPA_067;PGPA_068;PGPA_069;PGPA_070;PGPA_071;PGPA_072;PGPA_073;PGPA_074;PGPA_075;PGPA_076;PGPA_077;PGPA_078;PGPA_079;PGPA_080;PGPA_081;PGPA_082;PGPA_083;PGPA_084;PGPA_085;PGPA_086;PGPA_087;PGPA_088;PGPA_089;PGPA_090;PGPA_091;PGPA_092;PGPA_093;PGPA_094;PGPA_095;PGPA_096,31,32,109,32,,,14,109,,,,,PPARG/PPARA,0,0
main,PAPD_065;PAPD_066;PAPD_067;PAPD_068;PAPD_069;PAPD_070;PAPD_071;PAPD_072;PAPD_073;PAPD_074;PAPD_075;PAPD_076;PAPD_077;PAPD_078;PAPD_079;PAPD_080;PAPD_081;PAPD_082;PAPD_083;PAPD_084;PAPD_085;PAPD_086;PAPD_087;PAPD_088;PAPD_089;PAPD_090;PAPD_091;PAPD_092;PAPD_093;PAPD_094;PAPD_095;PAPD_096,32,32,110,32,,,14,110,,,,,PPARA/PPARD,0,0
holdout_overlap,,,,,,0,110,,,0,0,0,0,EGFR/HER2,,
holdout_overlap,,,,,,58,110,,,0,0,8,0,JAK1/JAK2,,
holdout_overlap,,,,,,60,109,,,0,0,8,0,JAK1/TYK2,,
holdout_overlap,,,,,,60,48,,,0,0,2,0,PIK3CA/mTOR,,
holdout_overlap,,,,,,60,95,,,0,0,9,0,AChE/BChE,,
holdout_overlap,,,,,,59,107,,,0,0,12,0,F2/F10,,
holdout_overlap,,,,,,59,109,,,0,0,15,0,PPARG/PPARA,,
holdout_overlap,,,,,,60,110,,,0,0,17,0,PPARA/PPARD,,
