ligand,gnina_cnn_ACHE,gnina_aff_ACHE,gnina_cnn_BCHE,gnina_aff_BCHE
AB_002,0.5408454537,8.5209350586,0.4531404376,8.4493370056
AB_003,0.6210270524,5.7778716087,0.7625131607,6.2573757172
AB_004,0.2628403902,7.6471867561,0.5469623804,8.6106128693
AB_005,0.5061365962,7.5434584618,0.7815131545,7.6214032173
AB_006,0.8111369014,7.7272815704,0.6579270363,7.8846879005
AB_007,0.3276032209,7.3066945076,0.2850957811,6.9422206879
AB_008,0.9382705688,6.2317194939,0.8894884586,5.2609410286
AB_009,0.4947900772,7.4952225685,0.6281625032,7.9221205711
AB_010,0.8652863503,7.6926350594,0.5139223337,6.6086316109
AB_011,0.9314735532,8.3492164612,0.9056963921,8.6155014038
AB_012,0.729161799,6.4199790955,0.7698507905,6.2369217873
AB_013,0.7687036991,6.5606436729,0.7215676308,6.4042916298
AB_014,0.4696185291,7.7792944908,0.8016522527,8.7113456726
AB_015,0.8076109886,8.5515785217,0.9345625043,8.4008932114
AB_016,0.4990449846,7.3829212189,0.880926013,8.0443887711
AB_017,0.5374085903,7.5002098083,0.9379582405,8.4013404846
AB_018,0.695417881,6.013689518,0.8450699449,6.0674133301
AB_019,0.38196522,7.7408585548,0.8290667534,8.7427873611
AB_020,0.5118341446,6.1540780067,0.8575080633,6.3769302368
AB_021,0.4743965268,6.4026012421,0.9313519001,7.1879706383
AB_022,0.7867801785,8.6866407394,0.6772155166,8.6060361862
AB_023,0.9027300477,7.1065602303,0.609393239,6.864798069
AB_024,0.9563376307,6.6563601494,0.7989614606,6.5434479713
AB_025,0.4155229032,7.5058727264,0.590408802,7.6424484253
AB_026,0.8841359615,8.1817092896,0.6882342696,7.9214634895
AB_027,0.3942637146,7.3228325844,0.4519404173,7.2830653191
AB_028,0.7245132327,8.4474859238,0.5762838125,8.1049032211
AB_029,0.9273124337,7.7525858879,0.6664665937,6.6919455528
AB_030,0.9202072024,7.8904652596,0.9055504203,7.6104869843
AB_031,0.9248306751,8.1498594284,0.5648300052,7.2012677193
AB_032,0.7754949927,6.9820208549,0.871037364,5.9098548889
AB_033,0.9721446633,7.3611969948,0.4997331798,7.0205311775
AB_034,0.9554470778,8.4125394821,0.7360411286,8.2309007645
AB_035,0.9145214558,7.8825874329,0.7269554138,7.4821782112
