target,ligand,mode,status,cnn_score,cnn_affinity,reason
ACHE,AB_002,mode_01,success,0.5408454537,8.5209350586,
ACHE,AB_005,mode_01,success,0.2869314551,7.1437644958,
ACHE,AB_007,mode_01,success,0.3164541721,7.315120697,
ACHE,AB_003,mode_01,success,0.6210270524,5.7778716087,
ACHE,AB_004,mode_01,success,0.2628403902,7.6471867561,
ACHE,AB_006,mode_01,success,0.7576894164,7.8201904297,
ACHE,AB_010,mode_01,success,0.2267367393,7.2178368568,
ACHE,AB_011,mode_01,success,0.2222846895,6.9013199806,
ACHE,AB_008,mode_01,success,0.9382705688,6.2317194939,
ACHE,AB_009,mode_01,success,0.3924945891,7.7340736389,
ACHE,AB_012,mode_01,success,0.729161799,6.4199790955,
ACHE,AB_013,mode_01,success,0.7407779694,6.7526550293,
ACHE,AB_015,mode_01,success,0.565420866,8.2642087936,
ACHE,AB_017,mode_01,success,0.3287650943,6.7039475441,
ACHE,AB_014,mode_01,success,0.4696185291,7.7792944908,
ACHE,AB_019,mode_01,success,0.2557001412,7.0617141724,
ACHE,AB_018,mode_01,success,0.4275693893,5.9316482544,
ACHE,AB_016,mode_01,success,0.1158996895,6.5070757866,
ACHE,AB_023,mode_01,success,0.452537626,7.0214157104,
ACHE,AB_021,mode_01,success,0.1658832431,6.5201568604,
ACHE,AB_020,mode_01,success,0.354152143,5.9363484383,
ACHE,AB_024,mode_01,success,0.1773854643,5.3111195564,
ACHE,AB_022,mode_01,success,0.2638957202,7.3275322914,
ACHE,AB_025,mode_01,success,0.1510172039,5.7509818077,
ACHE,AB_027,mode_01,success,0.3536531031,7.389064312,
ACHE,AB_031,mode_01,success,0.9248306751,8.1498594284,
ACHE,AB_028,mode_01,success,0.66463238,8.5464782715,
ACHE,AB_030,mode_01,success,0.8149284124,7.6573271751,
ACHE,AB_026,mode_01,success,0.8841359615,8.1817092896,
ACHE,AB_029,mode_01,success,0.2332619131,6.241007328,
ACHE,AB_034,mode_01,success,0.6523840427,7.8477797508,
ACHE,AB_032,mode_01,success,0.7260843515,7.3214011192,
ACHE,AB_036,mode_01,success,0.5667610168,7.8855700493,
ACHE,AB_033,mode_01,success,0.9721446633,7.3611969948,
ACHE,AB_037,mode_01,success,0.450628221,6.9482078552,
ACHE,AB_035,mode_01,success,0.9095125794,7.8209357262,
ACHE,AB_040,mode_01,success,0.2045844495,7.5609612465,
ACHE,AB_041,mode_01,success,0.1338947117,4.0182709694,
ACHE,AB_042,mode_01,success,0.9793003798,7.7615590096,
ACHE,AB_039,mode_01,success,0.3167533875,7.4426474571,
ACHE,AB_043,mode_01,success,0.9630286098,7.5927567482,
ACHE,AB_038,mode_01,success,0.2816544473,7.4786381721,
ACHE,AB_049,mode_01,success,0.4866772294,5.9274554253,
ACHE,AB_046,mode_01,success,0.2045844495,7.5609612465,
ACHE,AB_047,mode_01,success,0.9188794494,7.191388607,
ACHE,AB_044,mode_01,success,0.6602657437,7.6732401848,
ACHE,AB_045,mode_01,success,0.4364675879,5.7495560646,
ACHE,AB_048,mode_01,success,0.9861375093,8.0835647583,
ACHE,AB_058,mode_01,success,0.3476882279,7.2823505402,
ACHE,AB_055,mode_01,success,0.2197566926,7.2606506348,
ACHE,AB_051,mode_01,success,0.8444980979,7.1436362267,
ACHE,AB_052,mode_01,success,0.5139035583,5.613073349,
ACHE,AB_050,mode_01,success,0.8997778893,7.4579291344,
ACHE,AB_057,mode_01,success,0.5412853956,8.630613327,
ACHE,AB_060,mode_01,success,0.4420976937,7.2432999611,
ACHE,AB_062,mode_01,success,0.7034772038,7.5814070702,
ACHE,AB_064,mode_01,success,0.3710970283,7.3499603271,
ACHE,AB_061,mode_01,success,0.8560371399,7.3995194435,
ACHE,AB_063,mode_01,success,0.2139267325,6.2664246559,
ACHE,AB_059,mode_01,success,0.2133530378,6.5634922981,
ACHE,AB_069,mode_01,success,0.6403835416,7.5034065247,
ACHE,AB_067,mode_01,success,0.1879510134,6.1080117226,
ACHE,AB_068,mode_01,success,0.6932618618,7.900080204,
ACHE,AB_066,mode_01,success,0.4823396504,6.6899628639,
ACHE,AB_070,mode_01,success,0.4686969221,7.8151078224,
ACHE,AB_065,mode_01,success,0.9637342095,7.3907589912,
ACHE,AB_073,mode_01,success,0.4364631772,7.5864663124,
ACHE,AB_072,mode_01,success,0.4769920111,6.9994125366,
ACHE,AB_076,mode_01,success,0.3642050326,6.9039788246,
ACHE,AB_074,mode_01,success,0.446038872,6.9689731598,
ACHE,AB_075,mode_01,success,0.4131619036,6.8710360527,
ACHE,AB_071,mode_01,success,0.4575417936,8.1806335449,
ACHE,AB_081,mode_01,success,0.8240119815,7.0972771645,
ACHE,AB_082,mode_01,success,0.2899039388,7.093767643,
ACHE,AB_079,mode_01,success,0.1588073969,6.6200633049,
ACHE,AB_080,mode_01,success,0.8773581982,7.14793396,
ACHE,AB_078,mode_01,success,0.1698900759,5.8780150414,
ACHE,AB_077,mode_01,success,0.514036417,6.0379734039,
ACHE,AB_085,mode_01,success,0.3308858871,6.3102817535,
ACHE,AB_086,mode_01,success,0.560288012,6.951315403,
ACHE,AB_088,mode_01,success,0.2309778035,5.4311561584,
ACHE,AB_084,mode_01,success,0.2629770339,6.9695091248,
ACHE,AB_083,mode_01,success,0.3043540716,7.6511936188,
ACHE,AB_087,mode_01,success,0.1694022566,6.7893333435,
ACHE,AB_094,mode_01,success,0.9094572067,7.2568993568,
ACHE,AB_091,mode_01,success,0.5389244556,7.0333733559,
ACHE,AB_092,mode_01,success,0.6499919891,7.2287940979,
ACHE,AB_089,mode_01,success,0.8183974624,7.5489830971,
ACHE,AB_090,mode_01,success,0.9126163721,7.3183302879,
ACHE,AB_093,mode_01,success,0.1295420825,6.518846035,
ACHE,AB_095,mode_01,success,0.5764253139,7.1292567253,
ACHE,AB_096,mode_01,success,0.4184320867,6.5452466011,
ACHE,AB_098,mode_01,success,0.6493096948,7.7455515862,
ACHE,AB_097,mode_01,success,0.3299292922,8.1867551804,
ACHE,AB_099,mode_01,success,0.7782356143,7.2188220024,
ACHE,AB_100,mode_01,success,0.4362801015,5.8563308716,
BCHE,AB_003,mode_01,success,0.4808607697,5.8077259064,
BCHE,AB_002,mode_01,success,0.4531404376,8.4493370056,
BCHE,AB_006,mode_01,success,0.5831249356,7.7197670937,
BCHE,AB_005,mode_01,success,0.7809686661,7.675239563,
BCHE,AB_004,mode_01,success,0.2737579346,7.8202614784,
BCHE,AB_007,mode_01,success,0.1719632,6.907225132,
BCHE,AB_012,mode_01,success,0.7698507905,6.2369217873,
BCHE,AB_011,mode_01,success,0.3886272311,7.9297676086,
BCHE,AB_013,mode_01,success,0.4434059858,6.0074572563,
BCHE,AB_008,mode_01,success,0.7969833612,6.2154250145,
BCHE,AB_010,mode_01,success,0.1769875139,6.0689754486,
BCHE,AB_009,mode_01,success,0.3822372556,7.0908904076,
BCHE,AB_016,mode_01,success,0.7575775981,7.8052535057,
BCHE,AB_018,mode_01,success,0.8206056952,6.4167308807,
BCHE,AB_014,mode_01,success,0.1883319467,7.2327246666,
BCHE,AB_019,mode_01,success,0.6674522758,8.6408920288,
BCHE,AB_015,mode_01,success,0.8752471209,8.2146482468,
BCHE,AB_017,mode_01,success,0.9379582405,8.4013404846,
BCHE,AB_021,mode_01,success,0.6565197706,7.198343277,
BCHE,AB_024,mode_01,success,0.7989614606,6.5434479713,
BCHE,AB_020,mode_01,success,0.565208137,6.2237048149,
BCHE,AB_023,mode_01,success,0.609393239,6.864798069,
BCHE,AB_022,mode_01,success,0.600913763,8.1722230911,
BCHE,AB_025,mode_01,success,0.1865300685,6.8609867096,
BCHE,AB_027,mode_01,success,0.4208875299,7.2416710854,
BCHE,AB_029,mode_01,success,0.4511795044,6.4250626564,
BCHE,AB_030,mode_01,success,0.9055504203,7.6104869843,
BCHE,AB_026,mode_01,success,0.511418283,7.6081280708,
BCHE,AB_028,mode_01,success,0.3628659248,7.498898983,
BCHE,AB_031,mode_01,success,0.4167961776,6.4920463562,
BCHE,AB_033,mode_01,success,0.4007860422,6.6193327904,
BCHE,AB_035,mode_01,success,0.6699423194,7.2231369019,
BCHE,AB_036,mode_01,success,0.182585597,6.2946562767,
BCHE,AB_034,mode_01,success,0.4933508635,7.3680291176,
BCHE,AB_032,mode_01,success,0.3487765193,5.2760043144,
BCHE,AB_037,mode_01,success,0.4639336169,6.2693791389,
BCHE,AB_040,mode_01,success,0.6636577249,8.9238967896,
BCHE,AB_039,mode_01,success,0.1163217351,5.9939827919,
BCHE,AB_041,mode_01,success,0.2044444382,3.8427722454,
