ligand,target,vina_mode,rtmscore
AB_048,ACHE,1,55.16124166676586
AB_043,ACHE,3,51.78178840400599
AB_035,ACHE,3,49.00015645324056
AB_025,ACHE,5,48.84770530547748
AB_043,ACHE,1,47.98909596871284
AB_029,ACHE,3,47.84960904889951
AB_005,ACHE,5,47.69810481281598
AB_022,ACHE,7,47.627429644526735
AB_037,ACHE,2,47.42186316888522
AB_037,ACHE,8,47.29734625533777
AB_042,ACHE,1,46.89388017391431
AB_039,ACHE,8,46.72548538396478
AB_047,ACHE,1,46.60537415681621
AB_033,ACHE,1,46.27772746668304
AB_044,ACHE,4,46.14237835181067
AB_030,ACHE,3,46.1191797885193
AB_035,ACHE,2,45.89022051392223
AB_057,ACHE,4,45.795631592983774
AB_044,ACHE,5,45.73744583835484
AB_011,ACHE,9,45.49684637561697
AB_039,ACHE,5,45.32850304900521
AB_024,ACHE,3,44.54824090383993
AB_005,ACHE,3,44.54090265885222
AB_030,ACHE,1,44.508325919635375
AB_005,ACHE,4,44.38013542062331
AB_057,ACHE,1,44.15318915517361
AB_025,ACHE,4,43.70314275014203
AB_039,ACHE,2,43.26578473982629
AB_016,ACHE,9,43.23104334352684
AB_084,ACHE,8,43.144816556363104
AB_022,ACHE,6,43.13675265017512
AB_002,ACHE,5,42.919312871771965
AB_060,ACHE,1,42.87012109719539
AB_039,ACHE,4,42.69171196061783
AB_025,ACHE,1,42.67590347479478
AB_002,ACHE,3,42.634549151160726
AB_023,ACHE,1,42.47346916486738
AB_038,ACHE,3,42.39248155986793
AB_057,ACHE,2,42.232631747503255
AB_023,ACHE,7,42.1852613347
AB_039,ACHE,6,41.94862896009872
AB_037,ACHE,1,41.80149111225074
AB_098,ACHE,2,41.76884286905116
AB_035,ACHE,1,41.76030090868285
AB_044,ACHE,1,41.67784063466042
AB_078,ACHE,7,41.657113510191486
AB_024,ACHE,2,41.59206450228366
AB_039,ACHE,9,41.54004443146037
AB_047,ACHE,3,41.442971812061295
AB_011,ACHE,1,41.30028778959429
AB_047,ACHE,5,41.25921820556509
AB_038,ACHE,2,41.1843637263483
AB_035,ACHE,5,41.18211947542238
AB_019,ACHE,1,41.169771451103045
AB_090,ACHE,9,41.168927732965706
AB_031,ACHE,1,41.04509977910227
AB_039,ACHE,3,40.93338144026643
AB_057,ACHE,5,40.84511271221753
AB_017,ACHE,3,40.7413047018344
AB_058,ACHE,4,40.69778691333414
AB_011,ACHE,5,40.681461767742434
AB_002,ACHE,6,40.67484252048504
