target,ligand,status,n_modes,reason
3RCD,EH120_042,success,9,
3POZ,EH120_042,success,9,
3RCD,EH120_043,success,9,
3POZ,EH120_043,success,9,
3RCD,EH120_041,success,9,
3RCD,EH120_044,success,9,
3POZ,EH120_044,success,9,
3POZ,EH120_041,success,9,
3POZ,EH120_045,success,9,
3RCD,EH120_045,success,9,
3RCD,EH120_048,success,9,
3POZ,EH120_048,success,9,
3POZ,EH120_046,success,9,
3RCD,EH120_046,success,9,
3RCD,EH120_049,success,9,
3POZ,EH120_049,success,9,
3POZ,EH120_047,success,9,
3RCD,EH120_047,success,9,
3POZ,EH120_051,success,9,
3RCD,EH120_051,success,9,
3RCD,EH120_052,success,9,
3RCD,EH120_050,success,9,
3POZ,EH120_050,success,9,
3POZ,EH120_052,success,9,
3POZ,EH120_054,success,9,
3RCD,EH120_054,success,9,
3RCD,EH120_053,success,9,
3POZ,EH120_053,success,8,
3POZ,EH120_055,success,9,
3RCD,EH120_055,success,9,
3POZ,EH120_057,success,9,
3RCD,EH120_057,success,9,
3POZ,EH120_059,success,9,
3RCD,EH120_059,success,9,
3RCD,EH120_058,success,9,
3POZ,EH120_058,success,9,
3RCD,EH120_060,success,9,
3POZ,EH120_060,success,9,
3POZ,EH120_056,success,9,
3RCD,EH120_056,success,9,
3RCD,EH120_061,success,9,
3POZ,EH120_061,success,9,
3POZ,EH120_063,success,9,
3POZ,EH120_064,success,9,
3RCD,EH120_063,success,9,
3RCD,EH120_064,success,9,
3RCD,EH120_065,success,9,
3RCD,EH120_062,success,9,
3POZ,EH120_065,success,8,
3POZ,EH120_062,success,9,
3RCD,EH120_067,success,9,
3POZ,EH120_067,success,9,
3RCD,EH120_069,success,9,
3POZ,EH120_069,success,9,
3RCD,EH120_066,success,9,
3POZ,EH120_066,success,9,
3POZ,EH120_070,success,9,
3RCD,EH120_070,success,9,
3RCD,EH120_071,success,9,
3POZ,EH120_071,success,9,
3RCD,EH120_072,success,9,
3POZ,EH120_072,success,9,
3POZ,EH120_074,success,9,
3RCD,EH120_074,success,9,
3POZ,EH120_073,success,9,
3RCD,EH120_073,success,9,
3RCD,EH120_075,success,9,
3POZ,EH120_075,success,9,
3RCD,EH120_076,success,9,
3POZ,EH120_076,success,9,
3POZ,EH120_077,success,9,
3RCD,EH120_077,success,9,
3POZ,EH120_079,success,9,
3RCD,EH120_079,success,9,
3RCD,EH120_078,success,9,
3POZ,EH120_078,success,9,
3POZ,EH120_068,success,9,
3RCD,EH120_068,success,9,
3RCD,EH120_080,success,9,
3POZ,EH120_080,success,9,
3POZ,EH120_081,success,9,
3RCD,EH120_081,success,9,
3RCD,EH120_082,success,9,
3POZ,EH120_083,success,9,
3POZ,EH120_082,success,9,
3POZ,EH120_084,success,9,
3RCD,EH120_083,success,9,
3RCD,EH120_084,success,9,
3POZ,EH120_085,success,9,
3RCD,EH120_085,success,9,
3POZ,EH120_086,success,9,
3POZ,EH120_087,success,9,
3RCD,EH120_088,success,9,
3RCD,EH120_086,success,9,
3POZ,EH120_088,success,9,
3RCD,EH120_087,success,9,
3POZ,EH120_091,success,9,
3RCD,EH120_091,success,9,
3POZ,EH120_089,success,9,
3RCD,EH120_089,success,9,
3POZ,EH120_090,success,9,
3RCD,EH120_090,success,9,
3POZ,EH120_092,success,9,
3RCD,EH120_092,success,9,
3POZ,EH120_094,success,9,
3RCD,EH120_094,success,9,
3POZ,EH120_093,success,9,
3RCD,EH120_093,success,9,
3POZ,EH120_095,success,9,
3RCD,EH120_095,success,9,
3POZ,EH120_096,success,9,
3RCD,EH120_096,success,9,
3POZ,EH120_097,success,9,
3RCD,EH120_097,success,9,
3POZ,EH120_098,success,9,
3RCD,EH120_098,success,9,
3RCD,EH120_099,success,9,
3POZ,EH120_100,success,9,
3POZ,EH120_099,success,9,
3RCD,EH120_100,success,9,
3RCD,EH120_102,success,9,
3POZ,EH120_102,success,9,
3POZ,EH120_101,success,9,
3POZ,EH120_103,success,9,
3RCD,EH120_103,success,9,
3RCD,EH120_101,success,9,
3RCD,EH120_105,success,9,
3RCD,EH120_104,success,9,
3POZ,EH120_105,success,9,
3POZ,EH120_104,success,9,
3POZ,EH120_106,success,9,
3RCD,EH120_106,success,9,
3POZ,EH120_109,success,9,
3RCD,EH120_109,success,9,
3POZ,EH120_110,success,9,
3RCD,EH120_108,success,9,
3RCD,EH120_107,success,9,
3POZ,EH120_108,success,9,
3POZ,EH120_107,success,9,
3RCD,EH120_110,success,9,
