panel_id,molecule_chembl_id,class,pchembl_EGFR,pchembl_HER2,min_pchembl,pref_name,smiles,inchi_key,max_phase,murcko_scaffold,from_panel40,role_note
EH40_01,CHEMBL1614725,dual,9.0,8.52,8.52,TAK-285,CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,ZYQXEVJIFYIBHZ-UHFFFAOYSA-N,1.0,c1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2)cc1,yes,TAK-285 pose gold 3POZ/3RCD; moiety schema anchor
EH40_02,CHEMBL554,dual,10.22,8.8,8.8,LAPATINIB,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,BCFGMOOMADDAQU-UHFFFAOYSA-N,4.0,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,yes,lapatinib classic dual TKI
EH40_03,CHEMBL5977738,dual,9.85,9.47,9.47,,Cc1ccc(S(=O)(=O)c2ccc(C3C(C(=O)c4ccccc4)=C(N)NC4=C3C(=O)CC(C)(C)C4)cc2)cc1,NNFDRCGXLJTASH-UHFFFAOYSA-N,,O=C1CCCC2=C1C(c1ccc(S(=O)(=O)c3ccccc3)cc1)C(C(=O)c1ccccc1)=CN2,yes,ChEMBL dual pChEMBL>=6 both ends (replaced imatinib label-noise candidate)
EH40_04,CHEMBL2006715,dual,8.7,8.4,8.4,,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCCC4=O)c3)n2)c1)c1c(F)cccc1F,SRUYMJRFVGLQDV-UHFFFAOYSA-N,,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCCC4=O)c3)n2)c1)c1ccccc1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_05,CHEMBL483321,dual,8.19,8.0,8.0,CP-724714,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,LLVZBTWPGQVVLW-SNAWJCMRSA-N,2.0,c1cncc(Oc2ccc(Nc3ncnc4ccccc34)cc2)c1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_06,CHEMBL3911796,dual,8.38,7.79,7.79,,O=C(CCCCCCn1cc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)nn1)NO,AMKFBXVTNZFKFF-UHFFFAOYSA-N,,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5c[nH]nn5)cc34)cc2)cc1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_07,CHEMBL257816,dual,7.89,7.57,7.57,,CO/N=C/c1c(N)ncnc1Nc1ccc2c(ccn2Cc2cccc(F)c2)c1,DGVCIMUJVPVQEX-KBKYJPHKSA-N,,c1ccc(Cn2ccc3cc(Nc4ccncn4)ccc32)cc1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_08,CHEMBL193681,dual,7.4,7.52,7.4,,CCc1c(C(=O)NCCCn2ccnc2)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,TYIJYIGEKOSLCM-UHFFFAOYSA-N,,O=C(NCCCn1ccnc1)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnn2c1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_09,CHEMBL175556,dual,7.7,7.23,7.23,,CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCOCC1,QDGDKZPMYPEBOC-RMKNXTFCSA-N,,O=C(C=CCN1CCOCC1)Nc1ccc2nccc(Nc3ccc(OCc4ccccc4)cc3)c2c1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_10,CHEMBL604094,dual,7.08,7.36,7.08,,O=C(CCCCCCOc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)NO,DGORACVWOLFYBN-UHFFFAOYSA-N,,c1ccc(Nc2ncnc3ccccc23)cc1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_11,CHEMBL3977326,dual,7.68,6.91,6.91,,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4Cc4ccccc4)c3)ncnc2cc1OC,GAYUJMWHGBAPKD-UHFFFAOYSA-N,,c1ccc(Cn2ccc3cc(Nc4ncnc5ccccc45)ccc32)cc1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_12,CHEMBL402011,dual,6.75,8.1,6.75,,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,XGGPNQWFYUZWNO-QGZVFWFLSA-N,,c1ccc(Cn2ncc3cc(Nc4ncnc5ccccc45)ccc32)nc1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_13,CHEMBL3680374,dual,8.01,6.61,6.61,,O=C(/C=C/CN1CCCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC(F)F,ICDUDMAKDBBZOT-SNAWJCMRSA-N,,O=C(C=CCN1CCCCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_14,CHEMBL5204650,dual,6.38,6.92,6.38,,NNC(=O)c1csc2nc(CN3CCOCC3)c(-c3ccc(Br)cc3)n12,TXZRYLZHQIMGPZ-UHFFFAOYSA-N,,c1ccc(-c2c(CN3CCOCC3)nc3sccn23)cc1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_15,CHEMBL1645469,dual,6.18,7.7,6.18,,Cc1ccccc1Nc1ncnn2ccc(CN3CCC(N)CC3)c12,VVORMAVELBPTAS-UHFFFAOYSA-N,,c1ccc(Nc2ncnn3ccc(CN4CCCCC4)c23)cc1,yes,ChEMBL dual pChEMBL>=6 both ends
EH40_16,CHEMBL2325101,A_only,7.3,5.99,5.99,,Clc1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1Cl,PWQAYVPGWSRNKH-UHFFFAOYSA-N,,c1ccc(C2=NN(c3ccccc3)C(c3ccc4ccccc4c3)C2)cc1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_17,CHEMBL91925,A_only,7.14,5.93,5.93,,CCN(CC)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,PJDCIIPPRINIGB-RMKNXTFCSA-N,,c1ccc(Nc2ncnc3ccccc23)cc1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_18,CHEMBL2000832,A_only,6.3,5.9,5.9,,COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCc4cccc(F)c4)cc2NC3=O)ccc1O,OLVBAUVSICCWEJ-UHFFFAOYSA-N,,O=C(NCc1ccccc1)c1ccc2c(c1)NC(=O)c1ccc(-c3ccccc3)cc1N2,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_19,CHEMBL589560,A_only,6.17,5.85,5.85,,Oc1c(Cl)cccc1CN(Cc1ccc(F)cc1)C(=S)Nc1ccccc1,UERCBPIXITWGQE-UHFFFAOYSA-N,,S=C(Nc1ccccc1)N(Cc1ccccc1)Cc1ccccc1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_20,CHEMBL3357639,A_only,9.59,5.8,5.8,,O=C(Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1)/C(F)=C/CN1CCOCC1,UNTXLEZCEUSPFP-QNCXMEKNSA-N,,O=C(C=CCN1CCOCC1)Nc1cc2c(Nc3ccccc3)ncnc2cc1OC1CCOC1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_21,CHEMBL2112370,A_only,6.88,5.72,5.72,,COC[C@@H]1CCCN1C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,RHVQWSMLJGXEQH-BFSLETRISA-N,,O=C(C=CCN1CCCC1)Nc1ccc2ncnc(Nc3ccccc3)c2c1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_22,CHEMBL1081849,A_only,6.01,5.65,5.65,,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,LREJPDVGVCQBEA-UHFFFAOYSA-N,,O=C(NCCCN1CCNCC1)c1cc2c(Nc3ccc(OCc4ccccc4)cc3)nncc2[nH]1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_23,CHEMBL3633938,A_only,6.35,5.57,5.57,,N#CC(C#N)=CNc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,XAKLZFYPIQVZMO-UHFFFAOYSA-N,,c1ccc(COc2ccc(Nc3ncnc4ccccc34)cc2)cc1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_24,CHEMBL602328,A_only,6.01,5.45,5.45,,O=C1CSC(N/N=C/c2cc(F)ccc2O)=N1,KJZFJLLCNRUWRW-UUILKARUSA-N,,O=C1CSC(NN=Cc2ccccc2)=N1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_25,CHEMBL289959,A_only,7.1,5.3,5.3,,c1ccc(Nc2ncnc3ccccc23)cc1,MTSNDBYBIZSILH-UHFFFAOYSA-N,,c1ccc(Nc2ncnc3ccccc23)cc1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_26,CHEMBL371863,A_only,6.7,5.14,5.14,,CCOC(=O)c1cn2ncnc(NCc3ccccc3)c2c1CC,FKTDPTZOFGBLDH-UHFFFAOYSA-N,,c1ccc(CNc2ncnn3cccc23)cc1,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_27,CHEMBL428690,A_only,6.28,4.8,4.8,ALVOCIDIB,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,BIIVYFLTOXDAOV-YVEFUNNKSA-N,3.0,O=c1cc(-c2ccccc2)oc2c(C3CCNCC3)cccc12,yes,"EGFR active, HER2 measured weak; hard negative"
EH40_28,CHEMBL6017443,B_only,5.99,7.79,5.99,,Cc1cc(Nc2ncnc3cccc(OC4CCN(C)CC4(F)F)c23)ccc1Oc1ccc2ccnn2c1,FXWPQOUICUZLQL-UHFFFAOYSA-N,,c1cc(OC2CCNCC2)c2c(Nc3ccc(Oc4ccc5ccnn5c4)cc3)ncnc2c1,yes,"HER2 active, EGFR measured weak; hard negative"
EH40_29,CHEMBL1080990,B_only,5.92,6.03,5.92,,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,NURBYSCFSBBMLZ-UHFFFAOYSA-N,,c1ccc(COc2ccc(Nc3nncc4c[nH]cc34)cc2)cc1,yes,"HER2 active, EGFR measured weak; hard negative"
