ligand,gnina_cnn_3POZ,gnina_aff_3POZ,gnina_cnn_3RCD,gnina_aff_3RCD
EH120_041,0.1913578957,6.7471733093,0.1491088569,6.0364031792
EH120_042,0.3010781109,6.2318110466,0.4546297193,7.1358132362
EH120_043,0.3481786549,6.4130969048,0.0803335607,5.7205939293
EH120_044,0.2259627134,6.2659974098,0.2041749656,7.0548529625
EH120_045,0.6766639352,7.2432670593,0.9722064137,8.2048721313
EH120_046,0.2293334454,6.5861525536,0.22914505,7.3702998161
EH120_047,0.3233411312,7.3284573555,0.0791117698,7.2718186378
EH120_048,0.2549934387,5.9628777504,0.4706526399,6.6744828224
EH120_049,0.0573451519,5.5086326599,0.2198264301,7.1173629761
EH120_050,0.079626441,6.4284386635,0.125370875,7.101085186
EH120_051,0.262429148,5.9557318687,0.075138092,5.6341605186
EH120_052,0.1997342706,6.0700511932,0.3006749153,7.1111488342
EH120_053,0.3813890517,7.0283856392,0.0943190306,5.8620200157
EH120_054,0.3099226952,5.7285766602,0.1834327132,5.8082466125
EH120_055,0.0999023616,5.3234620094,0.6303189397,6.666665554
EH120_056,0.2363049984,6.6184210777,0.0547974147,5.3444366455
EH120_057,0.2147942632,4.8636069298,0.163311258,5.5351257324
EH120_058,0.2259344459,6.70206213,0.0518747158,5.5152282715
EH120_059,0.0740587339,5.1655936241,0.0808179826,5.8783965111
EH120_060,0.1144215465,5.9027900696,0.167577967,6.7949328423
EH120_061,0.8230549097,8.226978302,0.8800686598,8.4826002121
EH120_062,0.8746845126,8.5215787888,0.796094358,8.4470453262
EH120_063,0.7089871168,7.4863600731,0.2430639267,7.1258645058
EH120_064,0.462815702,6.1233634949,0.1475974619,5.5547070503
EH120_065,0.1116432324,5.1827464104,0.5488799214,6.4274115562
EH120_066,0.0617896542,6.0740947723,0.0542883091,6.4790587425
EH120_067,0.5350089073,5.8120207787,0.2102493644,5.5302081108
EH120_068,0.479894489,7.6759643555,0.7120578289,8.3825292587
EH120_069,0.2270092517,6.3951206207,0.1242464036,6.2105383873
EH120_070,0.4701609313,5.8620529175,0.2065150142,5.6738028526
EH120_071,0.0851972848,5.8478865623,0.8776521087,8.0367689133
EH120_072,0.9226807952,8.1041488647,0.8584518433,8.3621683121
EH120_073,0.093466863,6.2708039284,0.7483292222,7.9839539528
EH120_074,0.2278258651,4.9246087074,0.8245245218,6.9594306946
EH120_075,0.2938361466,5.7090129852,0.8981323242,7.1787447929
EH120_076,0.4716416597,5.3624310493,0.2533412874,5.5298233032
EH120_077,0.0900872946,6.0284209251,0.2236208916,6.8278708458
EH120_078,0.0687797889,6.4497070312,0.0334165618,6.828950882
EH120_079,0.163490653,5.3270087242,0.4375922382,6.3909420967
EH120_080,0.0675732493,6.1444506645,0.8077691793,8.3226289749
EH120_081,0.9138985872,8.3006734848,0.9023982882,8.6358718872
EH120_082,0.2694380283,6.9815125465,0.730517447,8.1093025208
EH120_083,0.7852312922,8.1993551254,0.7666980624,8.2626676559
EH120_084,0.9233541489,8.1320734024,0.7442518473,7.9893836975
EH120_085,0.8457440734,8.4422369003,0.9207874537,8.5770349503
EH120_086,0.4438580871,7.6638069153,0.3154217005,7.9752840996
EH120_087,0.9319669008,8.6159563065,0.7500246167,8.4516296387
EH120_088,0.8911052346,8.4051866531,0.9099014401,8.6517267227
EH120_089,0.1202241853,5.6108193398,0.8489938974,8.496090889
EH120_090,0.3732002676,7.0499243736,0.9597120881,8.6635332108
EH120_091,0.1875737011,6.3648934364,0.935392499,8.1781225204
EH120_092,0.8698918819,8.5263729095,0.8419608474,8.8891677856
EH120_093,0.6582612395,8.1715040207,0.4141173065,8.1793584824
EH120_094,0.8907157779,7.126844883,0.2858110666,6.2921242714
EH120_095,0.2743884325,6.859767437,0.9236642122,8.3508443832
EH120_096,0.9216230512,8.4836788177,0.9114072323,8.6975698471
