target,ligand,status,n_modes,reason
3POZ,EH40_03,success,9,
3RCD,EH40_03,success,9,
3RCD,EH40_02,success,9,
3POZ,EH40_01,success,9,
3RCD,EH40_01,success,9,
3POZ,EH40_02,success,9,
3RCD,EH40_05,success,9,
3POZ,EH40_05,success,9,
3RCD,EH40_04,success,9,
3POZ,EH40_04,success,9,
3POZ,EH40_07,success,9,
3RCD,EH40_07,success,9,
3POZ,EH40_06,success,9,
3RCD,EH40_08,success,9,
3POZ,EH40_08,success,9,
3RCD,EH40_06,success,9,
3POZ,EH40_09,success,9,
3RCD,EH40_09,success,9,
3POZ,EH40_11,success,9,
3RCD,EH40_11,success,9,
3POZ,EH40_10,success,9,
3RCD,EH40_10,success,9,
3POZ,EH40_14,success,9,
3RCD,EH40_14,success,9,
3POZ,EH40_12,success,9,
3RCD,EH40_12,success,9,
3RCD,EH40_13,success,9,
3POZ,EH40_15,success,9,
3RCD,EH40_15,success,9,
3POZ,EH40_13,success,9,
3POZ,EH40_16,success,9,
3RCD,EH40_16,success,9,
3RCD,EH40_17,success,9,
3POZ,EH40_17,success,9,
3RCD,EH40_19,success,9,
3POZ,EH40_19,success,9,
3RCD,EH40_18,success,9,
3POZ,EH40_18,success,9,
3RCD,EH40_21,success,9,
3POZ,EH40_21,success,9,
3RCD,EH40_20,success,9,
3POZ,EH40_20,success,9,
3POZ,EH40_24,success,9,
3RCD,EH40_24,success,9,
3POZ,EH40_25,success,9,
3RCD,EH40_25,success,9,
3POZ,EH40_26,success,9,
3RCD,EH40_26,success,9,
3RCD,EH40_23,success,9,
3POZ,EH40_23,success,9,
3RCD,EH40_22,success,9,
3POZ,EH40_27,success,9,
3RCD,EH40_27,success,9,
3POZ,EH40_22,success,9,
3RCD,EH40_29,success,9,
3POZ,EH40_30,success,9,
3POZ,EH40_29,success,9,
3RCD,EH40_30,success,9,
3POZ,EH40_28,success,9,
3RCD,EH40_28,success,9,
3POZ,EH40_32,success,9,
3RCD,EH40_32,success,9,
3RCD,EH40_31,success,9,
3POZ,EH40_34,success,9,
3POZ,EH40_31,success,9,
3RCD,EH40_34,success,9,
3RCD,EH40_33,success,9,
3POZ,EH40_33,success,9,
3POZ,EH40_36,success,9,
3RCD,EH40_36,success,9,
3POZ,EH40_37,success,9,
3POZ,EH40_35,success,9,
3RCD,EH40_37,success,9,
3RCD,EH40_35,success,9,
3RCD,EH40_38,success,9,
3POZ,EH40_38,success,9,
3POZ,EH40_39,success,9,
3RCD,EH40_39,success,9,
3POZ,EH40_40,success,9,
3RCD,EH40_40,success,9,
