ligand,target,vina_mode,rtmscore
EH40_01,3POZ,1,96.01482106466442
EH40_02,3POZ,4,75.86502366938002
EH40_31,3POZ,7,75.41189162583845
EH40_23,3POZ,7,65.91810777616817
EH40_12,3POZ,1,64.34437399799914
EH40_07,3POZ,5,63.26309818517522
EH40_28,3POZ,9,61.169352729057536
EH40_28,3POZ,1,61.052367486544014
EH40_29,3POZ,2,58.587510654318514
EH40_34,3POZ,5,58.361247004973066
EH40_29,3POZ,5,56.70142049239531
EH40_01,3POZ,9,54.63445684024878
EH40_01,3POZ,7,52.78587623506682
EH40_01,3POZ,4,50.99378551195889
EH40_09,3POZ,2,50.143606037350985
EH40_37,3POZ,2,49.438866527268814
EH40_08,3POZ,5,47.89045520653652
EH40_28,3POZ,6,47.24863344899686
EH40_40,3POZ,7,47.12801918344843
EH40_15,3POZ,7,47.036335710055816
EH40_31,3POZ,9,46.85302692145225
EH40_23,3POZ,4,45.77750527904585
EH40_35,3POZ,8,45.76359855388822
EH40_16,3POZ,6,44.89251312940165
EH40_09,3POZ,6,44.66229294043939
EH40_04,3POZ,7,44.51945295911753
EH40_12,3POZ,4,44.23967686833417
EH40_09,3POZ,8,44.1758856494067
EH40_34,3POZ,3,44.17359518201178
EH40_36,3POZ,2,43.92611809357754
EH40_09,3POZ,1,43.43209446942788
EH40_07,3POZ,9,42.5649160874956
EH40_20,3POZ,9,42.49106126091406
EH40_06,3POZ,5,42.36587190179503
EH40_38,3POZ,3,41.54263826487886
EH40_20,3POZ,8,41.34606613932279
EH40_08,3POZ,7,41.185632057618406
EH40_09,3POZ,9,40.94006765626868
EH40_02,3POZ,1,40.87017484565302
EH40_21,3POZ,5,40.59718073794564
EH40_04,3POZ,2,40.583177831084654
EH40_27,3POZ,2,40.55167608160593
EH40_22,3POZ,5,40.41843408024804
EH40_22,3POZ,4,39.86035448730037
EH40_20,3POZ,4,39.83658203951836
EH40_16,3POZ,2,39.78110270420039
EH40_40,3POZ,8,39.51351684013611
EH40_37,3POZ,5,39.30504554262579
EH40_06,3POZ,2,38.97368191695925
EH40_20,3POZ,6,38.6826574239725
EH40_22,3POZ,2,38.189429031170185
EH40_04,3POZ,3,38.03473912388993
EH40_02,3POZ,3,37.91206729965899
