ligand,target,vina_mode,vina_score
EH40_01,3POZ,1,-9.733
EH40_01,3POZ,2,-9.308
EH40_01,3POZ,3,-9.253
EH40_01,3POZ,4,-9.168
EH40_01,3POZ,5,-9.127
EH40_01,3POZ,6,-9.001
EH40_01,3POZ,7,-8.826
EH40_01,3POZ,8,-8.746
EH40_01,3POZ,9,-8.583
EH40_01,3RCD,1,-9.911
EH40_01,3RCD,2,-9.469
EH40_01,3RCD,3,-9.364
EH40_01,3RCD,4,-9.344
EH40_01,3RCD,5,-8.89
EH40_01,3RCD,6,-8.819
EH40_01,3RCD,7,-8.745
EH40_01,3RCD,8,-8.648
EH40_01,3RCD,9,-8.547
EH40_02,3POZ,1,-10.71
EH40_02,3POZ,2,-10.707
EH40_02,3POZ,3,-10.348
EH40_02,3POZ,4,-10.307
EH40_02,3POZ,5,-9.983
EH40_02,3POZ,6,-9.974
EH40_02,3POZ,7,-9.648
EH40_02,3POZ,8,-9.549
EH40_02,3POZ,9,-9.511
EH40_02,3RCD,1,-10.616
EH40_02,3RCD,2,-10.249
EH40_02,3RCD,3,-9.899
EH40_02,3RCD,4,-9.664
EH40_02,3RCD,5,-9.416
EH40_02,3RCD,6,-9.329
EH40_02,3RCD,7,-9.225
EH40_02,3RCD,8,-9.105
EH40_02,3RCD,9,-8.905
EH40_03,3POZ,1,-10.083
EH40_03,3POZ,2,-9.992
EH40_03,3POZ,3,-9.819
EH40_03,3POZ,4,-9.804
EH40_03,3POZ,5,-9.677
EH40_03,3POZ,6,-9.394
EH40_03,3POZ,7,-9.185
EH40_03,3POZ,8,-9.182
EH40_03,3POZ,9,-9.167
EH40_03,3RCD,1,-8.426
EH40_03,3RCD,2,-8.283
EH40_03,3RCD,3,-8.202
EH40_03,3RCD,4,-8.12
EH40_03,3RCD,5,-8.109
EH40_03,3RCD,6,-8.076
EH40_03,3RCD,7,-7.884
EH40_03,3RCD,8,-7.826
EH40_03,3RCD,9,-7.629
EH40_04,3POZ,1,-11.825
EH40_04,3POZ,2,-11.544
EH40_04,3POZ,3,-11.358
EH40_04,3POZ,4,-11.07
EH40_04,3POZ,5,-10.976
EH40_04,3POZ,6,-10.879
EH40_04,3POZ,7,-10.751
EH40_04,3POZ,8,-10.655
EH40_04,3POZ,9,-10.464
EH40_04,3RCD,1,-11.208
EH40_04,3RCD,2,-11.127
EH40_04,3RCD,3,-10.899
EH40_04,3RCD,4,-10.854
EH40_04,3RCD,5,-10.851
