ligand_id,vina_3POZ_mode1,vina_3RCD_mode1,vina_mean_mode1_hb,exhaustiveness,class,pref_name,vina_mode1_rank
EH40_18,-11.219,-12.337,11.777999999999999,8,A_only,,1
EH40_04,-11.676,-11.62,11.648,8,dual,,2
EH40_23,-11.472,-10.902,11.187,8,A_only,,3
EH40_02,-10.674,-10.471,10.5725,8,dual,LAPATINIB,4
EH40_01,-10.692,-9.902,10.297,8,dual,TAK-285,5
EH40_09,-10.766,-9.756,10.261,8,dual,,6
EH40_03,-10.118,-10.177,10.1475,8,dual,,7
EH40_05,-10.125,-10.018,10.0715,8,dual,CP-724714,8
EH40_18,-11.174,-12.331,11.7525,16,A_only,,1
EH40_04,-11.676,-11.63,11.653,16,dual,,2
EH40_23,-11.472,-10.902,11.187,16,A_only,,3
EH40_02,-10.735,-10.471,10.603,16,dual,LAPATINIB,4
EH40_03,-10.849,-10.299,10.574,16,dual,,5
EH40_09,-10.981,-9.901,10.440999999999999,16,dual,,6
EH40_01,-10.68,-9.955,10.317499999999999,16,dual,TAK-285,7
EH40_05,-10.125,-10.018,10.0715,16,dual,CP-724714,8
EH40_04,-11.902,-11.683,11.7925,32,dual,,1
EH40_18,-11.154,-12.335,11.7445,32,A_only,,2
EH40_23,-11.472,-10.902,11.187,32,A_only,,3
EH40_02,-10.735,-10.566,10.650500000000001,32,dual,LAPATINIB,4
EH40_03,-10.849,-10.299,10.574,32,dual,,5
EH40_09,-10.981,-9.755,10.368,32,dual,,6
EH40_01,-10.598,-9.955,10.2765,32,dual,TAK-285,7
EH40_05,-10.128,-9.94,10.033999999999999,32,dual,CP-724714,8
