target,ligand_id,job_key,seed,log_path,source,match_ok
3POZ,EH40_01,3POZ_EH40_01,1981948124,/home/gwj/vina_work/logs/3POZ_EH40_01.log,log,True
3POZ,EH40_02,3POZ_EH40_02,-1828870451,/home/gwj/vina_work/logs/3POZ_EH40_02.log,log,True
3POZ,EH40_03,3POZ_EH40_03,474979041,/home/gwj/vina_work/logs/3POZ_EH40_03.log,log,True
3POZ,EH40_04,3POZ_EH40_04,876543754,/home/gwj/vina_work/logs/3POZ_EH40_04.log,log,True
3POZ,EH40_05,3POZ_EH40_05,1917364841,/home/gwj/vina_work/logs/3POZ_EH40_05.log,log,True
3POZ,EH40_06,3POZ_EH40_06,2027894138,/home/gwj/vina_work/logs/3POZ_EH40_06.log,log,True
3POZ,EH40_07,3POZ_EH40_07,1986682051,/home/gwj/vina_work/logs/3POZ_EH40_07.log,log,True
3POZ,EH40_08,3POZ_EH40_08,-1431490655,/home/gwj/vina_work/logs/3POZ_EH40_08.log,log,True
3POZ,EH40_09,3POZ_EH40_09,102649843,/home/gwj/vina_work/logs/3POZ_EH40_09.log,log,True
3POZ,EH40_10,3POZ_EH40_10,1887927451,/home/gwj/vina_work/logs/3POZ_EH40_10.log,log,True
3POZ,EH40_11,3POZ_EH40_11,-2141778557,/home/gwj/vina_work/logs/3POZ_EH40_11.log,log,True
3POZ,EH40_12,3POZ_EH40_12,1982663942,/home/gwj/vina_work/logs/3POZ_EH40_12.log,log,True
3POZ,EH40_13,3POZ_EH40_13,548252159,/home/gwj/vina_work/logs/3POZ_EH40_13.log,log,True
3POZ,EH40_14,3POZ_EH40_14,-1385337694,/home/gwj/vina_work/logs/3POZ_EH40_14.log,log,True
3POZ,EH40_15,3POZ_EH40_15,-115345405,/home/gwj/vina_work/logs/3POZ_EH40_15.log,log,True
3POZ,EH40_16,3POZ_EH40_16,1949577313,/home/gwj/vina_work/logs/3POZ_EH40_16.log,log,True
3POZ,EH40_17,3POZ_EH40_17,-562351821,/home/gwj/vina_work/logs/3POZ_EH40_17.log,log,True
3POZ,EH40_18,3POZ_EH40_18,-939409201,/home/gwj/vina_work/logs/3POZ_EH40_18.log,log,True
3POZ,EH40_19,3POZ_EH40_19,901959179,/home/gwj/vina_work/logs/3POZ_EH40_19.log,log,True
3POZ,EH40_20,3POZ_EH40_20,1516756759,/home/gwj/vina_work/logs/3POZ_EH40_20.log,log,True
3POZ,EH40_21,3POZ_EH40_21,1912987867,/home/gwj/vina_work/logs/3POZ_EH40_21.log,log,True
3POZ,EH40_22,3POZ_EH40_22,1368794947,/home/gwj/vina_work/logs/3POZ_EH40_22.log,log,True
3POZ,EH40_23,3POZ_EH40_23,36722838,/home/gwj/vina_work/logs/3POZ_EH40_23.log,log,True
