rtm_rank,ligand,chembl_id,pref_name,rtmscore,best_rtm_mode,vina_of_best_rtm_pose,vina_top1_score,rtm_of_vina_top1
1,EH40_01,CHEMBL1614725,TAK-285,98.96569128453538,2,-10.198,-10.605,20.38900952252521
2,EH40_23,CHEMBL3633938,,82.35854349800609,6,-10.264,-11.292,33.48619742938708
3,EH40_02,CHEMBL554,LAPATINIB,80.18303753269697,5,-10.118,-10.799,38.41354120862453
4,EH40_06,CHEMBL3911796,,78.03996691732848,6,-9.172,-9.773,32.97279702181988
5,EH40_28,CHEMBL6017443,,67.41039970063224,1,-11.075,-11.075,67.41039970063224
6,EH40_12,CHEMBL402011,,65.0967946161479,2,-9.628,-9.692,58.654872220538685
7,EH40_05,CHEMBL483321,CP-724714,59.30073645019885,6,-8.96,-10.098,17.461192237744793
8,EH40_34,CHEMBL2048792,,57.53323953790782,6,-9.167,-9.615,37.92076316501255
9,EH40_11,CHEMBL3977326,,50.79628017693776,7,-9.744,-10.434,28.529817808676523
10,EH40_15,CHEMBL1645469,,50.55868051137614,9,-7.862,-8.26,17.098613566730485
11,EH40_37,CHEMBL5542514,,49.29231171229335,1,-10.59,-10.59,49.29231171229335
12,EH40_31,CHEMBL257873,,48.80640684616608,7,-9.197,-10.12,24.285028117632145
13,EH40_04,CHEMBL2006715,,48.39333952615426,4,-11.622,-11.968,39.89551635514247
14,EH40_40,CHEMBL141175,,48.183188761122906,4,-7.682,-8.367,13.279153209784104
15,EH40_09,CHEMBL175556,,46.76103994824709,5,-10.355,-11.011,45.23099236279732
16,EH40_36,CHEMBL5901840,,45.53059867118508,9,-8.975,-9.955,20.058741747085776
17,EH40_29,CHEMBL1080990,,45.44810248000185,7,-8.72,-9.298,20.67318876315907
18,EH40_22,CHEMBL1081849,,44.99208098291926,4,-9.581,-10.012,23.738865215014123
19,EH40_16,CHEMBL2325101,,44.40988935106538,4,-9.678,-10.466,33.90196289588662
20,EH40_39,CHEMBL1683950,,44.2202662468225,7,-9.761,-10.373,23.694204224074056
21,EH40_33,CHEMBL3814021,,44.194194462844806,3,-10.665,-10.698,32.0945923435701
22,EH40_07,CHEMBL257816,,43.2356138620701,8,-8.627,-9.372,18.526760414271735
23,EH40_18,CHEMBL2000832,,41.77583429146643,1,-11.17,-11.17,41.77583429146643
24,EH40_32,CHEMBL394463,,41.07795817266784,8,-8.6,-9.136,13.2471701753409
25,EH40_13,CHEMBL3680374,,40.94567321304039,7,-9.543,-10.219,26.167396189617733
26,EH40_08,CHEMBL193681,,40.5145120304991,5,-9.359,-9.882,25.666639796527505
27,EH40_20,CHEMBL3357639,,40.09888188380287,4,-9.369,-10.245,25.501260922300524
28,EH40_03,CHEMBL5977738,,37.60284670712245,6,-8.83,-10.133,19.53420439890513
29,EH40_10,CHEMBL604094,,37.24562056261127,8,-7.917,-8.753,11.65446942007292
30,EH40_26,CHEMBL371863,,37.107440254191374,8,-6.945,-7.394,13.114390920520838
31,EH40_27,CHEMBL428690,ALVOCIDIB,36.50197654166752,2,-8.734,-8.84,15.597137252396855
32,EH40_19,CHEMBL589560,,35.80520057336964,7,-7.923,-8.396,28.508908284068344
33,EH40_17,CHEMBL91925,,35.03081744189238,6,-8.311,-9.126,11.080379974773772
34,EH40_38,CHEMBL2005631,,34.82689925210737,5,-8.901,-9.905,9.139051486658078
35,EH40_14,CHEMBL5204650,,31.92035055547109,1,-7.128,-7.128,31.92035055547109
36,EH40_30,CHEMBL565612,SOTRASTAURIN,31.78142231349872,3,-9.189,-9.399,14.10893119327658
37,EH40_35,CHEMBL449949,,31.280293863150813,8,-9.531,-10.142,18.112984093939428
38,EH40_21,CHEMBL2112370,,26.56163148820009,7,-9.067,-9.684,16.495368728084408
39,EH40_24,CHEMBL602328,,23.16813865702481,4,-6.644,-7.097,3.204156049904729
40,EH40_25,CHEMBL289959,,20.11019932308799,6,-7.388,-7.956,2.903243521180184
