rtm_rank,ligand,chembl_id,pref_name,rtmscore,best_rtm_mode,vina_of_best_rtm_pose,vina_top1_score,rtm_of_vina_top1
1,EH40_01,CHEMBL1614725,TAK-285,114.0350825083402,3,-9.451,-9.745,111.45754860245924
2,EH40_02,CHEMBL554,LAPATINIB,111.0680380629325,1,-10.571,-10.571,111.0680380629325
3,EH40_23,CHEMBL3633938,,110.07054170594876,2,-10.691,-10.764,98.65327741610484
4,EH40_33,CHEMBL3814021,,102.41821967516064,1,-10.591,-10.591,102.41821967516064
5,EH40_28,CHEMBL6017443,,90.34379194742112,2,-10.967,-11.53,90.21798541547348
6,EH40_06,CHEMBL3911796,,86.27678212704363,1,-10.024,-10.024,86.27678212704363
7,EH40_05,CHEMBL483321,CP-724714,84.5164657961141,2,-9.668,-9.98,74.40973559455284
8,EH40_35,CHEMBL449949,,76.0252299316338,1,-10.562,-10.562,76.0252299316338
9,EH40_37,CHEMBL5542514,,75.81864762501719,1,-10.758,-10.758,75.81864762501719
10,EH40_10,CHEMBL604094,,74.07164214808073,1,-8.321,-8.321,74.07164214808073
11,EH40_25,CHEMBL289959,,68.95868938010331,3,-7.307,-8.044,11.423020582646195
12,EH40_11,CHEMBL3977326,,67.6118656115756,1,-10.275,-10.275,67.6118656115756
13,EH40_07,CHEMBL257816,,66.7547403122953,3,-9.264,-9.65,20.09812036050903
14,EH40_15,CHEMBL1645469,,63.53350848862702,6,-7.247,-8.259,62.44476584273104
15,EH40_08,CHEMBL193681,,59.29611829881623,1,-9.707,-9.707,59.29611829881623
16,EH40_12,CHEMBL402011,,58.92318310559581,1,-10.467,-10.467,58.92318310559581
17,EH40_32,CHEMBL394463,,57.69628806835225,2,-9.736,-9.76,53.16749708806958
18,EH40_31,CHEMBL257873,,54.99252866989251,1,-9.812,-9.812,54.99252866989251
19,EH40_26,CHEMBL371863,,54.869685837467465,1,-7.472,-7.472,54.869685837467465
20,EH40_34,CHEMBL2048792,,53.36655916347368,3,-9.128,-9.184,51.97878519917269
21,EH40_21,CHEMBL2112370,,53.03011942242215,5,-8.318,-9.132,35.95136932663302
22,EH40_04,CHEMBL2006715,,52.882618971059706,1,-11.632,-11.632,52.882618971059706
23,EH40_39,CHEMBL1683950,,51.04605860750196,3,-9.904,-10.12,25.264106787972665
24,EH40_09,CHEMBL175556,,47.85476269359207,4,-9.493,-9.963,37.331713420075
25,EH40_20,CHEMBL3357639,,47.38378665113735,5,-8.944,-9.624,21.301910116649463
26,EH40_22,CHEMBL1081849,,46.446744329867705,1,-10.127,-10.127,46.446744329867705
27,EH40_18,CHEMBL2000832,,46.31521006750866,1,-12.292,-12.292,46.31521006750866
28,EH40_13,CHEMBL3680374,,45.96176683356803,8,-8.216,-9.203,29.668654758379173
29,EH40_29,CHEMBL1080990,,45.75656641035413,1,-9.331,-9.331,45.75656641035413
30,EH40_36,CHEMBL5901840,,44.66863650466588,1,-10.678,-10.678,44.66863650466588
31,EH40_27,CHEMBL428690,ALVOCIDIB,43.87973911799656,1,-9.216,-9.216,43.87973911799656
32,EH40_17,CHEMBL91925,,43.246742050601526,1,-8.576,-8.576,43.246742050601526
33,EH40_16,CHEMBL2325101,,37.489631733571656,4,-9.855,-10.072,33.36898810859153
34,EH40_40,CHEMBL141175,,37.47506587281941,5,-8.056,-8.612,17.791444295050418
35,EH40_30,CHEMBL565612,SOTRASTAURIN,33.80610210320214,4,-8.221,-9.628,23.060093975817377
36,EH40_14,CHEMBL5204650,,32.88815810725417,4,-7.052,-7.55,31.3120379646536
37,EH40_19,CHEMBL589560,,32.40408833485009,1,-8.225,-8.225,32.40408833485009
38,EH40_03,CHEMBL5977738,,30.20380346607584,1,-10.215,-10.215,30.20380346607584
39,EH40_38,CHEMBL2005631,,29.9522076584144,8,-8.48,-9.687,27.456495870261588
40,EH40_24,CHEMBL602328,,27.859641949801155,5,-6.52,-6.886,13.736271060515508
