id,rtmscore,target,ligand,vina_mode,vina_score
EH40_01_mode1-0,20.38900952252521,3POZ,EH40_01,1,-10.605
EH40_01_mode2-1,98.96569128453538,3POZ,EH40_01,2,-10.198
EH40_01_mode3-2,26.961349764809743,3POZ,EH40_01,3,-10.025
EH40_01_mode4-3,43.76397054828943,3POZ,EH40_01,4,-9.97
EH40_01_mode5-4,24.902048898412744,3POZ,EH40_01,5,-9.791
EH40_01_mode6-5,53.35136554248923,3POZ,EH40_01,6,-9.494
EH40_01_mode7-6,97.06321256647,3POZ,EH40_01,7,-9.44
EH40_01_mode8-7,67.01331978395035,3POZ,EH40_01,8,-9.435
EH40_01_mode9-8,26.401534912681257,3POZ,EH40_01,9,-9.26
EH40_02_mode1-9,38.41354120862453,3POZ,EH40_02,1,-10.799
EH40_02_mode2-10,18.73445779608596,3POZ,EH40_02,2,-10.538
EH40_02_mode3-11,21.000818152207373,3POZ,EH40_02,3,-10.522
EH40_02_mode4-12,23.80508521199804,3POZ,EH40_02,4,-10.214
EH40_02_mode5-13,80.18303753269697,3POZ,EH40_02,5,-10.118
EH40_02_mode6-14,22.946724696257824,3POZ,EH40_02,6,-10.046
EH40_02_mode7-15,23.62636108808158,3POZ,EH40_02,7,-10.041
EH40_02_mode8-16,26.3072229216996,3POZ,EH40_02,8,-9.889
EH40_02_mode9-17,44.6299398367815,3POZ,EH40_02,9,-9.792
EH40_03_mode1-18,19.53420439890513,3POZ,EH40_03,1,-10.133
EH40_03_mode2-19,24.09536954675736,3POZ,EH40_03,2,-9.52
EH40_03_mode3-20,37.19214782868872,3POZ,EH40_03,3,-9.319
EH40_03_mode4-21,15.539368118946644,3POZ,EH40_03,4,-8.922
EH40_03_mode5-22,11.043825260765091,3POZ,EH40_03,5,-8.909
EH40_03_mode6-23,37.60284670712245,3POZ,EH40_03,6,-8.83
EH40_03_mode7-24,23.90565176501813,3POZ,EH40_03,7,-8.741
EH40_03_mode8-25,16.240423405996307,3POZ,EH40_03,8,-8.647
EH40_03_mode9-26,14.49554544094626,3POZ,EH40_03,9,-8.574
EH40_04_mode1-27,39.89551635514247,3POZ,EH40_04,1,-11.968
EH40_04_mode2-28,29.434834874504304,3POZ,EH40_04,2,-11.872
