ligand,chembl_id,pref_name,3POZ_affinity,3RCD_affinity,mean_affinity,delta_3POZ_minus_3RCD,3POZ_n_modes,3RCD_n_modes
EH40_04,CHEMBL2006715,,-11.968,-11.632,-11.8,-0.336,9,9
EH40_18,CHEMBL2000832,,-11.17,-12.292,-11.731,1.122,9,9
EH40_28,CHEMBL6017443,,-11.075,-11.53,-11.302,0.455,9,9
EH40_23,CHEMBL3633938,,-11.292,-10.764,-11.028,-0.528,9,9
EH40_02,CHEMBL554,LAPATINIB,-10.799,-10.571,-10.685,-0.228,9,9
EH40_37,CHEMBL5542514,,-10.59,-10.758,-10.674,0.168,9,9
EH40_33,CHEMBL3814021,,-10.698,-10.591,-10.645,-0.107,9,9
EH40_09,CHEMBL175556,,-11.011,-9.963,-10.487,-1.048,9,9
EH40_11,CHEMBL3977326,,-10.434,-10.275,-10.354,-0.159,9,9
EH40_35,CHEMBL449949,,-10.142,-10.562,-10.352,0.42,9,9
EH40_36,CHEMBL5901840,,-9.955,-10.678,-10.317,0.723,9,9
EH40_16,CHEMBL2325101,,-10.466,-10.072,-10.269,-0.394,9,9
EH40_39,CHEMBL1683950,,-10.373,-10.12,-10.246,-0.253,9,9
EH40_01,CHEMBL1614725,TAK-285,-10.605,-9.745,-10.175,-0.86,9,9
EH40_03,CHEMBL5977738,,-10.133,-10.215,-10.174,0.082,9,9
EH40_12,CHEMBL402011,,-9.692,-10.467,-10.079,0.775,9,9
EH40_22,CHEMBL1081849,,-10.012,-10.127,-10.07,0.115,9,9
EH40_05,CHEMBL483321,CP-724714,-10.098,-9.98,-10.039,-0.118,9,9
EH40_31,CHEMBL257873,,-10.12,-9.812,-9.966,-0.308,9,9
EH40_20,CHEMBL3357639,,-10.245,-9.624,-9.934,-0.621,9,9
EH40_06,CHEMBL3911796,,-9.773,-10.024,-9.898,0.251,9,9
EH40_38,CHEMBL2005631,,-9.905,-9.687,-9.796,-0.218,9,9
EH40_08,CHEMBL193681,,-9.882,-9.707,-9.794,-0.175,9,9
EH40_13,CHEMBL3680374,,-10.219,-9.203,-9.711,-1.016,9,9
EH40_30,CHEMBL565612,SOTRASTAURIN,-9.399,-9.628,-9.514,0.229,9,9
EH40_07,CHEMBL257816,,-9.372,-9.65,-9.511,0.278,9,9
EH40_32,CHEMBL394463,,-9.136,-9.76,-9.448,0.624,9,9
EH40_21,CHEMBL2112370,,-9.684,-9.132,-9.408,-0.552,9,9
EH40_34,CHEMBL2048792,,-9.615,-9.184,-9.399,-0.431,9,9
EH40_29,CHEMBL1080990,,-9.298,-9.331,-9.314,0.033,9,9
EH40_27,CHEMBL428690,ALVOCIDIB,-8.84,-9.216,-9.028,0.376,9,9
EH40_17,CHEMBL91925,,-9.126,-8.576,-8.851,-0.55,9,9
EH40_10,CHEMBL604094,,-8.753,-8.321,-8.537,-0.432,9,9
EH40_40,CHEMBL141175,,-8.367,-8.612,-8.489,0.245,9,9
EH40_19,CHEMBL589560,,-8.396,-8.225,-8.311,-0.171,9,9
EH40_15,CHEMBL1645469,,-8.26,-8.259,-8.259,-0.001,9,9
EH40_25,CHEMBL289959,,-7.956,-8.044,-8.0,0.088,9,9
EH40_26,CHEMBL371863,,-7.394,-7.472,-7.433,0.078,9,9
EH40_14,CHEMBL5204650,,-7.128,-7.55,-7.339,0.422,9,9
EH40_24,CHEMBL602328,,-7.097,-6.886,-6.992,-0.211,9,9
