target,ligand,chembl_id,pref_name,best_affinity_kcal_mol,rmsd_lb,rmsd_ub,n_modes,all_scores,out_pdbqt
3POZ,EH40_01,CHEMBL1614725,TAK-285,-10.605,0.0,0.0,9,-10.605;-10.198;-10.025;-9.970;-9.791;-9.494;-9.440;-9.435;-9.260,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_01_out.pdbqt
3POZ,EH40_02,CHEMBL554,LAPATINIB,-10.799,0.0,0.0,9,-10.799;-10.538;-10.522;-10.214;-10.118;-10.046;-10.041;-9.889;-9.792,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_02_out.pdbqt
3POZ,EH40_03,CHEMBL5977738,,-10.133,0.0,0.0,9,-10.133;-9.520;-9.319;-8.922;-8.909;-8.830;-8.741;-8.647;-8.574,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_03_out.pdbqt
3POZ,EH40_04,CHEMBL2006715,,-11.968,0.0,0.0,9,-11.968;-11.872;-11.687;-11.622;-11.560;-11.542;-11.489;-11.307;-11.285,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_04_out.pdbqt
3POZ,EH40_05,CHEMBL483321,CP-724714,-10.098,0.0,0.0,9,-10.098;-9.496;-9.408;-9.384;-9.101;-8.960;-8.918;-8.808;-8.781,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_05_out.pdbqt
3POZ,EH40_06,CHEMBL3911796,,-9.773,0.0,0.0,9,-9.773;-9.618;-9.504;-9.473;-9.252;-9.172;-9.066;-9.006;-8.939,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_06_out.pdbqt
3POZ,EH40_07,CHEMBL257816,,-9.372,0.0,0.0,9,-9.372;-9.124;-9.099;-8.850;-8.805;-8.798;-8.787;-8.627;-8.595,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_07_out.pdbqt
3POZ,EH40_08,CHEMBL193681,,-9.882,0.0,0.0,9,-9.882;-9.531;-9.487;-9.426;-9.359;-9.312;-9.219;-9.114;-9.109,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_08_out.pdbqt
3POZ,EH40_09,CHEMBL175556,,-11.011,0.0,0.0,9,-11.011;-10.972;-10.956;-10.491;-10.355;-10.291;-10.219;-10.189;-10.112,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_09_out.pdbqt
3POZ,EH40_10,CHEMBL604094,,-8.753,0.0,0.0,9,-8.753;-8.424;-8.203;-8.079;-7.952;-7.945;-7.937;-7.917;-7.784,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_10_out.pdbqt
3POZ,EH40_11,CHEMBL3977326,,-10.434,0.0,0.0,9,-10.434;-10.252;-9.993;-9.946;-9.850;-9.813;-9.744;-9.702;-9.217,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_11_out.pdbqt
3POZ,EH40_12,CHEMBL402011,,-9.692,0.0,0.0,9,-9.692;-9.628;-9.626;-9.236;-9.219;-8.992;-8.934;-8.930;-8.726,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_12_out.pdbqt
3POZ,EH40_13,CHEMBL3680374,,-10.219,0.0,0.0,9,-10.219;-10.002;-9.987;-9.938;-9.875;-9.844;-9.543;-9.517;-9.323,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_13_out.pdbqt
3POZ,EH40_14,CHEMBL5204650,,-7.128,0.0,0.0,9,-7.128;-7.006;-6.773;-6.628;-6.552;-6.538;-6.527;-6.525;-6.465,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_14_out.pdbqt
3POZ,EH40_15,CHEMBL1645469,,-8.26,0.0,0.0,9,-8.260;-8.122;-8.066;-8.058;-8.039;-8.014;-7.922;-7.884;-7.862,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_15_out.pdbqt
3POZ,EH40_16,CHEMBL2325101,,-10.466,0.0,0.0,9,-10.466;-10.217;-9.684;-9.678;-9.438;-9.428;-9.037;-9.018;-8.756,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_16_out.pdbqt
3POZ,EH40_17,CHEMBL91925,,-9.126,0.0,0.0,9,-9.126;-8.807;-8.740;-8.546;-8.465;-8.311;-8.277;-8.176;-8.139,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_17_out.pdbqt
3POZ,EH40_18,CHEMBL2000832,,-11.17,0.0,0.0,9,-11.170;-10.719;-10.444;-9.905;-9.860;-9.831;-9.830;-9.759;-9.497,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_18_out.pdbqt
3POZ,EH40_19,CHEMBL589560,,-8.396,0.0,0.0,9,-8.396;-8.143;-8.127;-8.032;-7.980;-7.929;-7.923;-7.917;-7.810,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_19_out.pdbqt
3POZ,EH40_20,CHEMBL3357639,,-10.245,0.0,0.0,9,-10.245;-9.764;-9.496;-9.369;-9.060;-9.014;-8.917;-8.917;-8.829,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_20_out.pdbqt
3POZ,EH40_21,CHEMBL2112370,,-9.684,0.0,0.0,9,-9.684;-9.602;-9.406;-9.356;-9.117;-9.103;-9.067;-9.063;-9.033,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_21_out.pdbqt
3POZ,EH40_22,CHEMBL1081849,,-10.012,0.0,0.0,9,-10.012;-9.725;-9.679;-9.581;-9.551;-9.548;-9.531;-9.392;-9.273,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_22_out.pdbqt
3POZ,EH40_23,CHEMBL3633938,,-11.292,0.0,0.0,9,-11.292;-10.602;-10.340;-10.340;-10.332;-10.264;-9.993;-9.915;-9.818,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_23_out.pdbqt
3POZ,EH40_24,CHEMBL602328,,-7.097,0.0,0.0,9,-7.097;-7.061;-6.801;-6.644;-6.544;-6.523;-6.394;-6.352;-6.320,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_24_out.pdbqt
3POZ,EH40_25,CHEMBL289959,,-7.956,0.0,0.0,9,-7.956;-7.851;-7.742;-7.443;-7.390;-7.388;-7.387;-7.184;-7.111,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_25_out.pdbqt
3POZ,EH40_26,CHEMBL371863,,-7.394,0.0,0.0,9,-7.394;-7.273;-7.261;-7.230;-7.198;-7.161;-7.020;-6.945;-6.898,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_26_out.pdbqt
3POZ,EH40_27,CHEMBL428690,ALVOCIDIB,-8.84,0.0,0.0,9,-8.840;-8.734;-8.117;-8.104;-7.987;-7.835;-7.725;-7.573;-7.409,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_27_out.pdbqt
3POZ,EH40_28,CHEMBL6017443,,-11.075,0.0,0.0,9,-11.075;-10.576;-10.455;-10.393;-10.382;-10.242;-10.234;-10.049;-9.824,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_28_out.pdbqt
3POZ,EH40_29,CHEMBL1080990,,-9.298,0.0,0.0,9,-9.298;-9.295;-9.258;-8.940;-8.926;-8.769;-8.720;-8.634;-8.463,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_29_out.pdbqt
3POZ,EH40_30,CHEMBL565612,SOTRASTAURIN,-9.399,0.0,0.0,9,-9.399;-9.376;-9.189;-8.553;-8.506;-8.305;-8.298;-8.273;-8.092,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_30_out.pdbqt
3POZ,EH40_31,CHEMBL257873,,-10.12,0.0,0.0,9,-10.120;-9.970;-9.875;-9.864;-9.670;-9.387;-9.197;-9.148;-9.095,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_31_out.pdbqt
3POZ,EH40_32,CHEMBL394463,,-9.136,0.0,0.0,9,-9.136;-9.091;-9.059;-8.955;-8.831;-8.700;-8.653;-8.600;-8.579,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_32_out.pdbqt
3POZ,EH40_33,CHEMBL3814021,,-10.698,0.0,0.0,9,-10.698;-10.679;-10.665;-10.594;-10.449;-10.389;-10.077;-9.939;-9.812,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_33_out.pdbqt
3POZ,EH40_34,CHEMBL2048792,,-9.615,0.0,0.0,9,-9.615;-9.568;-9.501;-9.472;-9.312;-9.167;-9.152;-8.836;-8.835,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_34_out.pdbqt
3POZ,EH40_35,CHEMBL449949,,-10.142,0.0,0.0,9,-10.142;-10.053;-9.880;-9.828;-9.741;-9.709;-9.638;-9.531;-9.511,/mnt/d/CADD paper exercise/dual target docking/Maestro doc/vina_docking/results_3POZ/EH40_35_out.pdbqt
