pair,arm,family,n,n_dual,n_A_only,n_B_only,n_boot_ok,auroc_D_vs_A,auroc_D_vs_A_boot_mean,auroc_D_vs_A_ci_lo,auroc_D_vs_A_ci_hi,auroc_D_vs_B,auroc_D_vs_B_boot_mean,auroc_D_vs_B_ci_lo,auroc_D_vs_B_ci_hi,summary_min,summary_min_boot_mean,summary_min_ci_lo,summary_min_ci_hi,auroc_pooled,auroc_pooled_boot_mean,auroc_pooled_ci_lo,auroc_pooled_ci_hi
EGFR/HER2,vina_mean,docking,98,28,38,32,2000,0.6805,0.6802,0.5454,0.8095,0.2824,0.2819,0.1621,0.417,0.2824,0.2819,0.1621,0.417,0.4985,0.4991,0.3842,0.617
EGFR/HER2,rtm_min_z,docking,98,28,38,32,2000,0.5329,0.5337,0.3888,0.6843,0.2533,0.2546,0.1273,0.3989,0.2533,0.2546,0.1273,0.3989,0.4051,0.4063,0.2817,0.5299
EGFR/HER2,gnina_cnn_min,docking,98,28,38,32,2000,0.4859,0.485,0.3409,0.6293,0.2634,0.263,0.1485,0.3952,0.2634,0.263,0.1485,0.3952,0.3842,0.3839,0.2696,0.5063
EGFR/HER2,heavy,baseline,98,28,38,32,2000,0.6997,0.7003,0.5689,0.8164,0.3694,0.3689,0.2217,0.5183,0.3694,0.3689,0.2217,0.5183,0.5487,0.5484,0.425,0.6645
EGFR/HER2,mw,baseline,98,28,38,32,2000,0.6476,0.6448,0.5039,0.7728,0.4163,0.415,0.2762,0.5754,0.4163,0.415,0.2762,0.5754,0.5418,0.5401,0.4168,0.6628
EGFR/HER2,clogp,baseline,98,28,38,32,2000,0.5263,0.5275,0.375,0.6698,0.4821,0.4845,0.3302,0.6482,0.4821,0.4739,0.3252,0.6181,0.5061,0.5078,0.3694,0.6468
EGFR/HER2,tpsa,baseline,98,28,38,32,2000,0.703,0.7047,0.5754,0.8192,0.4275,0.426,0.2847,0.5769,0.4275,0.426,0.2847,0.5769,0.577,0.5774,0.4581,0.6896
AChE/BChE,vina_mean,docking,80,27,25,28,2000,0.5304,0.5281,0.375,0.697,0.5853,0.582,0.4238,0.7343,0.5304,0.5188,0.3686,0.6769,0.5594,0.5566,0.4186,0.7008
AChE/BChE,rtm_min_z,docking,80,27,25,28,2000,0.4089,0.4086,0.2483,0.5717,0.463,0.4622,0.3058,0.6267,0.4089,0.4015,0.2448,0.564,0.4375,0.4368,0.2953,0.5934
AChE/BChE,gnina_cnn_min,docking,80,27,25,28,2000,0.3719,0.3737,0.2171,0.5336,0.4947,0.4943,0.3434,0.6499,0.3719,0.3706,0.2171,0.5242,0.4368,0.4374,0.312,0.5712
AChE/BChE,heavy,baseline,80,27,25,28,2000,0.5941,0.5906,0.4261,0.7552,0.582,0.5803,0.4172,0.7481,0.582,0.5577,0.4047,0.712,0.5877,0.5852,0.436,0.7362
AChE/BChE,mw,baseline,80,27,25,28,2000,0.5785,0.5804,0.4141,0.7447,0.586,0.5877,0.4259,0.7459,0.5785,0.5575,0.4022,0.7115,0.5825,0.5844,0.434,0.7346
AChE/BChE,clogp,baseline,80,27,25,28,2000,0.5481,0.5478,0.386,0.7051,0.4669,0.4665,0.3103,0.6241,0.4669,0.4643,0.3103,0.6233,0.5052,0.5045,0.3613,0.6565
AChE/BChE,tpsa,baseline,80,27,25,28,2000,0.7333,0.7328,0.5808,0.87,0.8009,0.8012,0.6767,0.9086,0.7333,0.7253,0.5805,0.8468,0.769,0.769,0.6583,0.8699
PIK3CA/PIK3CB,vina_mean,docking,83,28,27,28,2000,0.703,0.7062,0.5594,0.84,0.412,0.4098,0.2626,0.5566,0.412,0.4098,0.2626,0.5566,0.5549,0.5552,0.4325,0.6695
PIK3CA/PIK3CB,rtm_min_z,docking,83,28,27,28,2000,0.6627,0.6651,0.5113,0.809,0.4388,0.4378,0.2809,0.5926,0.4388,0.4377,0.2809,0.5926,0.5487,0.5493,0.4175,0.675
PIK3CA/PIK3CB,gnina_cnn_min,docking,83,28,27,28,2000,0.5556,0.5559,0.3994,0.7191,0.5064,0.5083,0.3518,0.6714,0.5064,0.5004,0.3476,0.6569,0.5305,0.5315,0.3931,0.6818
PIK3CA/PIK3CB,heavy,baseline,83,28,27,28,2000,0.6217,0.6225,0.4702,0.7772,0.6849,0.6852,0.5266,0.8187,0.6217,0.6155,0.4693,0.7571,0.6539,0.6542,0.5186,0.7793
PIK3CA/PIK3CB,mw,baseline,83,28,27,28,2000,0.6204,0.619,0.4666,0.7658,0.7117,0.7135,0.5663,0.8456,0.6204,0.6173,0.4666,0.7632,0.6669,0.6673,0.5324,0.7944
PIK3CA/PIK3CB,clogp,baseline,83,28,27,28,2000,0.5952,0.5944,0.4363,0.7484,0.8099,0.8099,0.6795,0.9161,0.5952,0.5944,0.4363,0.7484,0.7045,0.7039,0.5779,0.8212
PIK3CA/PIK3CB,tpsa,baseline,83,28,27,28,2000,0.418,0.416,0.2654,0.5776,0.6154,0.6147,0.4678,0.7631,0.418,0.4159,0.2654,0.5775,0.5185,0.5173,0.3837,0.6552
PIK3CA/mTOR,vina_mean,docking,44,18,14,12,2000,0.7222,0.7195,0.4965,0.9018,0.6713,0.6683,0.4423,0.8497,0.6713,0.6377,0.4286,0.8077,0.6987,0.6964,0.5248,0.8371
PIK3CA/mTOR,rtm_min_z,docking,44,18,14,12,2000,0.5198,0.5206,0.2857,0.7538,0.6713,0.6758,0.4659,0.8615,0.5198,0.5114,0.2857,0.718,0.5897,0.5925,0.4226,0.7618
PIK3CA/mTOR,gnina_cnn_min,docking,44,18,14,12,2000,0.5635,0.5635,0.3333,0.7875,0.662,0.6634,0.4611,0.8421,0.5635,0.5455,0.3319,0.7343,0.609,0.6096,0.4337,0.775
PIK3CA/mTOR,heavy,baseline,44,18,14,12,2000,0.4643,0.4662,0.2763,0.6779,0.463,0.462,0.2518,0.6732,0.463,0.425,0.2344,0.6198,0.4637,0.4639,0.2839,0.654
PIK3CA/mTOR,mw,baseline,44,18,14,12,2000,0.4484,0.4465,0.2451,0.6687,0.4722,0.474,0.2656,0.6975,0.4484,0.4172,0.2273,0.6125,0.4594,0.4586,0.285,0.6451
PIK3CA/mTOR,clogp,baseline,44,18,14,12,2000,0.5198,0.5201,0.2972,0.7361,0.3102,0.3104,0.1196,0.5263,0.3102,0.3098,0.1196,0.5223,0.4231,0.4228,0.2366,0.6161
PIK3CA/mTOR,tpsa,baseline,44,18,14,12,2000,0.2599,0.2589,0.0828,0.4603,0.4514,0.4492,0.2404,0.6667,0.2599,0.2564,0.0828,0.4397,0.3483,0.3479,0.1906,0.5226
