pair,arm,auroc_D_vs_A,auroc_D_vs_B,summary_min,n,n_dual,n_A_only,n_B_only
EGFR/HER2,vina_mean,0.6805,0.2824,0.2824,98,28,38,32
EGFR/HER2,rtm_min_z,0.5329,0.2533,0.2533,98,28,38,32
EGFR/HER2,gnina_cnn_min,0.4859,0.2634,0.2634,98,28,38,32
EGFR/HER2,heavy,0.6997,0.3694,0.3694,98,28,38,32
EGFR/HER2,mw,0.6476,0.4163,0.4163,98,28,38,32
EGFR/HER2,clogp,0.5263,0.4821,0.4821,98,28,38,32
EGFR/HER2,tpsa,0.703,0.4275,0.4275,98,28,38,32
AChE/BChE,vina_mean,0.5304,0.5853,0.5304,80,27,25,28
AChE/BChE,rtm_min_z,0.4089,0.463,0.4089,80,27,25,28
AChE/BChE,gnina_cnn_min,0.3719,0.4947,0.3719,80,27,25,28
AChE/BChE,heavy,0.5472,0.5969,0.5472,84,28,28,28
AChE/BChE,mw,0.5338,0.6008,0.5338,84,28,28,28
AChE/BChE,clogp,0.5089,0.4847,0.4847,84,28,28,28
AChE/BChE,tpsa,0.7526,0.808,0.7526,84,28,28,28
PIK3CA/PIK3CB,vina_mean,0.703,0.412,0.412,83,28,27,28
PIK3CA/PIK3CB,rtm_min_z,0.6505,0.4388,0.4388,84,28,28,28
PIK3CA/PIK3CB,gnina_cnn_min,0.5574,0.5064,0.5064,84,28,28,28
PIK3CA/PIK3CB,heavy,0.5995,0.6849,0.5995,84,28,28,28
PIK3CA/PIK3CB,mw,0.5982,0.7117,0.5982,84,28,28,28
PIK3CA/PIK3CB,clogp,0.5816,0.8099,0.5816,84,28,28,28
PIK3CA/PIK3CB,tpsa,0.4031,0.6154,0.4031,84,28,28,28
PIK3CA/mTOR,vina_mean,0.7222,0.6713,0.6713,44,18,14,12
PIK3CA/mTOR,rtm_min_z,0.5198,0.6713,0.5198,44,18,14,12
PIK3CA/mTOR,gnina_cnn_min,0.5635,0.662,0.5635,44,18,14,12
PIK3CA/mTOR,heavy,0.4643,0.463,0.463,44,18,14,12
PIK3CA/mTOR,mw,0.4484,0.4722,0.4484,44,18,14,12
PIK3CA/mTOR,clogp,0.5198,0.3102,0.3102,44,18,14,12
PIK3CA/mTOR,tpsa,0.2599,0.4514,0.2599,44,18,14,12
