pair,arm,family,summary_min,ci_lo,ci_hi,auroc_D_vs_A,auroc_D_vs_A_ci_lo,auroc_D_vs_A_ci_hi,auroc_D_vs_B,auroc_D_vs_B_ci_lo,auroc_D_vs_B_ci_hi,auroc_pooled,n
EGFR/HER2,vina_mean,docking,0.2824,0.1577,0.4219,0.6805,0.542,0.8097,0.2824,0.1577,0.4219,0.4985,98
EGFR/HER2,rtm_min_z,docking,0.2533,0.1276,0.3889,0.5329,0.386,0.6676,0.2533,0.1276,0.3889,0.4051,98
EGFR/HER2,gnina_cnn_min,docking,0.2645,0.1462,0.3979,0.4906,0.3529,0.6313,0.2645,0.1462,0.3979,0.3872,98
EGFR/HER2,heavy,baseline,0.3694,0.217,0.5255,0.6997,0.5725,0.8141,0.3694,0.217,0.5255,0.5487,98
EGFR/HER2,mw,baseline,0.4163,0.2667,0.5703,0.6476,0.5155,0.7744,0.4163,0.2667,0.5703,0.5418,98
EGFR/HER2,clogp,baseline,0.4821,0.33,0.6121,0.5263,0.3824,0.674,0.4821,0.3306,0.6317,0.5061,98
EGFR/HER2,tpsa,baseline,0.4275,0.287,0.5778,0.703,0.5762,0.8207,0.4275,0.287,0.5778,0.577,98
AChE/BChE,vina_mean,docking,0.5304,0.3571,0.6689,0.5304,0.3599,0.6913,0.5853,0.4296,0.736,0.5594,80
AChE/BChE,rtm_min_z,docking,0.4089,0.2533,0.5615,0.4089,0.2545,0.5764,0.463,0.3032,0.6292,0.4375,80
AChE/BChE,gnina_cnn_min,docking,0.3585,0.2018,0.4762,0.3585,0.2099,0.525,0.3849,0.2328,0.5451,0.3725,80
AChE/BChE,heavy,baseline,0.582,0.4057,0.711,0.5941,0.4313,0.7517,0.582,0.4208,0.756,0.5877,80
AChE/BChE,mw,baseline,0.5785,0.4025,0.7073,0.5785,0.4187,0.7407,0.586,0.4214,0.7493,0.5825,80
AChE/BChE,clogp,baseline,0.4669,0.3086,0.6257,0.5481,0.3844,0.7037,0.4669,0.3086,0.6301,0.5052,80
AChE/BChE,tpsa,baseline,0.7333,0.5759,0.849,0.7333,0.5761,0.8696,0.8009,0.6714,0.9032,0.769,80
PIK3CA/PIK3CB,vina_mean,docking,0.412,0.2625,0.5584,0.703,0.5442,0.8399,0.412,0.2625,0.5598,0.5549,83
PIK3CA/PIK3CB,rtm_min_z,docking,0.4388,0.2817,0.5919,0.6627,0.5104,0.8014,0.4388,0.2817,0.5928,0.5487,83
PIK3CA/PIK3CB,gnina_cnn_min,docking,0.4337,0.2844,0.5919,0.586,0.4273,0.7302,0.4337,0.2844,0.5921,0.5084,83
PIK3CA/PIK3CB,heavy,baseline,0.6217,0.4663,0.7607,0.6217,0.469,0.7787,0.6849,0.539,0.8333,0.6539,83
PIK3CA/PIK3CB,mw,baseline,0.6204,0.4573,0.7672,0.6204,0.4585,0.7726,0.7117,0.5516,0.8491,0.6669,83
PIK3CA/PIK3CB,clogp,baseline,0.5952,0.4419,0.7436,0.5952,0.4419,0.7436,0.8099,0.6829,0.9167,0.7045,83
PIK3CA/PIK3CB,tpsa,baseline,0.418,0.2599,0.5775,0.418,0.2599,0.5775,0.6154,0.448,0.758,0.5185,83
PIK3CA/mTOR,vina_mean,docking,0.6713,0.428,0.8102,0.7222,0.5182,0.8988,0.6713,0.4402,0.865,0.6987,44
PIK3CA/mTOR,rtm_min_z,docking,0.5198,0.2899,0.7183,0.5198,0.2899,0.7542,0.6713,0.4583,0.8524,0.5897,44
PIK3CA/mTOR,gnina_cnn_min,docking,0.5952,0.375,0.7961,0.5952,0.375,0.8045,0.7037,0.4921,0.8877,0.6453,44
PIK3CA/mTOR,heavy,baseline,0.463,0.2352,0.6139,0.4643,0.2626,0.67,0.463,0.2514,0.6759,0.4637,44
PIK3CA/mTOR,mw,baseline,0.4484,0.2279,0.6088,0.4484,0.25,0.6648,0.4722,0.255,0.6929,0.4594,44
PIK3CA/mTOR,clogp,baseline,0.3102,0.119,0.5282,0.5198,0.2996,0.7321,0.3102,0.119,0.535,0.4231,44
PIK3CA/mTOR,tpsa,baseline,0.2599,0.0952,0.4463,0.2599,0.0952,0.455,0.4514,0.2353,0.679,0.3483,44
