pair,ligand,cls,gnina_min_mode01,gnina_min_best9,best_cnn_3POZ,best_cnn_3RCD,best_cnn_4JT6,best_cnn_4L23,best_cnn_ACHE,best_cnn_BCHE,best_cnn_PIK3CA,best_cnn_PIK3CB,best_mode_3POZ,best_mode_3RCD,best_mode_4JT6,best_mode_4L23,best_mode_ACHE,best_mode_BCHE,best_mode_PIK3CA,best_mode_PIK3CB,mode01_is_best_3POZ,mode01_is_best_3RCD,mode01_is_best_4JT6,mode01_is_best_4L23,mode01_is_best_ACHE,mode01_is_best_BCHE,mode01_is_best_PIK3CA,mode01_is_best_PIK3CB
AChE/BChE,AB_001,dual,,,,,,,,,,,,,,,,,,,,,,,,,,
AChE/BChE,AB_002,dual,0.4531404376,0.4531404376,,,,,0.5408454537,0.4531404376,,,,,,,mode_01,mode_01,,,,,,,1,1,,
AChE/BChE,AB_003,dual,0.4808607697,0.6210270524,,,,,0.6210270524,0.7625131607,,,,,,,mode_01,mode_02,,,,,,,1,0,,
AChE/BChE,AB_004,dual,0.2628403902,0.2628403902,,,,,0.2628403902,0.5469623804,,,,,,,mode_01,mode_07,,,,,,,1,0,,
AChE/BChE,AB_005,dual,0.2869314551,0.5061365962,,,,,0.5061365962,0.7815131545,,,,,,,mode_03,mode_03,,,,,,,0,0,,
AChE/BChE,AB_006,dual,0.5831249356,0.6579270363,,,,,0.8111369014,0.6579270363,,,,,,,mode_07,mode_02,,,,,,,0,0,,
AChE/BChE,AB_007,dual,0.1719632,0.2850957811,,,,,0.3276032209,0.2850957811,,,,,,,mode_03,mode_08,,,,,,,0,0,,
AChE/BChE,AB_008,dual,0.7969833612,0.8894884586,,,,,0.9382705688,0.8894884586,,,,,,,mode_01,mode_07,,,,,,,1,0,,
AChE/BChE,AB_009,dual,0.3822372556,0.4947900772,,,,,0.4947900772,0.6281625032,,,,,,,mode_09,mode_06,,,,,,,0,0,,
AChE/BChE,AB_010,dual,0.1769875139,0.5139223337,,,,,0.8652863503,0.5139223337,,,,,,,mode_08,mode_08,,,,,,,0,0,,
AChE/BChE,AB_011,dual,0.2222846895,0.9056963921,,,,,0.9314735532,0.9056963921,,,,,,,mode_07,mode_04,,,,,,,0,0,,
AChE/BChE,AB_012,dual,0.729161799,0.729161799,,,,,0.729161799,0.7698507905,,,,,,,mode_01,mode_01,,,,,,,1,1,,
AChE/BChE,AB_013,dual,0.4434059858,0.7215676308,,,,,0.7687036991,0.7215676308,,,,,,,mode_04,mode_08,,,,,,,0,0,,
AChE/BChE,AB_014,dual,0.1883319467,0.4696185291,,,,,0.4696185291,0.8016522527,,,,,,,mode_01,mode_08,,,,,,,1,0,,
AChE/BChE,AB_015,dual,0.565420866,0.8076109886,,,,,0.8076109886,0.9345625043,,,,,,,mode_05,mode_08,,,,,,,0,0,,
AChE/BChE,AB_016,dual,0.1158996895,0.4990449846,,,,,0.4990449846,0.880926013,,,,,,,mode_02,mode_02,,,,,,,0,0,,
AChE/BChE,AB_017,dual,0.3287650943,0.5374085903,,,,,0.5374085903,0.9379582405,,,,,,,mode_08,mode_01,,,,,,,0,1,,
AChE/BChE,AB_018,dual,0.4275693893,0.695417881,,,,,0.695417881,0.8450699449,,,,,,,mode_03,mode_07,,,,,,,0,0,,
AChE/BChE,AB_019,dual,0.2557001412,0.38196522,,,,,0.38196522,0.8290667534,,,,,,,mode_02,mode_04,,,,,,,0,0,,
AChE/BChE,AB_020,dual,0.354152143,0.5118341446,,,,,0.5118341446,0.8575080633,,,,,,,mode_02,mode_08,,,,,,,0,0,,
AChE/BChE,AB_021,dual,0.1658832431,0.4743965268,,,,,0.4743965268,0.9313519001,,,,,,,mode_03,mode_07,,,,,,,0,0,,
AChE/BChE,AB_022,dual,0.2638957202,0.6772155166,,,,,0.7867801785,0.6772155166,,,,,,,mode_06,mode_03,,,,,,,0,0,,
AChE/BChE,AB_023,dual,0.452537626,0.609393239,,,,,0.9027300477,0.609393239,,,,,,,mode_08,mode_01,,,,,,,0,1,,
AChE/BChE,AB_024,dual,0.1773854643,0.7989614606,,,,,0.9563376307,0.7989614606,,,,,,,mode_03,mode_01,,,,,,,0,1,,
AChE/BChE,AB_025,dual,0.1510172039,0.4155229032,,,,,0.4155229032,0.590408802,,,,,,,mode_08,mode_05,,,,,,,0,0,,
AChE/BChE,AB_026,dual,0.511418283,0.6882342696,,,,,0.8841359615,0.6882342696,,,,,,,mode_01,mode_08,,,,,,,1,0,,
AChE/BChE,AB_027,dual,0.3536531031,0.3942637146,,,,,0.3942637146,0.4519404173,,,,,,,mode_08,mode_08,,,,,,,0,0,,
AChE/BChE,AB_028,dual,0.3628659248,0.5762838125,,,,,0.7245132327,0.5762838125,,,,,,,mode_03,mode_03,,,,,,,0,0,,
AChE/BChE,AB_029,A_only,0.2332619131,0.6664665937,,,,,0.9273124337,0.6664665937,,,,,,,mode_03,mode_06,,,,,,,0,0,,
AChE/BChE,AB_030,A_only,0.8149284124,0.9055504203,,,,,0.9202072024,0.9055504203,,,,,,,mode_03,mode_01,,,,,,,0,1,,
AChE/BChE,AB_031,A_only,0.4167961776,0.5648300052,,,,,0.9248306751,0.5648300052,,,,,,,mode_01,mode_05,,,,,,,1,0,,
AChE/BChE,AB_032,A_only,0.3487765193,0.7754949927,,,,,0.7754949927,0.871037364,,,,,,,mode_05,mode_05,,,,,,,0,0,,
AChE/BChE,AB_033,A_only,0.4007860422,0.4997331798,,,,,0.9721446633,0.4997331798,,,,,,,mode_01,mode_08,,,,,,,1,0,,
AChE/BChE,AB_034,A_only,0.4933508635,0.7360411286,,,,,0.9554470778,0.7360411286,,,,,,,mode_05,mode_05,,,,,,,0,0,,
AChE/BChE,AB_035,A_only,0.6699423194,0.7269554138,,,,,0.9145214558,0.7269554138,,,,,,,mode_03,mode_03,,,,,,,0,0,,
AChE/BChE,AB_036,A_only,0.182585597,0.2514616549,,,,,0.885890305,0.2514616549,,,,,,,mode_07,mode_02,,,,,,,0,0,,
AChE/BChE,AB_037,A_only,0.450628221,0.5652503371,,,,,0.9456763268,0.5652503371,,,,,,,mode_04,mode_02,,,,,,,0,0,,
AChE/BChE,AB_038,A_only,0.2816544473,0.5017852783,,,,,0.6715359092,0.5017852783,,,,,,,mode_06,mode_03,,,,,,,0,0,,
AChE/BChE,AB_039,A_only,0.1163217351,0.3890556693,,,,,0.8603585958,0.3890556693,,,,,,,mode_04,mode_03,,,,,,,0,0,,
AChE/BChE,AB_040,A_only,0.2045844495,0.7456495762,,,,,0.7456495762,0.8288155198,,,,,,,mode_06,mode_05,,,,,,,0,0,,
AChE/BChE,AB_041,A_only,0.1338947117,0.4219985008,,,,,0.4219985008,0.4698137939,,,,,,,mode_02,mode_06,,,,,,,0,0,,
AChE/BChE,AB_042,A_only,0.9136368632,0.9146586061,,,,,0.9793003798,0.9146586061,,,,,,,mode_01,mode_06,,,,,,,1,0,,
AChE/BChE,AB_043,A_only,0.6244801879,0.8550997972,,,,,0.9630286098,0.8550997972,,,,,,,mode_01,mode_07,,,,,,,1,0,,
AChE/BChE,AB_044,A_only,0.3932666779,0.3932666779,,,,,0.8765050769,0.3932666779,,,,,,,mode_03,mode_01,,,,,,,0,1,,
AChE/BChE,AB_045,A_only,0.4364675879,0.7414323688,,,,,0.8201031685,0.7414323688,,,,,,,mode_05,mode_05,,,,,,,0,0,,
AChE/BChE,AB_046,A_only,0.2045844495,0.7456495762,,,,,0.7456495762,0.8288155198,,,,,,,mode_06,mode_05,,,,,,,0,0,,
AChE/BChE,AB_047,A_only,0.7373664975,0.7620843649,,,,,0.9188794494,0.7620843649,,,,,,,mode_01,mode_04,,,,,,,1,0,,
AChE/BChE,AB_048,A_only,0.5989602208,0.5989602208,,,,,0.9861375093,0.5989602208,,,,,,,mode_01,mode_01,,,,,,,1,1,,
AChE/BChE,AB_049,A_only,0.4866772294,0.8417972326,,,,,0.9136508703,0.8417972326,,,,,,,mode_03,mode_01,,,,,,,0,1,,
AChE/BChE,AB_050,A_only,0.7381227016,0.8300344348,,,,,0.9097481966,0.8300344348,,,,,,,mode_04,mode_09,,,,,,,0,0,,
AChE/BChE,AB_051,A_only,0.8444980979,0.8444980979,,,,,0.8444980979,0.9622052908,,,,,,,mode_01,mode_02,,,,,,,1,0,,
AChE/BChE,AB_052,A_only,0.5139035583,0.6022185087,,,,,0.6022185087,0.7727288604,,,,,,,mode_02,mode_05,,,,,,,0,0,,
AChE/BChE,AB_053,A_only,,,,,,,,,,,,,,,,,,,,,,,,,,
AChE/BChE,AB_054,A_only,,,,,,,,,,,,,,,,,,,,,,,,,,
AChE/BChE,AB_055,A_only,0.2197566926,0.5356075764,,,,,0.5356075764,0.6234169006,,,,,,,mode_05,mode_05,,,,,,,0,0,,
AChE/BChE,AB_056,A_only,,,,,,,,,,,,,,,,,,,,,,,,,,
AChE/BChE,AB_057,B_only,0.4995365441,0.5644788742,,,,,0.5644788742,0.8846023083,,,,,,,mode_04,mode_09,,,,,,,0,0,,
AChE/BChE,AB_058,B_only,0.3476882279,0.6774274707,,,,,0.6774274707,0.9257390499,,,,,,,mode_04,mode_01,,,,,,,0,1,,
AChE/BChE,AB_059,B_only,0.2133530378,0.5367994308,,,,,0.5367994308,0.8001964688,,,,,,,mode_06,mode_03,,,,,,,0,0,,
AChE/BChE,AB_060,B_only,0.4420976937,0.7933987379,,,,,0.8094274402,0.7933987379,,,,,,,mode_07,mode_08,,,,,,,0,0,,
AChE/BChE,AB_061,B_only,0.2860274911,0.8478841186,,,,,0.8560371399,0.8478841186,,,,,,,mode_01,mode_09,,,,,,,1,0,,
AChE/BChE,AB_062,B_only,0.7034772038,0.7803076506,,,,,0.9481667876,0.7803076506,,,,,,,mode_02,mode_01,,,,,,,0,1,,
AChE/BChE,AB_063,B_only,0.2139267325,0.2295175195,,,,,0.2295175195,0.843942225,,,,,,,mode_02,mode_03,,,,,,,0,0,,
AChE/BChE,AB_064,B_only,0.3710970283,0.4179338813,,,,,0.4179338813,0.8043745756,,,,,,,mode_06,mode_04,,,,,,,0,0,,
AChE/BChE,AB_065,B_only,0.7562860847,0.7750782967,,,,,0.9637342095,0.7750782967,,,,,,,mode_01,mode_02,,,,,,,1,0,,
AChE/BChE,AB_066,B_only,0.4823396504,0.775865376,,,,,0.7830468416,0.775865376,,,,,,,mode_02,mode_02,,,,,,,0,0,,
AChE/BChE,AB_067,B_only,0.1879510134,0.636364758,,,,,0.636364758,0.7650936246,,,,,,,mode_04,mode_02,,,,,,,0,0,,
AChE/BChE,AB_068,B_only,0.2016477436,0.5245730281,,,,,0.7392480373,0.5245730281,,,,,,,mode_04,mode_03,,,,,,,0,0,,
AChE/BChE,AB_069,B_only,0.337895751,0.337895751,,,,,0.8645316958,0.337895751,,,,,,,mode_09,mode_01,,,,,,,0,1,,
AChE/BChE,AB_070,B_only,0.4686969221,0.6371452808,,,,,0.6371452808,0.83056283,,,,,,,mode_05,mode_01,,,,,,,0,1,,
AChE/BChE,AB_071,B_only,0.4575417936,0.5993587375,,,,,0.5993587375,0.7458334565,,,,,,,mode_04,mode_04,,,,,,,0,0,,
AChE/BChE,AB_072,B_only,0.4769920111,0.8407259583,,,,,0.9131671786,0.8407259583,,,,,,,mode_03,mode_05,,,,,,,0,0,,
AChE/BChE,AB_073,B_only,0.150875926,0.3681222796,,,,,0.5356508493,0.3681222796,,,,,,,mode_02,mode_08,,,,,,,0,0,,
AChE/BChE,AB_074,B_only,0.446038872,0.7496581078,,,,,0.7496581078,0.8154004812,,,,,,,mode_06,mode_02,,,,,,,0,0,,
AChE/BChE,AB_075,B_only,0.4131619036,0.7590461373,,,,,0.7590461373,0.8378036618,,,,,,,mode_05,mode_03,,,,,,,0,0,,
AChE/BChE,AB_076,B_only,0.3642050326,0.5095560551,,,,,0.5095560551,0.9614453912,,,,,,,mode_07,mode_01,,,,,,,0,1,,
AChE/BChE,AB_077,B_only,0.514036417,0.7612709403,,,,,0.7612709403,0.9063485265,,,,,,,mode_03,mode_01,,,,,,,0,1,,
