pair,cutoff,arm,n_dual,n_A_only,n_B_only,n_neither,underpowered,auroc_D_vs_A,auroc_D_vs_B,summary_min,auroc_pooled
EGFR/HER2,5.5,vina_mean,69,22,10,9,0,0.7899,0.371,0.371,0.659
EGFR/HER2,5.5,rtm_min_z,69,22,10,9,0,0.6489,0.3913,0.3913,0.5684
EGFR/HER2,5.5,gnina_cnn_min,69,22,10,9,0,0.5191,0.3551,0.3551,0.4678
EGFR/HER2,5.5,heavy,69,22,10,9,0,0.8113,0.3681,0.3681,0.6728
EGFR/HER2,5.5,tpsa,69,22,10,9,0,0.6933,0.4203,0.4203,0.608
EGFR/HER2,5.5,clogp,69,22,10,9,0,0.6219,0.4957,0.4957,0.5824
EGFR/HER2,6.0,vina_mean,28,38,32,12,0,0.6805,0.2824,0.2824,0.4985
EGFR/HER2,6.0,rtm_min_z,28,38,32,12,0,0.5329,0.2533,0.2533,0.4051
EGFR/HER2,6.0,gnina_cnn_min,28,38,32,12,0,0.4906,0.2645,0.2645,0.3872
EGFR/HER2,6.0,heavy,28,38,32,12,0,0.6997,0.3694,0.3694,0.5487
EGFR/HER2,6.0,tpsa,28,38,32,12,0,0.703,0.4275,0.4275,0.577
EGFR/HER2,6.0,clogp,28,38,32,12,0,0.5263,0.4821,0.4821,0.5061
EGFR/HER2,6.5,vina_mean,26,29,29,26,0,0.7401,0.3037,0.3037,0.5219
EGFR/HER2,6.5,rtm_min_z,26,29,29,26,0,0.5212,0.2414,0.2414,0.3813
EGFR/HER2,6.5,gnina_cnn_min,26,29,29,26,0,0.4841,0.2056,0.2056,0.3448
EGFR/HER2,6.5,heavy,26,29,29,26,0,0.7149,0.3985,0.3985,0.5567
EGFR/HER2,6.5,tpsa,26,29,29,26,0,0.7493,0.4973,0.4973,0.6233
EGFR/HER2,6.5,clogp,26,29,29,26,0,0.5358,0.5239,0.5239,0.5298
AChE/BChE,5.5,vina_mean,27,25,28,15,0,0.5304,0.5853,0.5304,0.5594
AChE/BChE,5.5,rtm_min_z,27,25,28,15,0,0.4089,0.463,0.4089,0.4375
AChE/BChE,5.5,gnina_cnn_min,27,25,28,15,0,0.3585,0.3849,0.3585,0.3725
AChE/BChE,5.5,heavy,27,25,28,15,0,0.5941,0.582,0.582,0.5877
AChE/BChE,5.5,tpsa,27,25,28,15,0,0.7333,0.8009,0.7333,0.769
AChE/BChE,5.5,clogp,27,25,28,15,0,0.5481,0.4669,0.4669,0.5052
AChE/BChE,6.0,vina_mean,27,25,28,15,0,0.5304,0.5853,0.5304,0.5594
AChE/BChE,6.0,rtm_min_z,27,25,28,15,0,0.4089,0.463,0.4089,0.4375
AChE/BChE,6.0,gnina_cnn_min,27,25,28,15,0,0.3585,0.3849,0.3585,0.3725
AChE/BChE,6.0,heavy,27,25,28,15,0,0.5941,0.582,0.582,0.5877
AChE/BChE,6.0,tpsa,27,25,28,15,0,0.7333,0.8009,0.7333,0.769
AChE/BChE,6.0,clogp,27,25,28,15,0,0.5481,0.4669,0.4669,0.5052
AChE/BChE,6.5,vina_mean,27,25,28,15,0,0.5304,0.5853,0.5304,0.5594
AChE/BChE,6.5,rtm_min_z,27,25,28,15,0,0.4089,0.463,0.4089,0.4375
