pair,arm,family,n_top10_dual,n_top10_A_only,n_top10_B_only,n_top10_hardneg,n_top10_hardneg_boot_mean,n_top10_hardneg_ci_lo,n_top10_hardneg_ci_hi,n
EGFR/HER2,vina_mean,docking,1,5,4,9,8.909,7.0,10.0,98
EGFR/HER2,rtm_min_z,docking,3,4,3,7,7.1555,4.0,10.0,98
EGFR/HER2,gnina_cnn_min,docking,1,1,8,9,8.691,6.0,10.0,98
EGFR/HER2,heavy,baseline,3,2,5,7,6.606,3.0,9.0,98
EGFR/HER2,mw,baseline,4,4,2,6,6.291,3.0,9.0,98
EGFR/HER2,clogp,baseline,3,6,1,7,7.32,4.0,10.0,98
EGFR/HER2,tpsa,baseline,2,3,5,8,7.5795,4.975,10.0,98
AChE/BChE,vina_mean,docking,6,3,1,4,4.28,1.0,8.0,80
AChE/BChE,rtm_min_z,docking,4,4,2,6,5.6415,2.0,9.0,80
AChE/BChE,gnina_cnn_min,docking,2,5,3,8,7.679,5.0,10.0,80
AChE/BChE,heavy,baseline,5,3,2,5,5.3595,2.0,9.0,80
AChE/BChE,mw,baseline,5,3,2,5,5.0735,2.0,8.0,80
AChE/BChE,clogp,baseline,4,3,3,6,5.558,2.0,9.0,80
AChE/BChE,tpsa,baseline,7,3,0,3,3.126,1.0,6.0,80
PIK3CA/PIK3CB,vina_mean,docking,3,4,3,7,6.443,3.0,9.0,83
PIK3CA/PIK3CB,rtm_min_z,docking,4,3,3,6,6.042,3.0,9.0,83
PIK3CA/PIK3CB,gnina_cnn_min,docking,5,2,3,5,5.218,2.0,8.0,83
PIK3CA/PIK3CB,heavy,baseline,6,2,2,4,3.9595,1.0,7.0,83
PIK3CA/PIK3CB,mw,baseline,6,2,2,4,3.7965,1.0,7.0,83
PIK3CA/PIK3CB,clogp,baseline,6,3,1,4,3.852,1.0,7.0,83
PIK3CA/PIK3CB,tpsa,baseline,5,3,2,5,5.802,3.0,9.0,83
PIK3CA/mTOR,vina_mean,docking,6,2,2,4,4.0155,0.0,8.0,44
PIK3CA/mTOR,rtm_min_z,docking,4,5,1,6,5.6525,2.0,9.0,44
PIK3CA/mTOR,gnina_cnn_min,docking,6,4,0,4,3.485,1.0,7.0,44
PIK3CA/mTOR,heavy,baseline,4,4,2,6,5.926,3.0,9.0,44
PIK3CA/mTOR,mw,baseline,3,5,2,7,6.486,3.0,9.0,44
PIK3CA/mTOR,clogp,baseline,4,2,4,6,5.934,2.0,9.0,44
PIK3CA/mTOR,tpsa,baseline,1,7,2,9,8.1975,5.0,10.0,44
