pair,source,rule,source_complete,uniprot_A,uniprot_B,n_ligands_A,n_ligands_B,n_both_measured,theta_dual,theta_A_only,theta_B_only,strict_dual,strict_A_only,strict_B_only,strict_neither,gray,gray_frac,min_strict_hardneg,supports_strict_panel,supports_thin_panel
F2/F10,ChEMBL37_dump,pChEMBL_STANDARD_OK,True,P00734,P00742,5583,5937,1868,645,258,607,389,117,281,196,885,0.474,117,True,True
F2/F10,BindingDB,as_is,True,P00734,P00742,8286,6899,3245,684,370,1243,381,195,783,673,1213,0.374,195,True,True
F2/F10,BindingDB,equal_only,True,P00734,P00742,5977,6164,1985,634,253,656,376,129,314,270,896,0.451,129,True,True
F2/F10,PubChem,as_is,True,P00734,P00742,8030,7254,3524,771,424,1291,450,219,806,735,1314,0.373,219,True,True
F2/F10,PubChem,equal_only,True,P00734,P00742,5939,6469,2163,713,297,680,439,147,324,283,970,0.448,147,True,True
JAK1/TYK2,ChEMBL37_dump,pChEMBL_STANDARD_OK,True,P23458,P29597,10506,6175,3503,2808,293,314,2097,94,117,35,1160,0.331,94,True,True
JAK1/TYK2,BindingDB,as_is,True,P23458,P29597,14985,11039,5615,4287,366,594,3010,120,262,248,1975,0.352,120,True,True
JAK1/TYK2,BindingDB,equal_only,True,P23458,P29597,12061,7824,4184,3286,319,472,2455,95,165,52,1417,0.339,95,True,True
JAK1/TYK2,PubChem,as_is,True,P23458,P29597,14890,10961,5795,4307,353,566,3005,123,238,428,2001,0.345,123,True,True
JAK1/TYK2,PubChem,equal_only,True,P23458,P29597,11982,7699,4117,3266,289,457,2473,93,163,47,1341,0.326,93,True,True
JAK1/JAK2,ChEMBL37_dump,pChEMBL_STANDARD_OK,True,P23458,O60674,10506,12711,8513,7399,522,286,6316,113,53,104,1927,0.226,53,True,True
JAK1/JAK2,BindingDB,as_is,True,P23458,O60674,14985,18211,12506,10258,913,339,8364,216,66,616,3244,0.259,66,True,True
JAK1/JAK2,BindingDB,equal_only,True,P23458,O60674,12061,14902,9761,8387,629,299,7134,131,54,157,2285,0.234,54,True,True
JAK1/JAK2,PubChem,as_is,True,P23458,O60674,14890,17661,12361,10112,894,340,8409,221,72,640,3019,0.244,72,True,True
JAK1/JAK2,PubChem,equal_only,True,P23458,O60674,11982,14427,9700,8346,632,293,7169,138,54,149,2190,0.226,54,True,True
PPARG/PPARA,ChEMBL37_dump,pChEMBL_STANDARD_OK,True,P37231,Q07869,4337,2836,2058,802,322,413,445,85,102,276,1150,0.559,85,True,True
PPARG/PPARA,BindingDB,as_is,True,P37231,Q07869,5264,3403,2948,780,579,537,413,261,164,700,1410,0.478,164,True,True
PPARG/PPARA,BindingDB,equal_only,True,P37231,Q07869,4447,2682,2026,768,328,398,413,84,95,282,1152,0.569,84,True,True
PPARG/PPARA,PubChem,as_is,True,P37231,Q07869,5505,3670,3131,890,596,558,464,267,171,726,1503,0.48,171,True,True
PPARG/PPARA,PubChem,equal_only,True,P37231,Q07869,4614,2880,2134,837,337,411,464,84,99,291,1196,0.56,84,True,True
PPARA/PPARD,ChEMBL37_dump,pChEMBL_STANDARD_OK,True,Q07869,Q03181,2836,1865,1226,494,236,286,276,84,110,95,661,0.539,84,True,True
PPARA/PPARD,BindingDB,as_is,True,Q07869,Q03181,3403,2099,1774,472,303,515,255,134,296,309,780,0.44,134,True,True
PPARA/PPARD,BindingDB,equal_only,True,Q07869,Q03181,2682,1740,1155,465,210,275,253,71,103,102,626,0.542,71,True,True
PPARA/PPARD,PubChem,as_is,True,Q07869,Q03181,3670,2303,1966,537,368,534,273,179,300,337,877,0.446,179,True,True
PPARA/PPARD,PubChem,equal_only,True,Q07869,Q03181,2880,1868,1231,490,235,288,271,81,103,103,673,0.547,81,True,True
