pair,contrast,model,n,n_groups,n_splits,cv_auroc,note
F2/F10,D_vs_A,docking,63,40,5,0.5171,document-blocked GroupKFold
F2/F10,D_vs_A,ECFP4,63,40,5,0.7802,document-blocked GroupKFold
F2/F10,D_vs_A,ECFP4+docking,63,40,5,0.7913,document-blocked GroupKFold
F2/F10,D_vs_B,docking,63,48,5,0.622,document-blocked GroupKFold
F2/F10,D_vs_B,ECFP4,63,48,5,0.6825,document-blocked GroupKFold
F2/F10,D_vs_B,ECFP4+docking,63,48,5,0.7026,document-blocked GroupKFold
JAK1/TYK2,D_vs_A,docking,63,26,5,0.0978,document-blocked GroupKFold
JAK1/TYK2,D_vs_A,ECFP4,63,26,5,0.5433,document-blocked GroupKFold
JAK1/TYK2,D_vs_A,ECFP4+docking,63,26,5,0.5161,document-blocked GroupKFold
JAK1/TYK2,D_vs_B,docking,63,25,5,0.1492,document-blocked GroupKFold
JAK1/TYK2,D_vs_B,ECFP4,63,25,5,0.6482,document-blocked GroupKFold
JAK1/TYK2,D_vs_B,ECFP4+docking,63,25,5,0.6552,document-blocked GroupKFold
JAK1/JAK2,D_vs_A,docking,64,32,5,0.2305,document-blocked GroupKFold
JAK1/JAK2,D_vs_A,ECFP4,64,32,5,0.6519,document-blocked GroupKFold
JAK1/JAK2,D_vs_A,ECFP4+docking,64,32,5,0.6299,document-blocked GroupKFold
JAK1/JAK2,D_vs_B,docking,64,30,5,0.5098,document-blocked GroupKFold
JAK1/JAK2,D_vs_B,ECFP4,64,30,5,0.9395,document-blocked GroupKFold
JAK1/JAK2,D_vs_B,ECFP4+docking,64,30,5,0.9375,document-blocked GroupKFold
PPARG/PPARA,D_vs_A,docking,63,35,5,0.5625,document-blocked GroupKFold
PPARG/PPARA,D_vs_A,ECFP4,63,35,5,0.6966,document-blocked GroupKFold
PPARG/PPARA,D_vs_A,ECFP4+docking,63,35,5,0.6986,document-blocked GroupKFold
PPARG/PPARA,D_vs_B,docking,64,36,5,0.5938,document-blocked GroupKFold
PPARG/PPARA,D_vs_B,ECFP4,64,36,5,0.7588,document-blocked GroupKFold
PPARG/PPARA,D_vs_B,ECFP4+docking,64,36,5,0.7412,document-blocked GroupKFold
PPARA/PPARD,D_vs_A,docking,64,21,5,0.3047,document-blocked GroupKFold
PPARA/PPARD,D_vs_A,ECFP4,64,21,5,0.6572,document-blocked GroupKFold
PPARA/PPARD,D_vs_A,ECFP4+docking,64,21,5,0.6504,document-blocked GroupKFold
PPARA/PPARD,D_vs_B,docking,64,18,5,0.2012,document-blocked GroupKFold
PPARA/PPARD,D_vs_B,ECFP4,64,18,5,0.6289,document-blocked GroupKFold
PPARA/PPARD,D_vs_B,ECFP4+docking,64,18,5,0.5996,document-blocked GroupKFold
