pair,contrast,n_ligands,n_document_groups,n_boot_ok,auroc,ci_lo,ci_hi,note
F2/F10,D_vs_A,63,40,2000,0.4133,0.2416,0.6092,resample document-connected groups
F2/F10,D_vs_B,63,48,2000,0.3448,0.2148,0.4964,resample document-connected groups
JAK1/TYK2,D_vs_A,63,26,2000,0.5751,0.1644,0.7951,resample document-connected groups
JAK1/TYK2,D_vs_B,63,25,2000,0.3649,0.1774,0.74,resample document-connected groups
JAK1/JAK2,D_vs_A,64,32,2000,0.5884,0.3967,0.8042,resample document-connected groups
JAK1/JAK2,D_vs_B,64,30,2000,0.7275,0.5101,0.9303,resample document-connected groups
PPARG/PPARA,D_vs_A,63,35,2000,0.6492,0.4512,0.8533,resample document-connected groups
PPARG/PPARA,D_vs_B,64,36,2000,0.7061,0.577,0.8321,resample document-connected groups
PPARA/PPARD,D_vs_A,64,21,1998,0.6465,0.4592,0.7874,resample document-connected groups
PPARA/PPARD,D_vs_B,64,18,1999,0.4463,0.2266,0.7351,resample document-connected groups
