pair,class,n,mw_median,mw_q1,mw_q3,heavy_median,clogp_median,tpsa_median,charge_median,rotatable_median,n_scaffolds,singleton_scaffold_fraction,nearest_dual_ecfp4_median,note
F2/F10,dual,31,496.659,468.205,559.5845,35.0,3.4953,130.93,0.0,7.0,28,0.8065,,post-hoc descriptive; not a battery of unadjusted tests
F2/F10,A_only,32,483.058,405.473,542.4568,34.5,3.5373,118.18,0.0,8.0,25,0.5625,0.2634,post-hoc descriptive; not a battery of unadjusted tests
F2/F10,B_only,32,500.0395,468.079,548.1545,35.5,2.6972,153.965,0.0,8.0,30,0.875,0.3687,post-hoc descriptive; not a battery of unadjusted tests
F2/F10,neither,12,386.397,352.1233,509.376,28.5,3.3226,124.21,0.0,5.0,12,1.0,0.3354,post-hoc descriptive; not a battery of unadjusted tests
JAK1/TYK2,dual,31,409.513,367.4475,447.524,30.0,3.3041,101.96,0.0,5.0,30,0.9355,,post-hoc descriptive; not a battery of unadjusted tests
JAK1/TYK2,A_only,32,395.929,385.9788,441.377,28.0,2.3314,91.42,0.0,6.0,29,0.8125,0.4367,post-hoc descriptive; not a battery of unadjusted tests
JAK1/TYK2,B_only,32,434.0225,403.737,459.8263,31.5,2.8246,101.02,0.0,5.0,30,0.875,0.3763,post-hoc descriptive; not a battery of unadjusted tests
JAK1/TYK2,neither,14,320.3745,298.8628,347.4538,23.0,2.1055,86.93,0.0,5.0,10,0.5,0.2607,post-hoc descriptive; not a battery of unadjusted tests
JAK1/JAK2,dual,32,462.002,401.9398,571.3283,33.5,3.2542,108.6,0.0,5.5,31,0.9375,,post-hoc descriptive; not a battery of unadjusted tests
JAK1/JAK2,A_only,32,432.615,367.43,580.6928,30.5,3.5041,114.38,0.0,6.5,18,0.4375,0.2549,post-hoc descriptive; not a battery of unadjusted tests
JAK1/JAK2,B_only,32,423.0105,404.522,458.8058,31.0,3.1528,89.5,0.0,6.0,25,0.6875,0.1781,post-hoc descriptive; not a battery of unadjusted tests
JAK1/JAK2,neither,14,380.3925,339.1442,470.567,28.0,3.5631,103.1,0.0,4.5,14,1.0,0.3836,post-hoc descriptive; not a battery of unadjusted tests
PPARG/PPARA,dual,32,475.983,449.3343,503.617,34.0,6.0843,84.71,0.0,10.0,27,0.75,,post-hoc descriptive; not a battery of unadjusted tests
PPARG/PPARA,A_only,31,477.504,429.549,537.828,34.0,6.1084,72.56,0.0,9.0,26,0.7419,0.3404,post-hoc descriptive; not a battery of unadjusted tests
PPARG/PPARA,B_only,32,463.6285,426.8963,499.0195,32.0,5.0889,79.775,0.0,9.0,24,0.5625,0.2963,post-hoc descriptive; not a battery of unadjusted tests
PPARG/PPARA,neither,14,455.0995,357.5685,497.3478,31.5,4.7178,81.515,0.0,7.5,13,0.8571,0.2085,post-hoc descriptive; not a battery of unadjusted tests
PPARA/PPARD,dual,32,465.0275,449.0213,502.8648,33.0,5.7689,75.715,0.0,9.5,20,0.375,,post-hoc descriptive; not a battery of unadjusted tests
PPARA/PPARD,A_only,32,447.745,413.245,484.7605,32.0,5.2837,81.79,0.0,9.0,20,0.4375,0.2817,post-hoc descriptive; not a battery of unadjusted tests
PPARA/PPARD,B_only,32,487.9655,449.5338,516.671,33.0,5.4126,83.91,0.0,9.0,17,0.3438,0.246,post-hoc descriptive; not a battery of unadjusted tests
PPARA/PPARD,neither,14,423.995,406.1798,447.9805,31.0,4.9337,77.25,0.0,7.5,11,0.5714,0.2634,post-hoc descriptive; not a battery of unadjusted tests
