pair,contrast,model,n,n_pos,n_neg,n_scaffolds,n_splits,cv_auroc,rank_auroc_docking,delta_ECFP4_plus_docking_minus_ECFP4,note
EGFR/HER2,D_vs_A,ECFP4,65,28,37,53,5,0.7992,0.6564,-0.0068,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
EGFR/HER2,D_vs_A,docking,65,28,37,53,5,0.5203,0.6564,-0.0068,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
EGFR/HER2,D_vs_A,ECFP4+docking,65,28,37,53,5,0.7925,0.6564,-0.0068,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
EGFR/HER2,D_vs_B,ECFP4,60,28,32,51,5,0.8527,0.3237,-0.0078,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
EGFR/HER2,D_vs_B,docking,60,28,32,51,5,0.6172,0.3237,-0.0078,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
EGFR/HER2,D_vs_B,ECFP4+docking,60,28,32,51,5,0.8449,0.3237,-0.0078,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/JAK2,D_vs_A,ECFP4,64,32,32,48,5,0.8901,0.5884,-0.0112,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/JAK2,D_vs_A,docking,64,32,32,48,5,0.3213,0.5884,-0.0112,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/JAK2,D_vs_A,ECFP4+docking,64,32,32,48,5,0.8789,0.5884,-0.0112,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/JAK2,D_vs_B,ECFP4,64,32,32,56,5,0.9658,0.7275,0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/JAK2,D_vs_B,docking,64,32,32,56,5,0.6934,0.7275,0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/JAK2,D_vs_B,ECFP4+docking,64,32,32,56,5,0.9668,0.7275,0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/TYK2,D_vs_A,ECFP4,63,31,32,59,5,0.8528,0.5751,-0.0101,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/TYK2,D_vs_A,docking,63,31,32,59,5,0.3276,0.5751,-0.0101,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/TYK2,D_vs_A,ECFP4+docking,63,31,32,59,5,0.8427,0.5751,-0.0101,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/TYK2,D_vs_B,ECFP4,63,31,32,59,5,0.8881,0.3649,-0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/TYK2,D_vs_B,docking,63,31,32,59,5,0.5756,0.3649,-0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
JAK1/TYK2,D_vs_B,ECFP4+docking,63,31,32,59,5,0.8871,0.3649,-0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PIK3CA/mTOR,D_vs_A,ECFP4,32,18,14,31,5,0.7817,0.7143,-0.0079,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PIK3CA/mTOR,D_vs_A,docking,32,18,14,31,5,0.6587,0.7143,-0.0079,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PIK3CA/mTOR,D_vs_A,ECFP4+docking,32,18,14,31,5,0.7738,0.7143,-0.0079,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PIK3CA/mTOR,D_vs_B,ECFP4,30,18,12,28,5,0.8889,0.6921,0.0000,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PIK3CA/mTOR,D_vs_B,docking,30,18,12,28,5,0.6296,0.6921,0.0000,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PIK3CA/mTOR,D_vs_B,ECFP4+docking,30,18,12,28,5,0.8889,0.6921,0.0000,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
AChE/BChE,D_vs_A,ECFP4,53,27,26,45,5,0.8974,0.6524,-0.0071,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
AChE/BChE,D_vs_A,docking,53,27,26,45,5,0.6254,0.6524,-0.0071,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
AChE/BChE,D_vs_A,ECFP4+docking,53,27,26,45,5,0.8903,0.6524,-0.0071,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
AChE/BChE,D_vs_B,ECFP4,55,27,28,50,5,0.8426,0.6058,-0.0106,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
AChE/BChE,D_vs_B,docking,55,27,28,50,5,0.5529,0.6058,-0.0106,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
AChE/BChE,D_vs_B,ECFP4+docking,55,27,28,50,5,0.8320,0.6058,-0.0106,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
F2/F10,D_vs_A,ECFP4,63,31,32,53,5,0.9466,0.4133,0.0030,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
F2/F10,D_vs_A,docking,63,31,32,53,5,0.5605,0.4133,0.0030,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
F2/F10,D_vs_A,ECFP4+docking,63,31,32,53,5,0.9496,0.4133,0.0030,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
F2/F10,D_vs_B,ECFP4,63,31,32,58,5,0.7571,0.3448,0.0081,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
F2/F10,D_vs_B,docking,63,31,32,58,5,0.6210,0.3448,0.0081,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
F2/F10,D_vs_B,ECFP4+docking,63,31,32,58,5,0.7651,0.3448,0.0081,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARG/PPARA,D_vs_A,ECFP4,63,32,31,51,5,0.8569,0.6492,-0.0040,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARG/PPARA,D_vs_A,docking,63,32,31,51,5,0.6018,0.6492,-0.0040,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARG/PPARA,D_vs_A,ECFP4+docking,63,32,31,51,5,0.8528,0.6492,-0.0040,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARG/PPARA,D_vs_B,ECFP4,64,32,32,51,5,0.7344,0.7061,0.0059,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARG/PPARA,D_vs_B,docking,64,32,32,51,5,0.6621,0.7061,0.0059,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARG/PPARA,D_vs_B,ECFP4+docking,64,32,32,51,5,0.7402,0.7061,0.0059,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARA/PPARD,D_vs_A,ECFP4,64,32,32,40,5,0.9453,0.6465,-0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARA/PPARD,D_vs_A,docking,64,32,32,40,5,0.4795,0.6465,-0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARA/PPARD,D_vs_A,ECFP4+docking,64,32,32,40,5,0.9443,0.6465,-0.0010,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARA/PPARD,D_vs_B,ECFP4,64,32,32,35,5,0.7471,0.4463,-0.0088,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARA/PPARD,D_vs_B,docking,64,32,32,35,5,0.2646,0.4463,-0.0088,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
PPARA/PPARD,D_vs_B,ECFP4+docking,64,32,32,35,5,0.7383,0.4463,-0.0088,"unscaled logistic GroupKFold OOF; docking-only is logistic OOF, not rank AUROC"
