pair,aggregation,subset,auroc_D_vs_A,auroc_D_vs_B,summary_min,ci_lo,ci_hi,n_dual,n_A_only,n_B_only,n_boot_ok
F2/F10,pocket_matched,all_scored,0.4133,0.3448,0.3448,0.2109,0.4788,31,32,32,2000
F2/F10,wrong_pocket,all_scored,0.4506,0.3755,0.3755,0.2369,0.5162,31,32,32,2000
F2/F10,le_pocket_matched,all_scored,0.4093,0.4516,0.4093,0.2675,0.5308,31,32,32,2000
F2/F10,worst_pocket,all_scored,0.4173,0.3569,0.3569,0.2237,0.4994,31,32,32,2000
F2/F10,pooled_mean,all_scored,0.4103,0.3574,0.3574,0.2241,0.4981,31,32,32,2000
F2/F10,pocket_matched,D_vs_A_potency0.5_size2,,,,,,0,0,,
F2/F10,pocket_matched,D_vs_B_potency0.5_size2,,,,,,0,,0,
JAK1/TYK2,pocket_matched,all_scored,0.5751,0.3649,0.3649,0.2281,0.5052,31,32,32,2000
JAK1/TYK2,wrong_pocket,all_scored,0.5151,0.4294,0.4294,0.2903,0.5466,31,32,32,2000
JAK1/TYK2,le_pocket_matched,all_scored,0.5171,0.5433,0.5171,0.369,0.6355,31,32,32,2000
JAK1/TYK2,worst_pocket,all_scored,0.5806,0.3569,0.3569,0.226,0.5035,31,32,32,2000
JAK1/TYK2,pooled_mean,all_scored,0.5539,0.3942,0.3942,0.2551,0.5286,31,32,32,2000
JAK1/TYK2,pocket_matched,D_vs_A_potency0.5_size2,,,,,,0,0,,
JAK1/TYK2,pocket_matched,D_vs_B_potency0.5_size2,,,,,,0,,0,
JAK1/JAK2,pocket_matched,all_scored,0.5884,0.7275,0.5884,0.4336,0.7291,32,32,32,2000
JAK1/JAK2,wrong_pocket,all_scored,0.6074,0.7231,0.6074,0.4634,0.7323,32,32,32,2000
JAK1/JAK2,le_pocket_matched,all_scored,0.4365,0.5518,0.4365,0.2964,0.5711,32,32,32,2000
JAK1/JAK2,worst_pocket,all_scored,0.603,0.7114,0.603,0.4664,0.7328,32,32,32,2000
JAK1/JAK2,pooled_mean,all_scored,0.5918,0.7178,0.5918,0.4448,0.7234,32,32,32,2000
JAK1/JAK2,pocket_matched,D_vs_A_potency0.5_size2,,,,,,0,0,,
JAK1/JAK2,pocket_matched,D_vs_B_potency0.5_size2,,,,,,0,,0,
PPARG/PPARA,pocket_matched,all_scored,0.6492,0.7061,0.6492,0.5027,0.7436,32,31,32,2000
PPARG/PPARA,wrong_pocket,all_scored,0.6512,0.6196,0.6196,0.4613,0.712,32,31,32,2000
PPARG/PPARA,le_pocket_matched,all_scored,0.5413,0.4355,0.4355,0.2954,0.5583,32,31,32,2000
PPARG/PPARA,worst_pocket,all_scored,0.6794,0.6577,0.6577,0.511,0.765,32,31,32,2000
PPARG/PPARA,pooled_mean,all_scored,0.6694,0.6758,0.6694,0.517,0.7677,32,31,32,2000
PPARG/PPARA,pocket_matched,D_vs_A_potency0.5_size2,,,,,,0,0,,
PPARG/PPARA,pocket_matched,D_vs_B_potency0.5_size2,,,,,,0,,0,
PPARA/PPARD,pocket_matched,all_scored,0.6465,0.4463,0.4463,0.3002,0.586,32,32,32,2000
PPARA/PPARD,wrong_pocket,all_scored,0.4346,0.499,0.4346,0.2864,0.5417,32,32,32,2000
PPARA/PPARD,le_pocket_matched,all_scored,0.4443,0.4502,0.4443,0.2795,0.5345,32,32,32,2000
PPARA/PPARD,worst_pocket,all_scored,0.4346,0.4492,0.4346,0.2819,0.5565,32,32,32,2000
PPARA/PPARD,pooled_mean,all_scored,0.5464,0.4785,0.4785,0.3324,0.6012,32,32,32,2000
PPARA/PPARD,pocket_matched,D_vs_A_potency0.5_size2,,,,,,0,0,,
PPARA/PPARD,pocket_matched,D_vs_B_potency0.5_size2,,,,,,0,,0,
