pair,contrast,caliper_sd,n_dual_matched,n_neg_matched,n_dual_full,n_neg_full,auroc_matched,ci_lo,ci_hi,auroc_full,delta_matched_minus_full,underpowered,note
F2/F10,D_vs_A_pocketB,0.5,5,5,31,32,0.8,0.44,1.0,0.4133,0.3867,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
F2/F10,D_vs_A_pocketB,1.0,18,18,31,32,0.4753,0.2654,0.6822,0.4133,0.062,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
F2/F10,D_vs_B_pocketA,0.5,5,5,31,32,0.48,0.12,0.88,0.3448,0.1352,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
F2/F10,D_vs_B_pocketA,1.0,19,19,31,32,0.4598,0.2742,0.6593,0.3448,0.1151,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
JAK1/TYK2,D_vs_A_pocketB,0.5,7,7,31,32,0.551,0.2245,0.8372,0.5751,-0.0241,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
JAK1/TYK2,D_vs_A_pocketB,1.0,18,18,31,32,0.5262,0.3395,0.716,0.5751,-0.0489,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
JAK1/TYK2,D_vs_B_pocketA,0.5,7,7,31,32,0.3878,0.0816,0.6944,0.3649,0.0228,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
JAK1/TYK2,D_vs_B_pocketA,1.0,19,19,31,32,0.41,0.2243,0.6011,0.3649,0.0451,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
JAK1/JAK2,D_vs_A_pocketB,0.5,6,6,32,32,0.7222,0.3611,1.0,0.5884,0.1338,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
JAK1/JAK2,D_vs_A_pocketB,1.0,16,16,32,32,0.5879,0.3826,0.7734,0.5884,-0.0005,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
JAK1/JAK2,D_vs_B_pocketA,0.5,4,4,32,32,0.625,0.1875,1.0,0.7275,-0.1025,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
JAK1/JAK2,D_vs_B_pocketA,1.0,14,14,32,32,0.4541,0.2398,0.6786,0.7275,-0.2735,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PPARG/PPARA,D_vs_A_pocketB,0.5,4,4,32,31,0.625,0.0,1.0,0.6492,-0.0242,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PPARG/PPARA,D_vs_A_pocketB,1.0,17,17,32,31,0.5398,0.3356,0.7439,0.6492,-0.1094,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PPARG/PPARA,D_vs_B_pocketA,0.5,1,1,32,32,0.0,0.0,0.0,0.7061,-0.7061,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PPARG/PPARA,D_vs_B_pocketA,1.0,16,16,32,32,0.5312,0.3242,0.7305,0.7061,-0.1748,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PPARA/PPARD,D_vs_A_pocketB,0.5,7,7,32,32,0.6122,0.2857,0.8776,0.6465,-0.0342,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PPARA/PPARD,D_vs_A_pocketB,1.0,21,21,32,32,0.5238,0.3537,0.7029,0.6465,-0.1227,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PPARA/PPARD,D_vs_B_pocketA,0.5,5,5,32,32,0.72,0.32,1.0,0.4463,0.2737,1,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
PPARA/PPARD,D_vs_B_pocketA,1.0,14,14,32,32,0.6582,0.4335,0.8418,0.4463,0.2119,0,1:1 greedy match on z-scored MW/cLogP/TPSA/heavy; Euclidean caliper in SD units
