pair,contrast,n_ligands,n_scaffolds,n_boot_ok,auroc,ci_lo,ci_hi,note
F2/F10,D_vs_A,63,53,2000,0.4133,0.2604,0.5876,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
F2/F10,D_vs_B,63,58,2000,0.3448,0.206,0.5034,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
JAK1/TYK2,D_vs_A,63,59,2000,0.5751,0.4188,0.7275,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
JAK1/TYK2,D_vs_B,63,59,2000,0.3649,0.2258,0.5018,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
JAK1/JAK2,D_vs_A,64,48,2000,0.5884,0.3775,0.828,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
JAK1/JAK2,D_vs_B,64,56,2000,0.7275,0.5635,0.8448,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
PPARG/PPARA,D_vs_A,63,51,2000,0.6492,0.4943,0.782,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
PPARG/PPARA,D_vs_B,64,51,2000,0.7061,0.5545,0.8312,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
PPARA/PPARD,D_vs_A,64,40,2000,0.6465,0.4426,0.805,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
PPARA/PPARD,D_vs_B,64,35,2000,0.4463,0.2121,0.6667,resample Bemis–Murcko scaffold groups; document-cluster blocked (no document_id on panels)
