pair,label_rule,n_scored_both_ends,n_gray_excluded,n_dual,n_A_only,n_B_only,n_neither,auroc_D_vs_A,auroc_D_vs_B,summary_min,ci_lo,ci_hi,n_boot_ok,note
F2/F10,theta_5.5,107,0,33,31,31,12,0.4076,0.3529,0.3529,0.2156,0.4827,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
F2/F10,theta_6.0,107,0,31,32,32,12,0.4133,0.3448,0.3448,0.2109,0.4773,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
F2/F10,theta_6.5,107,0,31,32,32,12,0.4133,0.3448,0.3448,0.2097,0.4834,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
F2/F10,strict_6.5_5.5,107,0,31,32,32,12,0.4133,0.3448,0.3448,0.2162,0.4767,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
JAK1/TYK2,theta_5.5,109,0,32,31,33,13,0.5973,0.3845,0.3845,0.254,0.5261,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
JAK1/TYK2,theta_6.0,109,0,31,32,32,14,0.5751,0.3649,0.3649,0.2306,0.503,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
JAK1/TYK2,theta_6.5,109,0,31,32,32,14,0.5751,0.3649,0.3649,0.2327,0.4985,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
JAK1/TYK2,strict_6.5_5.5,109,0,31,32,32,14,0.5751,0.3649,0.3649,0.2333,0.5073,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
JAK1/JAK2,theta_5.5,110,0,34,30,32,14,0.5716,0.7169,0.5716,0.4192,0.7113,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
JAK1/JAK2,theta_6.0,110,0,32,32,32,14,0.5884,0.7275,0.5884,0.4444,0.7246,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
JAK1/JAK2,theta_6.5,110,0,32,32,32,14,0.5884,0.7275,0.5884,0.439,0.7166,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
JAK1/JAK2,strict_6.5_5.5,110,0,32,32,32,14,0.5884,0.7275,0.5884,0.4474,0.7235,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
PPARG/PPARA,theta_5.5,109,0,33,30,32,14,0.6444,0.7083,0.6444,0.4979,0.7509,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
PPARG/PPARA,theta_6.0,109,0,32,31,32,14,0.6492,0.7061,0.6492,0.5045,0.7508,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
PPARG/PPARA,theta_6.5,109,0,32,31,32,14,0.6492,0.7061,0.6492,0.5043,0.7492,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
PPARG/PPARA,strict_6.5_5.5,109,0,32,31,32,14,0.6492,0.7061,0.6492,0.5098,0.7469,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
PPARA/PPARD,theta_5.5,110,0,34,33,30,13,0.6711,0.4539,0.4539,0.307,0.5936,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
PPARA/PPARD,theta_6.0,110,0,32,32,32,14,0.6465,0.4463,0.4463,0.2958,0.5841,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
PPARA/PPARD,theta_6.5,110,0,32,32,32,14,0.6465,0.4463,0.4463,0.296,0.5932,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
PPARA/PPARD,strict_6.5_5.5,110,0,32,32,32,14,0.6465,0.4463,0.4463,0.299,0.5926,2000,same frozen Vina scores; labels recomputed from panel pChEMBL
