pair,target,ligand,status,n_modes,mode1_energy,score_S,reason,seconds
F2/F10,2JKH,F2F10_001,success,9,-9.624,9.624,,104.4
F2/F10,2JKH,F2F10_002,success,9,-8.783,8.783,,135.1
F2/F10,2JKH,F2F10_003,success,9,-9.169,9.169,,93.1
F2/F10,2JKH,F2F10_004,success,9,-9.818,9.818,,119.4
F2/F10,2JKH,F2F10_005,success,9,-9.823,9.823,,131.6
F2/F10,2JKH,F2F10_006,success,9,-9.633,9.633,,164.1
F2/F10,2JKH,F2F10_007,success,9,-9.08,9.08,,170.8
F2/F10,2JKH,F2F10_008,success,9,-8.402,8.402,,129.0
F2/F10,2JKH,F2F10_009,success,9,-9.91,9.91,,132.7
F2/F10,2JKH,F2F10_010,success,9,-9.308,9.308,,204.0
F2/F10,2JKH,F2F10_011,success,9,-9.468,9.468,,165.7
F2/F10,2JKH,F2F10_012,success,9,-9.585,9.585,,127.2
F2/F10,2JKH,F2F10_013,success,9,-8.942,8.942,,75.2
F2/F10,2JKH,F2F10_014,success,9,-8.837,8.837,,74.3
F2/F10,2JKH,F2F10_015,success,9,-9.834,9.834,,108.7
F2/F10,2JKH,F2F10_016,success,9,-10.171,10.171,,58.4
F2/F10,2JKH,F2F10_017,success,9,-8.23,8.23,,57.0
F2/F10,2JKH,F2F10_018,success,9,-8.802,8.802,,247.1
F2/F10,2JKH,F2F10_019,success,9,-9.135,9.135,,267.6
F2/F10,2JKH,F2F10_020,success,9,-9.028,9.028,,263.0
F2/F10,2JKH,F2F10_021,success,9,-10.836,10.836,,101.8
F2/F10,2JKH,F2F10_022,success,9,-9.801,9.801,,87.0
F2/F10,2JKH,F2F10_023,success,9,-9.751,9.751,,104.2
F2/F10,2JKH,F2F10_024,success,9,-9.93,9.93,,185.2
F2/F10,2JKH,F2F10_025,success,9,-9.402,9.402,,124.3
F2/F10,2JKH,F2F10_026,success,9,-9.568,9.568,,149.2
F2/F10,2JKH,F2F10_027,success,9,-8.964,8.964,,279.7
F2/F10,2JKH,F2F10_028,success,9,-8.255,8.255,,56.5
F2/F10,2JKH,F2F10_029,success,9,-9.282,9.282,,64.9
F2/F10,2JKH,F2F10_030,success,9,-8.922,8.922,,56.6
F2/F10,2JKH,F2F10_031,success,9,-8.653,8.653,,36.7
F2/F10,2JKH,F2F10_032,success,8,-10.334,10.334,,59.1
F2/F10,2JKH,F2F10_033,success,9,-8.77,8.77,,245.4
F2/F10,2JKH,F2F10_034,success,9,-9.741,9.741,,71.8
F2/F10,2JKH,F2F10_035,success,9,-8.54,8.54,,157.2
F2/F10,2JKH,F2F10_036,success,9,-9.062,9.062,,85.9
F2/F10,2JKH,F2F10_037,success,9,-8.962,8.962,,262.6
F2/F10,2JKH,F2F10_038,success,9,-9.49,9.49,,85.0
F2/F10,2JKH,F2F10_039,success,9,-9.122,9.122,,129.0
F2/F10,2JKH,F2F10_040,success,9,-8.203,8.203,,140.1
F2/F10,2JKH,F2F10_041,success,9,-10.367,10.367,,324.6
F2/F10,2JKH,F2F10_042,success,9,-10.095,10.095,,43.4
F2/F10,2JKH,F2F10_043,success,9,-9.945,9.945,,114.2
F2/F10,2JKH,F2F10_044,success,9,-9.579,9.579,,145.8
