pair,target,ligand,seed,status,n_modes,mode1_energy,score_S,reason,seconds
F2/F10,2JKH,F2F10_001,20260813,success,9,-9.609,9.609,,83.8
F2/F10,2JKH,F2F10_002,20260813,success,9,-8.756,8.756,,118.2
F2/F10,2JKH,F2F10_003,20260813,success,9,-9.111,9.111,,71.6
F2/F10,2JKH,F2F10_004,20260813,success,9,-9.792,9.792,,96.0
F2/F10,2JKH,F2F10_005,20260813,success,9,-9.656,9.656,,104.5
F2/F10,2JKH,F2F10_006,20260813,success,9,-9.674,9.674,,134.9
F2/F10,2JKH,F2F10_007,20260813,success,9,-9.357,9.357,,140.1
F2/F10,2JKH,F2F10_008,20260813,success,9,-7.847,7.847,,104.6
F2/F10,2JKH,F2F10_009,20260813,success,9,-9.939,9.939,,106.0
F2/F10,2JKH,F2F10_010,20260813,success,9,-9.303,9.303,,167.8
F2/F10,2JKH,F2F10_011,20260813,success,9,-9.429,9.429,,138.9
F2/F10,2JKH,F2F10_012,20260813,success,9,-9.32,9.32,,105.2
F2/F10,2JKH,F2F10_013,20260813,success,9,-8.923,8.923,,44.8
F2/F10,2JKH,F2F10_014,20260813,success,9,-8.834,8.834,,44.8
F2/F10,2JKH,F2F10_015,20260813,success,9,-9.688,9.688,,90.3
F2/F10,2JKH,F2F10_016,20260813,success,9,-10.165,10.165,,39.9
F2/F10,2JKH,F2F10_017,20260813,success,9,-8.187,8.187,,44.6
F2/F10,2JKH,F2F10_018,20260813,success,9,-8.289,8.289,,201.6
F2/F10,2JKH,F2F10_019,20260813,success,9,-9.178,9.178,,222.2
F2/F10,2JKH,F2F10_020,20260813,success,9,-8.941,8.941,,224.1
F2/F10,2JKH,F2F10_021,20260813,success,9,-10.342,10.342,,69.0
F2/F10,2JKH,F2F10_022,20260813,success,9,-9.738,9.738,,52.7
F2/F10,2JKH,F2F10_023,20260813,success,9,-9.771,9.771,,86.8
F2/F10,2JKH,F2F10_024,20260813,success,9,-9.911,9.911,,149.7
F2/F10,2JKH,F2F10_025,20260813,success,9,-9.369,9.369,,97.6
F2/F10,2JKH,F2F10_026,20260813,success,9,-9.913,9.913,,118.8
F2/F10,2JKH,F2F10_027,20260813,success,9,-8.422,8.422,,238.7
F2/F10,2JKH,F2F10_028,20260813,success,9,-8.237,8.237,,38.0
F2/F10,2JKH,F2F10_029,20260813,success,9,-9.253,9.253,,42.5
F2/F10,2JKH,F2F10_030,20260813,success,9,-9.082,9.082,,37.5
F2/F10,2JKH,F2F10_031,20260813,success,9,-8.66,8.66,,22.6
F2/F10,2JKH,F2F10_032,20260813,success,9,-10.297,10.297,,40.0
F2/F10,2JKH,F2F10_033,20260813,success,9,-8.311,8.311,,155.6
F2/F10,2JKH,F2F10_034,20260813,success,9,-9.75,9.75,,49.3
F2/F10,2JKH,F2F10_035,20260813,success,9,-8.596,8.596,,129.5
F2/F10,2JKH,F2F10_036,20260813,success,9,-9.398,9.398,,56.7
F2/F10,2JKH,F2F10_037,20260813,success,9,-9.041,9.041,,214.0
F2/F10,2JKH,F2F10_038,20260813,success,9,-9.477,9.477,,51.2
F2/F10,2JKH,F2F10_039,20260813,success,9,-9.181,9.181,,109.0
F2/F10,2JKH,F2F10_040,20260813,success,9,-8.177,8.177,,115.5
F2/F10,2JKH,F2F10_041,20260813,success,9,-10.227,10.227,,264.7
F2/F10,2JKH,F2F10_042,20260813,success,9,-10.044,10.044,,28.4
F2/F10,2JKH,F2F10_043,20260813,success,9,-10.042,10.042,,89.0
F2/F10,2JKH,F2F10_044,20260813,success,9,-9.569,9.569,,109.7
F2/F10,2JKH,F2F10_045,20260813,success,9,-8.542,8.542,,129.4
F2/F10,2JKH,F2F10_046,20260813,success,9,-9.862,9.862,,96.8
F2/F10,2JKH,F2F10_047,20260813,success,9,-9.955,9.955,,53.6
F2/F10,2JKH,F2F10_048,20260813,success,9,-9.013,9.013,,47.7
F2/F10,2JKH,F2F10_049,20260813,success,9,-9.213,9.213,,96.5
F2/F10,2JKH,F2F10_050,20260813,success,9,-8.922,8.922,,91.7
F2/F10,2JKH,F2F10_051,20260813,success,9,-8.699,8.699,,220.5
F2/F10,2JKH,F2F10_052,20260813,success,9,-9.346,9.346,,75.3
F2/F10,2JKH,F2F10_053,20260813,success,9,-9.225,9.225,,74.8
F2/F10,2JKH,F2F10_054,20260813,success,9,-10.392,10.392,,112.0
F2/F10,2JKH,F2F10_055,20260813,success,9,-10.498,10.498,,40.2
F2/F10,2JKH,F2F10_056,20260813,success,9,-8.22,8.22,,66.6
F2/F10,2JKH,F2F10_057,20260813,success,9,-9.861,9.861,,136.8
F2/F10,2JKH,F2F10_058,20260813,success,9,-10.589,10.589,,97.9
F2/F10,2JKH,F2F10_059,20260813,success,9,-8.574,8.574,,70.7
F2/F10,2JKH,F2F10_060,20260813,success,9,-9.829,9.829,,364.7
F2/F10,2JKH,F2F10_061,20260813,success,9,-11.193,11.193,,61.3
F2/F10,2JKH,F2F10_062,20260813,success,9,-10.02,10.02,,72.8
F2/F10,2JKH,F2F10_063,20260813,success,9,-9.864,9.864,,66.1
F2/F10,2JKH,F2F10_064,20260813,success,9,-8.779,8.779,,86.3
F2/F10,2JKH,F2F10_065,20260813,success,9,-7.243,7.243,,390.8
F2/F10,2JKH,F2F10_066,20260813,success,9,-6.931,6.931,,290.8
F2/F10,2JKH,F2F10_067,20260813,success,9,-9.8,9.8,,57.9
F2/F10,2JKH,F2F10_068,20260813,success,9,-10.433,10.433,,70.8
F2/F10,2JKH,F2F10_069,20260813,success,9,-9.145,9.145,,88.2
F2/F10,2JKH,F2F10_070,20260813,success,9,-10.228,10.228,,91.8
F2/F10,2JKH,F2F10_071,20260813,success,9,-8.734,8.734,,84.5
F2/F10,2JKH,F2F10_072,20260813,success,9,-9.449,9.449,,67.1
F2/F10,2JKH,F2F10_073,20260813,success,9,-7.984,7.984,,134.4
F2/F10,2JKH,F2F10_074,20260813,success,9,-8.112,8.112,,18.5
F2/F10,2JKH,F2F10_075,20260813,success,9,-9.812,9.812,,138.9
F2/F10,2JKH,F2F10_076,20260813,success,9,-10.024,10.024,,58.8
F2/F10,2JKH,F2F10_077,20260813,success,9,-6.568,6.568,,205.7
F2/F10,2JKH,F2F10_078,20260813,success,9,-6.015,6.015,,119.9
F2/F10,2JKH,F2F10_079,20260813,success,9,-9.202,9.202,,54.6
F2/F10,2JKH,F2F10_080,20260813,success,9,-8.678,8.678,,568.9
F2/F10,2JKH,F2F10_081,20260813,success,9,-10.616,10.616,,105.9
F2/F10,2JKH,F2F10_082,20260813,success,5,-10.358,10.358,,71.1
F2/F10,2JKH,F2F10_083,20260813,success,9,-9.266,9.266,,98.4
F2/F10,2JKH,F2F10_084,20260813,success,9,-7.164,7.164,,112.9
F2/F10,2JKH,F2F10_085,20260813,success,9,-10.305,10.305,,61.5
F2/F10,2JKH,F2F10_086,20260813,success,9,-10.551,10.551,,84.4
F2/F10,2JKH,F2F10_087,20260813,success,9,-8.915,8.915,,140.2
F2/F10,2JKH,F2F10_088,20260813,success,9,-8.34,8.34,,108.0
F2/F10,2JKH,F2F10_089,20260813,success,9,-8.259,8.259,,149.1
F2/F10,2JKH,F2F10_090,20260813,success,9,-7.656,7.656,,193.2
F2/F10,2JKH,F2F10_091,20260813,success,9,-8.467,8.467,,189.2
F2/F10,2JKH,F2F10_092,20260813,success,9,-8.122,8.122,,138.9
F2/F10,2JKH,F2F10_093,20260813,success,9,-8.778,8.778,,25.1
F2/F10,2JKH,F2F10_094,20260813,success,9,-10.093,10.093,,88.5
F2/F10,2JKH,F2F10_095,20260813,success,9,-9.166,9.166,,64.1
F2/F10,2JKH,F2F10_096,20260813,success,1,-10.737,10.737,,25.2
F2/F10,2JKH,F2F10_097,20260813,success,9,-10.057,10.057,,135.0
F2/F10,2JKH,F2F10_098,20260813,success,9,-8.985,8.985,,322.6
F2/F10,2JKH,F2F10_099,20260813,success,9,-9.625,9.625,,83.1
F2/F10,2JKH,F2F10_100,20260813,success,9,-10.037,10.037,,101.5
F2/F10,2JKH,F2F10_101,20260813,success,9,-7.853,7.853,,19.9
F2/F10,2JKH,F2F10_102,20260813,success,9,-8.702,8.702,,39.2
F2/F10,2JKH,F2F10_103,20260813,success,9,-8.411,8.411,,28.4
F2/F10,2JKH,F2F10_104,20260813,success,9,-8.044,8.044,,13.7
F2/F10,2JKH,F2F10_105,20260813,success,9,-8.248,8.248,,456.0
F2/F10,2JKH,F2F10_106,20260813,success,9,-9.176,9.176,,450.5
F2/F10,2JKH,F2F10_107,20260813,success,9,-9.354,9.354,,141.5
F2/F10,2JKH,F2F10_108,20260813,success,9,-8.606,8.606,,27.5
F2/F10,2JKH,F2F10_109,20260813,success,9,-8.088,8.088,,24.6
F2/F10,2JKH,F2F10_110,20260813,success,9,-9.486,9.486,,21.3
F2/F10,4UDW,F2F10_001,20260813,success,9,-9.019,9.019,,88.0
F2/F10,4UDW,F2F10_002,20260813,success,9,-8.77,8.77,,120.4
F2/F10,4UDW,F2F10_003,20260813,success,9,-8.736,8.736,,72.1
F2/F10,4UDW,F2F10_004,20260813,success,9,-10.051,10.051,,112.8
F2/F10,4UDW,F2F10_005,20260813,success,9,-9.742,9.742,,124.6
