pair,target,ligand,seed,mode1_energy,score_S,status
F2/F10,2JKH,F2F10_001,20260814,-9.467,9.467,success
F2/F10,2JKH,F2F10_002,20260814,-8.754,8.754,success
F2/F10,2JKH,F2F10_003,20260814,-8.733,8.733,success
F2/F10,2JKH,F2F10_004,20260814,-9.833,9.833,success
F2/F10,2JKH,F2F10_005,20260814,-9.645,9.645,success
F2/F10,2JKH,F2F10_006,20260814,-9.503,9.503,success
F2/F10,2JKH,F2F10_007,20260814,-9.445,9.445,success
F2/F10,2JKH,F2F10_008,20260814,-8.042,8.042,success
F2/F10,2JKH,F2F10_009,20260814,-10.007,10.007,success
F2/F10,2JKH,F2F10_010,20260814,-9.316,9.316,success
F2/F10,2JKH,F2F10_011,20260814,-9.153,9.153,success
F2/F10,2JKH,F2F10_012,20260814,-9.409,9.409,success
F2/F10,2JKH,F2F10_013,20260814,-8.929,8.929,success
F2/F10,2JKH,F2F10_014,20260814,-8.782,8.782,success
F2/F10,2JKH,F2F10_015,20260814,-9.729,9.729,success
F2/F10,2JKH,F2F10_016,20260814,-10.158,10.158,success
F2/F10,2JKH,F2F10_017,20260814,-8.323,8.323,success
F2/F10,2JKH,F2F10_018,20260814,-8.157,8.157,success
F2/F10,2JKH,F2F10_019,20260814,-9.046,9.046,success
F2/F10,2JKH,F2F10_020,20260814,-8.813,8.813,success
F2/F10,2JKH,F2F10_021,20260814,-10.25,10.25,success
F2/F10,2JKH,F2F10_022,20260814,-9.606,9.606,success
F2/F10,2JKH,F2F10_023,20260814,-9.741,9.741,success
F2/F10,2JKH,F2F10_024,20260814,-10.39,10.39,success
F2/F10,2JKH,F2F10_025,20260814,-9.411,9.411,success
F2/F10,2JKH,F2F10_026,20260814,-8.897,8.897,success
F2/F10,2JKH,F2F10_027,20260814,-7.976,7.976,success
F2/F10,2JKH,F2F10_028,20260814,-8.244,8.244,success
F2/F10,2JKH,F2F10_029,20260814,-9.271,9.271,success
F2/F10,2JKH,F2F10_030,20260814,-8.977,8.977,success
F2/F10,2JKH,F2F10_031,20260814,-8.559,8.559,success
F2/F10,2JKH,F2F10_032,20260814,-10.259,10.259,success
F2/F10,2JKH,F2F10_033,20260814,-7.789,7.789,success
F2/F10,2JKH,F2F10_034,20260814,-9.743,9.743,success
F2/F10,2JKH,F2F10_035,20260814,-8.555,8.555,success
F2/F10,2JKH,F2F10_036,20260814,-9.346,9.346,success
F2/F10,2JKH,F2F10_037,20260814,-9.119,9.119,success
F2/F10,2JKH,F2F10_038,20260814,-9.492,9.492,success
F2/F10,2JKH,F2F10_039,20260814,-9.17,9.17,success
F2/F10,2JKH,F2F10_040,20260814,-8.49,8.49,success
F2/F10,2JKH,F2F10_041,20260814,-10.515,10.515,success
F2/F10,2JKH,F2F10_042,20260814,-10.057,10.057,success
F2/F10,2JKH,F2F10_043,20260814,-10.097,10.097,success
F2/F10,2JKH,F2F10_044,20260814,-9.58,9.58,success
F2/F10,2JKH,F2F10_045,20260814,-8.678,8.678,success
F2/F10,2JKH,F2F10_046,20260814,-9.835,9.835,success
F2/F10,2JKH,F2F10_047,20260814,-9.752,9.752,success
F2/F10,2JKH,F2F10_048,20260814,-8.999,8.999,success
F2/F10,2JKH,F2F10_049,20260814,-9.131,9.131,success
F2/F10,2JKH,F2F10_050,20260814,-9.009,9.009,success
F2/F10,2JKH,F2F10_051,20260814,-8.811,8.811,success
F2/F10,2JKH,F2F10_052,20260814,-9.368,9.368,success
F2/F10,2JKH,F2F10_053,20260814,-10.281,10.281,success
F2/F10,2JKH,F2F10_054,20260814,-10.412,10.412,success
F2/F10,2JKH,F2F10_055,20260814,-10.555,10.555,success
F2/F10,2JKH,F2F10_056,20260814,-8.478,8.478,success
F2/F10,2JKH,F2F10_057,20260814,-9.983,9.983,success
F2/F10,2JKH,F2F10_058,20260814,-10.47,10.47,success
F2/F10,2JKH,F2F10_059,20260814,-8.577,8.577,success
F2/F10,2JKH,F2F10_060,20260814,-9.312,9.312,success
F2/F10,2JKH,F2F10_061,20260814,-11.301,11.301,success
F2/F10,2JKH,F2F10_062,20260814,-10.003,10.003,success
F2/F10,2JKH,F2F10_063,20260814,-9.878,9.878,success
F2/F10,2JKH,F2F10_064,20260814,-8.932,8.932,success
F2/F10,2JKH,F2F10_065,20260814,-7.457,7.457,success
F2/F10,2JKH,F2F10_066,20260814,-7.369,7.369,success
F2/F10,2JKH,F2F10_067,20260814,-9.76,9.76,success
F2/F10,2JKH,F2F10_068,20260814,-10.402,10.402,success
F2/F10,2JKH,F2F10_069,20260814,-9.271,9.271,success
F2/F10,2JKH,F2F10_070,20260814,-10.054,10.054,success
F2/F10,2JKH,F2F10_071,20260814,-8.652,8.652,success
F2/F10,2JKH,F2F10_072,20260814,-9.358,9.358,success
F2/F10,2JKH,F2F10_073,20260814,-8.113,8.113,success
F2/F10,2JKH,F2F10_074,20260814,-8.162,8.162,success
F2/F10,2JKH,F2F10_075,20260814,-9.319,9.319,success
F2/F10,2JKH,F2F10_076,20260814,-9.912,9.912,success
F2/F10,2JKH,F2F10_077,20260814,-6.532,6.532,success
F2/F10,2JKH,F2F10_078,20260814,-5.757,5.757,success
F2/F10,2JKH,F2F10_079,20260814,-9.205,9.205,success
F2/F10,2JKH,F2F10_080,20260814,-8.453,8.453,success
