ligand,gnina_cnn_4UDW,gnina_aff_4UDW,gnina_cnn_2JKH,gnina_aff_2JKH,gnina_cnn_6N7A,gnina_aff_6N7A,gnina_cnn_3LXP,gnina_aff_3LXP,gnina_cnn_8BXH,gnina_aff_8BXH,gnina_cnn_9V8H,gnina_aff_9V8H,gnina_cnn_6LXA,gnina_aff_6LXA,gnina_cnn_5U3Q,gnina_aff_5U3Q
F2F10_001,0.8084841371,7.6577048302,0.8311123252,7.3003749847,,,,,,,,,,,,
F2F10_002,0.6022959352,7.8348641396,0.1610107869,5.8270964622,,,,,,,,,,,,
F2F10_003,0.4464105666,6.8574213982,0.702594161,6.8117423058,,,,,,,,,,,,
F2F10_004,0.7361397743,8.113822937,0.431499511,7.6163058281,,,,,,,,,,,,
F2F10_005,0.692404151,8.0061101913,0.4481222034,7.8396077156,,,,,,,,,,,,
F2F10_006,0.6539282799,8.5250921249,0.5943517685,7.8863549232,,,,,,,,,,,,
F2F10_007,0.6710745692,8.1316957474,0.7468298674,8.2131099701,,,,,,,,,,,,
F2F10_008,0.7762607932,8.1061887741,0.4126424789,6.9724383354,,,,,,,,,,,,
F2F10_009,0.4961948395,7.2920632362,0.8532678485,8.1453466415,,,,,,,,,,,,
F2F10_010,0.6224061251,8.4680013657,0.3269507289,7.2042613029,,,,,,,,,,,,
F2F10_011,0.2552267909,6.9873766899,0.3008832335,6.8330397606,,,,,,,,,,,,
F2F10_012,0.6574119329,7.1830744743,0.7056334019,6.8446173668,,,,,,,,,,,,
F2F10_013,0.7633959651,7.4760150909,0.6958431602,7.4089245796,,,,,,,,,,,,
F2F10_014,0.7175523639,7.3611140251,0.4846554399,7.4783577919,,,,,,,,,,,,
F2F10_015,0.6410861015,7.8277187347,0.5414843559,7.3055920601,,,,,,,,,,,,
F2F10_016,0.6388056278,7.3612341881,0.7369421721,7.3774876595,,,,,,,,,,,,
F2F10_017,0.935289979,7.7769150734,0.8784122467,7.7209968567,,,,,,,,,,,,
F2F10_018,0.9330726862,9.3530578613,0.8512664437,9.295917511,,,,,,,,,,,,
F2F10_019,0.3553052247,8.1986780167,0.4425697923,7.4841117859,,,,,,,,,,,,
