target,ligand,mode,status,cnn_score,cnn_affinity,reason
4UDW,F2F10_001,mode_03,success,0.4168111384,6.8455257416,
4UDW,F2F10_001,mode_01,success,0.4602327049,6.9964766502,
4UDW,F2F10_001,mode_05,success,0.3304441869,6.865377903,
4UDW,F2F10_001,mode_06,success,0.2749320567,6.7898840904,
4UDW,F2F10_001,mode_02,success,0.8084841371,7.6577048302,
4UDW,F2F10_001,mode_04,success,0.1162129566,6.4452781677,
4UDW,F2F10_002,mode_03,success,0.0851028785,6.604429245,
4UDW,F2F10_002,mode_02,success,0.266995579,7.5357356071,
4UDW,F2F10_001,mode_07,success,0.0640335307,6.3833556175,
4UDW,F2F10_001,mode_09,success,0.0555290356,5.517598629,
4UDW,F2F10_002,mode_01,success,0.1492273062,7.1483712196,
4UDW,F2F10_001,mode_08,success,0.1626652181,6.2240581512,
4UDW,F2F10_002,mode_09,success,0.0300064124,5.7533860207,
4UDW,F2F10_002,mode_08,success,0.0422569737,6.5494475365,
4UDW,F2F10_002,mode_06,success,0.0399261601,6.3062362671,
4UDW,F2F10_002,mode_05,success,0.6022959352,7.8348641396,
4UDW,F2F10_002,mode_04,success,0.5577232838,8.0307388306,
4UDW,F2F10_002,mode_07,success,0.0686032921,6.2684836388,
4UDW,F2F10_003,mode_02,success,0.3315986693,6.6074147224,
4UDW,F2F10_003,mode_05,success,0.2312106639,6.0537757874,
4UDW,F2F10_003,mode_03,success,0.4464105666,6.8574213982,
4UDW,F2F10_003,mode_04,success,0.057159584,5.765422821,
4UDW,F2F10_003,mode_01,success,0.4081054628,6.7761130333,
4UDW,F2F10_003,mode_06,success,0.2450546473,6.4118423462,
4UDW,F2F10_003,mode_09,success,0.099595964,5.9683208466,
4UDW,F2F10_003,mode_08,success,0.0601466708,5.5547423363,
4UDW,F2F10_004,mode_02,success,0.4217319787,7.4670472145,
4UDW,F2F10_004,mode_01,success,0.3129762113,7.6143283844,
4UDW,F2F10_003,mode_07,success,0.0473708995,6.0202255249,
4UDW,F2F10_004,mode_03,success,0.6884453297,7.9565925598,
4UDW,F2F10_004,mode_05,success,0.6260290742,7.9130187035,
4UDW,F2F10_004,mode_04,success,0.6504129171,7.7010326385,
4UDW,F2F10_004,mode_06,success,0.4923680723,7.7527337074,
4UDW,F2F10_004,mode_08,success,0.4398979843,7.3413100243,
4UDW,F2F10_004,mode_07,success,0.7361397743,8.113822937,
4UDW,F2F10_004,mode_09,success,0.2275604457,7.3766570091,
4UDW,F2F10_005,mode_01,success,0.6390287876,7.9865746498,
4UDW,F2F10_005,mode_02,success,0.692404151,8.0061101913,
4UDW,F2F10_005,mode_03,success,0.4197737277,7.5976982117,
4UDW,F2F10_005,mode_04,success,0.2916556597,7.7593483925,
4UDW,F2F10_005,mode_06,success,0.3029248714,7.2450652122,
4UDW,F2F10_005,mode_05,success,0.662039578,8.1379413605,
4UDW,F2F10_005,mode_08,success,0.290561825,7.1843833923,
4UDW,F2F10_005,mode_07,success,0.6407060623,8.0614271164,
4UDW,F2F10_006,mode_01,success,0.5693215728,8.4372262955,
4UDW,F2F10_005,mode_09,success,0.401677072,7.4147090912,
4UDW,F2F10_006,mode_02,success,0.6539282799,8.5250921249,
4UDW,F2F10_006,mode_03,success,0.5635262132,8.2864217758,
4UDW,F2F10_006,mode_05,success,0.3155292273,7.3305544853,
4UDW,F2F10_006,mode_04,success,0.5900024772,7.9321675301,
4UDW,F2F10_006,mode_07,success,0.3583730757,7.6427731514,
4UDW,F2F10_006,mode_06,success,0.4156544805,7.7614555359,
4UDW,F2F10_006,mode_08,success,0.5395273566,8.0564661026,
4UDW,F2F10_006,mode_09,success,0.5214903355,7.7547783852,
4UDW,F2F10_007,mode_01,success,0.5018778443,7.9040980339,
4UDW,F2F10_007,mode_02,success,0.4913883805,8.052646637,
4UDW,F2F10_007,mode_04,success,0.1766370535,7.0226454735,
4UDW,F2F10_007,mode_03,success,0.2785292566,7.8385262489,
4UDW,F2F10_007,mode_05,success,0.3818321228,7.8855395317,
4UDW,F2F10_007,mode_06,success,0.3324885666,7.3493037224,
4UDW,F2F10_007,mode_07,success,0.4596113563,7.6727356911,
4UDW,F2F10_007,mode_09,success,0.6710745692,8.1316957474,
4UDW,F2F10_007,mode_08,success,0.5402975678,8.0768995285,
4UDW,F2F10_008,mode_01,success,0.6657070518,8.0640077591,
4UDW,F2F10_008,mode_02,success,0.7762607932,8.1061887741,
4UDW,F2F10_008,mode_03,success,0.0702655911,6.3202381134,
4UDW,F2F10_008,mode_05,success,0.1545780152,6.453151226,
4UDW,F2F10_008,mode_04,success,0.4018658996,7.0421981812,
4UDW,F2F10_008,mode_06,success,0.1063401774,6.1924834251,
4UDW,F2F10_008,mode_09,success,0.1632695049,5.9217839241,
4UDW,F2F10_008,mode_07,success,0.0487212427,6.1542010307,
4UDW,F2F10_008,mode_08,success,0.1923671216,6.5750098228,
4UDW,F2F10_009,mode_01,success,0.4961948395,7.2920632362,
4UDW,F2F10_009,mode_02,success,0.443035692,7.5339646339,
4UDW,F2F10_009,mode_03,success,0.2300331295,7.0300331116,
4UDW,F2F10_009,mode_05,success,0.1985319406,6.7552628517,
4UDW,F2F10_009,mode_06,success,0.0540767834,5.7639908791,
4UDW,F2F10_009,mode_04,success,0.08423502,6.305706501,
4UDW,F2F10_009,mode_08,success,0.2171047926,7.1267533302,
4UDW,F2F10_009,mode_07,success,0.1531839073,6.591199398,
4UDW,F2F10_009,mode_09,success,0.4045522213,7.4120764732,
4UDW,F2F10_010,mode_03,success,0.2543825805,6.5903000832,
4UDW,F2F10_010,mode_01,success,0.1564990133,7.2763214111,
4UDW,F2F10_010,mode_02,success,0.6224061251,8.4680013657,
4UDW,F2F10_010,mode_06,success,0.4834191203,8.2557668686,
4UDW,F2F10_010,mode_04,success,0.2252318114,6.5508084297,
4UDW,F2F10_010,mode_05,success,0.1140016988,6.3714580536,
4UDW,F2F10_010,mode_09,success,0.0907509923,6.5644698143,
4UDW,F2F10_010,mode_08,success,0.1563762277,7.0678086281,
4UDW,F2F10_010,mode_07,success,0.0250830092,6.2982058525,
4UDW,F2F10_011,mode_02,success,0.2332996279,7.0846366882,
4UDW,F2F10_011,mode_01,success,0.0373430774,6.281522274,
4UDW,F2F10_011,mode_03,success,0.0668796301,6.6952643394,
4UDW,F2F10_011,mode_05,success,0.1636037976,7.0695972443,
4UDW,F2F10_011,mode_07,success,0.2552267909,6.9873766899,
4UDW,F2F10_011,mode_06,success,0.0394213945,5.8683552742,
4UDW,F2F10_011,mode_08,success,0.0338503011,5.6815533638,
4UDW,F2F10_011,mode_04,success,0.2154823691,6.8660888672,
4UDW,F2F10_011,mode_09,success,0.0372264609,6.11591959,
4UDW,F2F10_012,mode_06,success,0.2767530084,6.5221867561,
4UDW,F2F10_012,mode_02,success,0.6574119329,7.1830744743,
4UDW,F2F10_012,mode_03,success,0.3780297041,6.4966812134,
4UDW,F2F10_012,mode_01,success,0.6237531304,7.1565184593,
4UDW,F2F10_012,mode_05,success,0.1361317635,6.0831961632,
4UDW,F2F10_012,mode_04,success,0.277048111,6.8262791634,
4UDW,F2F10_012,mode_08,success,0.2447113991,6.5210404396,
4UDW,F2F10_013,mode_01,success,0.4562863708,6.6392455101,
4UDW,F2F10_013,mode_03,success,0.7351364493,7.2855000496,
4UDW,F2F10_012,mode_07,success,0.0938707665,5.5378093719,
4UDW,F2F10_013,mode_02,success,0.6249645948,6.9902496338,
4UDW,F2F10_012,mode_09,success,0.210725382,6.4766368866,
4UDW,F2F10_013,mode_06,success,0.1773320287,6.3149867058,
4UDW,F2F10_013,mode_05,success,0.6891810894,7.2848353386,
4UDW,F2F10_013,mode_07,success,0.3368713558,6.595975399,
4UDW,F2F10_013,mode_04,success,0.7633959651,7.4760150909,
4UDW,F2F10_013,mode_08,success,0.1678040773,6.0503668785,
4UDW,F2F10_013,mode_09,success,0.3364067972,6.6777024269,
4UDW,F2F10_014,mode_02,success,0.4548484981,6.6407585144,
4UDW,F2F10_014,mode_01,success,0.4306212664,6.9191460609,
4UDW,F2F10_014,mode_04,success,0.7175523639,7.3611140251,
4UDW,F2F10_014,mode_05,success,0.4029057026,6.862449646,
4UDW,F2F10_014,mode_03,success,0.5286309719,6.7749524117,
4UDW,F2F10_014,mode_06,success,0.690628171,7.0347900391,
4UDW,F2F10_014,mode_09,success,0.3163463175,6.2411866188,
4UDW,F2F10_015,mode_02,success,0.5031945705,7.1573395729,
4UDW,F2F10_014,mode_08,success,0.3380431533,6.6565718651,
4UDW,F2F10_015,mode_01,success,0.6410861015,7.8277187347,
4UDW,F2F10_015,mode_03,success,0.4379232824,7.2885727882,
4UDW,F2F10_014,mode_07,success,0.484994173,6.8856296539,
4UDW,F2F10_015,mode_07,success,0.2636548579,6.771250248,
4UDW,F2F10_015,mode_06,success,0.5753017664,7.9499344826,
4UDW,F2F10_015,mode_04,success,0.4077070057,7.210691452,
4UDW,F2F10_015,mode_08,success,0.469479233,7.5172080994,
4UDW,F2F10_015,mode_05,success,0.3013093472,6.8593811989,
4UDW,F2F10_015,mode_09,success,0.1577977985,6.4354362488,
4UDW,F2F10_016,mode_02,success,0.6388056278,7.3612341881,
4UDW,F2F10_016,mode_03,success,0.199648872,6.917951107,
4UDW,F2F10_016,mode_04,success,0.2847336829,7.2154259682,
4UDW,F2F10_016,mode_05,success,0.0759254172,6.1811103821,
4UDW,F2F10_016,mode_01,success,0.4767922759,7.3723869324,
4UDW,F2F10_016,mode_06,success,0.307232976,7.3452496529,
4UDW,F2F10_016,mode_08,success,0.0732101202,5.6738820076,
4UDW,F2F10_017,mode_03,success,0.3148624897,6.1657090187,
4UDW,F2F10_016,mode_09,success,0.2687874436,6.920539856,
4UDW,F2F10_016,mode_07,success,0.1369602233,6.8787837029,
4UDW,F2F10_017,mode_02,success,0.2521148622,5.8499779701,
4UDW,F2F10_017,mode_01,success,0.935289979,7.7769150734,
4UDW,F2F10_017,mode_09,success,0.1000737473,4.9653363228,
4UDW,F2F10_017,mode_04,success,0.4596071243,6.8383717537,
4UDW,F2F10_017,mode_05,success,0.1808813959,5.7563381195,
4UDW,F2F10_017,mode_07,success,0.4101828635,6.8372941017,
4UDW,F2F10_017,mode_08,success,0.6590591669,6.811319828,
4UDW,F2F10_017,mode_06,success,0.2797536254,5.882338047,
4UDW,F2F10_018,mode_01,success,0.836240828,9.1225090027,
4UDW,F2F10_018,mode_04,success,0.1541848928,7.0453839302,
4UDW,F2F10_018,mode_06,success,0.0747863129,6.9969706535,
4UDW,F2F10_018,mode_03,success,0.9021058083,9.1786527634,
4UDW,F2F10_018,mode_05,success,0.3434560001,7.7069077492,
4UDW,F2F10_018,mode_02,success,0.8802102208,9.0807037354,
4UDW,F2F10_019,mode_02,success,0.3101723194,7.4679412842,
4UDW,F2F10_018,mode_09,success,0.1912206709,7.2392344475,
4UDW,F2F10_019,mode_01,success,0.13774243,7.3533148766,
4UDW,F2F10_018,mode_07,success,0.2521408796,7.3633685112,
4UDW,F2F10_019,mode_03,success,0.0985562354,7.274520874,
4UDW,F2F10_018,mode_08,success,0.9330726862,9.3530578613,
4UDW,F2F10_019,mode_04,success,0.3553052247,8.1986780167,
4UDW,F2F10_019,mode_06,success,0.2221617699,7.4084267616,
4UDW,F2F10_019,mode_05,success,0.1532514095,7.4435257912,
4UDW,F2F10_019,mode_07,success,0.1997961551,6.8057265282,
4UDW,F2F10_019,mode_09,success,0.090949513,7.0025610924,
4UDW,F2F10_019,mode_08,success,0.1359929591,7.2603058815,
4UDW,F2F10_020,mode_03,success,0.0954880193,6.3341293335,
4UDW,F2F10_020,mode_05,success,0.1368139088,7.1613478661,
4UDW,F2F10_020,mode_02,success,0.4727186859,7.4588775635,
4UDW,F2F10_020,mode_01,success,0.1397358626,7.1203303337,
4UDW,F2F10_020,mode_04,success,0.0488241129,6.4970183372,
4UDW,F2F10_020,mode_06,success,0.1799907684,7.2787251472,
4UDW,F2F10_020,mode_08,success,0.1122167036,6.492521286,
4UDW,F2F10_020,mode_07,success,0.0476788469,6.3309798241,
4UDW,F2F10_020,mode_09,success,0.0749151409,6.6110992432,
4UDW,F2F10_021,mode_02,success,0.2811048627,7.1198616028,
4UDW,F2F10_021,mode_01,success,0.3059826493,7.0995297432,
4UDW,F2F10_021,mode_03,success,0.438528657,7.2664642334,
4UDW,F2F10_021,mode_04,success,0.221289441,6.846467495,
4UDW,F2F10_021,mode_07,success,0.050649453,6.3752555847,
4UDW,F2F10_021,mode_05,success,0.1008321568,6.5632710457,
4UDW,F2F10_021,mode_08,success,0.2782546878,6.967607975,
4UDW,F2F10_021,mode_06,success,0.1349037886,6.7296051979,
4UDW,F2F10_021,mode_09,success,0.0786811933,5.9331860542,
4UDW,F2F10_022,mode_03,success,0.8675069809,7.5427336693,
4UDW,F2F10_022,mode_01,success,0.9053556323,7.293800354,
4UDW,F2F10_022,mode_02,success,0.9821321368,7.8662929535,
4UDW,F2F10_022,mode_04,success,0.576829493,7.1181979179,
4UDW,F2F10_022,mode_05,success,0.4786453843,6.9270977974,
4UDW,F2F10_022,mode_06,success,0.5900120139,7.2185497284,
4UDW,F2F10_022,mode_07,success,0.1748515964,6.4509110451,
4UDW,F2F10_022,mode_09,success,0.2094057053,6.1181163788,
4UDW,F2F10_022,mode_08,success,0.2831374705,6.3839931488,
4UDW,F2F10_023,mode_02,success,0.5435125232,7.5290884972,
4UDW,F2F10_023,mode_01,success,0.9707676172,8.5125617981,
4UDW,F2F10_023,mode_03,success,0.4268558025,7.4737625122,
4UDW,F2F10_023,mode_04,success,0.4785709381,7.5996956825,
4UDW,F2F10_023,mode_08,success,0.4641070366,7.9112892151,
4UDW,F2F10_023,mode_06,success,0.8386832476,7.8742289543,
4UDW,F2F10_023,mode_07,success,0.3434530199,7.2850203514,
4UDW,F2F10_023,mode_09,success,0.2257647514,6.370871067,
4UDW,F2F10_023,mode_05,success,0.3786742091,6.8919959068,
4UDW,F2F10_024,mode_02,success,0.5369015932,8.0293684006,
4UDW,F2F10_024,mode_04,success,0.0611213781,6.9375133514,
4UDW,F2F10_024,mode_06,success,0.1064265892,7.513323307,
4UDW,F2F10_024,mode_05,success,0.6185173392,8.1822900772,
4UDW,F2F10_024,mode_03,success,0.2626744211,7.3100113869,
4UDW,F2F10_024,mode_01,success,0.1737346798,6.6562461853,
4UDW,F2F10_024,mode_08,success,0.2802879214,7.8017697334,
4UDW,F2F10_025,mode_03,success,0.2562257349,7.2559661865,
4UDW,F2F10_025,mode_01,success,0.6556637287,7.7940406799,
4UDW,F2F10_024,mode_07,success,0.5240837336,7.8193740845,
4UDW,F2F10_025,mode_02,success,0.296726048,7.3133292198,
4UDW,F2F10_024,mode_09,success,0.0268811844,5.0945272446,
4UDW,F2F10_025,mode_06,success,0.3528879881,7.3733124733,
4UDW,F2F10_025,mode_05,success,0.4178754389,7.660592556,
4UDW,F2F10_025,mode_04,success,0.2424735278,7.3431658745,
4UDW,F2F10_025,mode_07,success,0.0750002414,6.2297320366,
4UDW,F2F10_025,mode_08,success,0.1286144108,6.5919661522,
4UDW,F2F10_025,mode_09,success,0.6350485086,7.5750937462,
4UDW,F2F10_026,mode_03,success,0.1763785034,7.1113066673,
4UDW,F2F10_026,mode_01,success,0.6501871943,7.9722275734,
4UDW,F2F10_026,mode_04,success,0.1514824927,5.7243981361,
4UDW,F2F10_026,mode_02,success,0.2411573827,7.2237358093,
4UDW,F2F10_026,mode_06,success,0.2354250997,7.0988082886,
4UDW,F2F10_026,mode_05,success,0.329120934,7.2206902504,
4UDW,F2F10_026,mode_08,success,0.0849722102,6.6503367424,
4UDW,F2F10_026,mode_07,success,0.1142438054,5.5213036537,
4UDW,F2F10_027,mode_01,success,0.1585730165,7.1959481239,
4UDW,F2F10_026,mode_09,success,0.2733676136,6.8583145142,
4UDW,F2F10_027,mode_03,success,0.2477728128,7.7965064049,
4UDW,F2F10_027,mode_02,success,0.1983170062,6.6722884178,
4UDW,F2F10_027,mode_04,success,0.1802845895,7.4105873108,
4UDW,F2F10_027,mode_05,success,0.2936338186,7.7080874443,
4UDW,F2F10_027,mode_07,success,0.2046808004,7.5071105957,
4UDW,F2F10_027,mode_06,success,0.1038343906,6.9024062157,
4UDW,F2F10_027,mode_08,success,0.042497009,6.6425909996,
4UDW,F2F10_027,mode_09,success,0.0310917795,6.3176121712,
4UDW,F2F10_028,mode_01,success,0.8856635094,7.3655719757,
4UDW,F2F10_028,mode_04,success,0.1602732241,6.1727218628,
4UDW,F2F10_028,mode_03,success,0.4362054467,6.8441791534,
4UDW,F2F10_028,mode_02,success,0.4313136935,6.8090443611,
4UDW,F2F10_028,mode_05,success,0.3502240479,6.8180980682,
4UDW,F2F10_028,mode_06,success,0.2964559197,6.5677657127,
4UDW,F2F10_028,mode_07,success,0.0716348886,6.0232329369,
4UDW,F2F10_028,mode_08,success,0.4444902837,7.0018754005,
4UDW,F2F10_028,mode_09,success,0.3235677481,6.9630446434,
4UDW,F2F10_029,mode_01,success,0.6119527817,7.1839356422,
4UDW,F2F10_029,mode_03,success,0.7024433017,7.2061619759,
4UDW,F2F10_029,mode_04,success,0.5059205294,7.1928935051,
4UDW,F2F10_029,mode_06,success,0.4979728758,7.2385959625,
4UDW,F2F10_029,mode_02,success,0.4144493937,6.7790641785,
4UDW,F2F10_029,mode_05,success,0.2818050385,7.047522068,
4UDW,F2F10_029,mode_07,success,0.5100500584,7.3197917938,
4UDW,F2F10_029,mode_09,success,0.1067029014,6.1414871216,
4UDW,F2F10_029,mode_08,success,0.0861129239,6.0567851067,
4UDW,F2F10_030,mode_01,success,0.8494364023,7.3433279991,
4UDW,F2F10_030,mode_02,success,0.6642379165,7.2267899513,
4UDW,F2F10_030,mode_03,success,0.5783339739,7.0871810913,
4UDW,F2F10_030,mode_06,success,0.2180466503,6.2637367249,
4UDW,F2F10_030,mode_04,success,0.3182540536,6.7769412994,
4UDW,F2F10_030,mode_05,success,0.2906808853,6.7784938812,
4UDW,F2F10_030,mode_07,success,0.6296961904,6.9061050415,
4UDW,F2F10_030,mode_08,success,0.130893141,6.1625118256,
4UDW,F2F10_031,mode_01,success,0.6775193214,6.6852669716,
4UDW,F2F10_030,mode_09,success,0.1081243381,6.1271796227,
4UDW,F2F10_031,mode_02,success,0.4955005646,6.2960739136,
4UDW,F2F10_031,mode_03,success,0.4779765308,6.4485220909,
4UDW,F2F10_031,mode_04,success,0.5724729896,6.7216143608,
4UDW,F2F10_031,mode_05,success,0.9052263498,7.0018362999,
4UDW,F2F10_031,mode_06,success,0.4578641951,6.3948936462,
4UDW,F2F10_031,mode_08,success,0.2542929053,6.2878222466,
4UDW,F2F10_031,mode_07,success,0.4134240746,6.6973686218,
4UDW,F2F10_031,mode_09,success,0.3293066323,6.0775761604,
4UDW,F2F10_032,mode_01,success,0.9136229753,7.8691353798,
4UDW,F2F10_032,mode_02,success,0.9327925444,8.0327577591,
4UDW,F2F10_032,mode_03,success,0.5916326046,7.5179100037,
4UDW,F2F10_032,mode_04,success,0.8203198314,7.4627518654,
4UDW,F2F10_032,mode_05,success,0.7629092336,7.499651432,
4UDW,F2F10_032,mode_06,success,0.6612137556,7.2449784279,
4UDW,F2F10_032,mode_07,success,0.6379035711,7.16711092,
4UDW,F2F10_032,mode_08,success,0.2692689896,6.7322597504,
4UDW,F2F10_033,mode_02,success,0.4361389577,6.9705715179,
4UDW,F2F10_032,mode_09,success,0.3165534735,6.6930813789,
4UDW,F2F10_033,mode_01,success,0.5954595804,7.1572780609,
4UDW,F2F10_033,mode_04,success,0.3618842065,7.1137795448,
4UDW,F2F10_033,mode_03,success,0.5015954971,7.3538842201,
4UDW,F2F10_033,mode_06,success,0.3825538754,6.9014811516,
