pair,target,ligand,mode1_energy,score_S,status
F2/F10,2JKH,F2F10_001,-9.624,9.624,success
F2/F10,2JKH,F2F10_002,-8.783,8.783,success
F2/F10,2JKH,F2F10_003,-9.169,9.169,success
F2/F10,2JKH,F2F10_004,-9.818,9.818,success
F2/F10,2JKH,F2F10_005,-9.823,9.823,success
F2/F10,2JKH,F2F10_006,-9.633,9.633,success
F2/F10,2JKH,F2F10_007,-9.08,9.08,success
F2/F10,2JKH,F2F10_008,-8.402,8.402,success
F2/F10,2JKH,F2F10_009,-9.91,9.91,success
F2/F10,2JKH,F2F10_010,-9.308,9.308,success
F2/F10,2JKH,F2F10_011,-9.468,9.468,success
F2/F10,2JKH,F2F10_012,-9.585,9.585,success
F2/F10,2JKH,F2F10_013,-8.942,8.942,success
F2/F10,2JKH,F2F10_014,-8.837,8.837,success
F2/F10,2JKH,F2F10_015,-9.834,9.834,success
F2/F10,2JKH,F2F10_016,-10.171,10.171,success
F2/F10,2JKH,F2F10_017,-8.23,8.23,success
F2/F10,2JKH,F2F10_018,-8.802,8.802,success
F2/F10,2JKH,F2F10_019,-9.135,9.135,success
F2/F10,2JKH,F2F10_020,-9.028,9.028,success
F2/F10,2JKH,F2F10_021,-10.836,10.836,success
F2/F10,2JKH,F2F10_022,-9.801,9.801,success
F2/F10,2JKH,F2F10_023,-9.751,9.751,success
F2/F10,2JKH,F2F10_024,-9.93,9.93,success
F2/F10,2JKH,F2F10_025,-9.402,9.402,success
F2/F10,2JKH,F2F10_026,-9.568,9.568,success
F2/F10,2JKH,F2F10_027,-8.964,8.964,success
F2/F10,2JKH,F2F10_028,-8.255,8.255,success
F2/F10,2JKH,F2F10_029,-9.282,9.282,success
F2/F10,2JKH,F2F10_030,-8.922,8.922,success
F2/F10,2JKH,F2F10_031,-8.653,8.653,success
F2/F10,2JKH,F2F10_032,-10.334,10.334,success
F2/F10,2JKH,F2F10_033,-8.77,8.77,success
F2/F10,2JKH,F2F10_034,-9.741,9.741,success
F2/F10,2JKH,F2F10_035,-8.54,8.54,success
F2/F10,2JKH,F2F10_036,-9.062,9.062,success
F2/F10,2JKH,F2F10_037,-8.962,8.962,success
F2/F10,2JKH,F2F10_038,-9.49,9.49,success
F2/F10,2JKH,F2F10_039,-9.122,9.122,success
F2/F10,2JKH,F2F10_040,-8.203,8.203,success
F2/F10,2JKH,F2F10_041,-10.367,10.367,success
F2/F10,2JKH,F2F10_042,-10.095,10.095,success
F2/F10,2JKH,F2F10_043,-9.945,9.945,success
F2/F10,2JKH,F2F10_044,-9.579,9.579,success
F2/F10,2JKH,F2F10_045,-8.794,8.794,success
F2/F10,2JKH,F2F10_046,-9.881,9.881,success
F2/F10,2JKH,F2F10_047,-9.738,9.738,success
F2/F10,2JKH,F2F10_048,-9.083,9.083,success
F2/F10,2JKH,F2F10_049,-9.547,9.547,success
F2/F10,2JKH,F2F10_050,-9.001,9.001,success
F2/F10,2JKH,F2F10_051,-9.196,9.196,success
F2/F10,2JKH,F2F10_052,-9.281,9.281,success
F2/F10,2JKH,F2F10_053,-10.273,10.273,success
F2/F10,2JKH,F2F10_054,-10.385,10.385,success
F2/F10,2JKH,F2F10_055,-10.657,10.657,success
F2/F10,2JKH,F2F10_056,-8.298,8.298,success
F2/F10,2JKH,F2F10_057,-9.782,9.782,success
F2/F10,2JKH,F2F10_058,-10.427,10.427,success
F2/F10,2JKH,F2F10_059,-8.692,8.692,success
F2/F10,2JKH,F2F10_060,-9.454,9.454,success
F2/F10,2JKH,F2F10_061,-11.04,11.04,success
F2/F10,2JKH,F2F10_062,-10.028,10.028,success
F2/F10,2JKH,F2F10_063,-9.862,9.862,success
F2/F10,2JKH,F2F10_064,-8.766,8.766,success
F2/F10,2JKH,F2F10_065,-7.261,7.261,success
F2/F10,2JKH,F2F10_066,-6.726,6.726,success
F2/F10,2JKH,F2F10_067,-9.797,9.797,success
F2/F10,2JKH,F2F10_068,-10.358,10.358,success
F2/F10,2JKH,F2F10_069,-9.289,9.289,success
F2/F10,2JKH,F2F10_070,-9.995,9.995,success
F2/F10,2JKH,F2F10_071,-8.631,8.631,success
F2/F10,2JKH,F2F10_072,-9.41,9.41,success
F2/F10,2JKH,F2F10_073,-7.925,7.925,success
F2/F10,2JKH,F2F10_074,-8.12,8.12,success
F2/F10,2JKH,F2F10_075,-9.738,9.738,success
F2/F10,2JKH,F2F10_076,-10.072,10.072,success
F2/F10,2JKH,F2F10_077,-6.733,6.733,success
F2/F10,2JKH,F2F10_078,-5.837,5.837,success
F2/F10,2JKH,F2F10_079,-9.208,9.208,success
F2/F10,2JKH,F2F10_081,-10.66,10.66,success
F2/F10,2JKH,F2F10_082,-10.359,10.359,success
F2/F10,2JKH,F2F10_083,-9.29,9.29,success
F2/F10,2JKH,F2F10_084,-7.561,7.561,success
