pair,system,cls,n,heavy_median,mw_median,clogp_median,tpsa_median
F2/F10,coagulation,dual,31,35.0,496.659,3.495,130.93
F2/F10,coagulation,A_only,32,34.5,483.058,3.537,118.18
F2/F10,coagulation,B_only,32,35.5,500.04,2.697,153.965
F2/F10,coagulation,neither,12,28.5,386.397,3.323,124.21
JAK1/TYK2,JAK,dual,31,30.0,409.513,3.304,101.96
JAK1/TYK2,JAK,A_only,32,28.0,395.929,2.331,91.42
JAK1/TYK2,JAK,B_only,32,31.5,434.023,2.825,101.02
JAK1/TYK2,JAK,neither,14,23.0,320.375,2.105,86.93
JAK1/JAK2,JAK,dual,32,33.5,462.002,3.254,108.6
JAK1/JAK2,JAK,A_only,32,30.5,432.615,3.504,114.38
JAK1/JAK2,JAK,B_only,32,31.0,423.011,3.153,89.5
JAK1/JAK2,JAK,neither,14,28.0,380.393,3.563,103.1
PPARG/PPARA,PPAR,dual,32,34.0,475.983,6.084,84.71
PPARG/PPARA,PPAR,A_only,31,34.0,477.504,6.108,72.56
PPARG/PPARA,PPAR,B_only,32,32.0,463.629,5.089,79.775
PPARG/PPARA,PPAR,neither,14,31.5,455.1,4.718,81.515
PPARA/PPARD,PPAR,dual,32,33.0,465.028,5.769,75.715
PPARA/PPARD,PPAR,A_only,32,32.0,447.745,5.284,81.79
PPARA/PPARD,PPAR,B_only,32,33.0,487.966,5.413,83.91
PPARA/PPARD,PPAR,neither,14,31.0,423.995,4.934,77.25
