pair,system,label_rule,engine,formulation,contrast,score,n_pos,n_neg,n_scored_both_ends,auroc,ci_lo,ci_hi,note
F2/F10,coagulation,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_A_pocketB,score_B,31,32,107,0.4133,0.2621,0.5605,dual vs A-only scored in pocket B
F2/F10,coagulation,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_B_pocketA,score_A,31,32,107,0.3448,0.2177,0.4869,dual vs B-only scored in pocket A
F2/F10,coagulation,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,summary_min,"min(D/A,D/B)",31,32,107,0.3448,0.2077,0.4476,"worst-direction summary; CI from class-preserving bootstrap of min(DA,DB)"
F2/F10,coagulation,strict_6.5_5.5_panel,vina_mode1,dual_vs_neither,D_vs_neither_vina_mean,score_mean,31,12,107,0.5188,0.3387,0.6882,formulation contrast only; not primary
JAK1/TYK2,JAK,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_A_pocketB,score_B,31,32,109,0.5751,0.4244,0.7258,dual vs A-only scored in pocket B
JAK1/TYK2,JAK,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_B_pocketA,score_A,31,32,109,0.3649,0.2319,0.5041,dual vs B-only scored in pocket A
JAK1/TYK2,JAK,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,summary_min,"min(D/A,D/B)",31,32,109,0.3649,0.2339,0.5071,"worst-direction summary; CI from class-preserving bootstrap of min(DA,DB)"
JAK1/TYK2,JAK,strict_6.5_5.5_panel,vina_mode1,dual_vs_neither,D_vs_neither_vina_mean,score_mean,31,14,109,0.7696,0.5991,0.9124,formulation contrast only; not primary
JAK1/JAK2,JAK,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_A_pocketB,score_B,32,32,110,0.5884,0.4365,0.7251,dual vs A-only scored in pocket B
JAK1/JAK2,JAK,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_B_pocketA,score_A,32,32,110,0.7275,0.6016,0.8457,dual vs B-only scored in pocket A
JAK1/JAK2,JAK,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,summary_min,"min(D/A,D/B)",32,32,110,0.5884,0.4404,0.7139,"worst-direction summary; CI from class-preserving bootstrap of min(DA,DB)"
JAK1/JAK2,JAK,strict_6.5_5.5_panel,vina_mode1,dual_vs_neither,D_vs_neither_vina_mean,score_mean,32,14,110,0.7299,0.5625,0.8862,formulation contrast only; not primary
PPARG/PPARA,PPAR,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_A_pocketB,score_B,32,31,109,0.6492,0.5141,0.7813,dual vs A-only scored in pocket B
PPARG/PPARA,PPAR,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_B_pocketA,score_A,32,32,109,0.7061,0.5742,0.8242,dual vs B-only scored in pocket A
PPARG/PPARA,PPAR,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,summary_min,"min(D/A,D/B)",32,31,109,0.6492,0.5101,0.75,"worst-direction summary; CI from class-preserving bootstrap of min(DA,DB)"
PPARG/PPARA,PPAR,strict_6.5_5.5_panel,vina_mode1,dual_vs_neither,D_vs_neither_vina_mean,score_mean,32,14,109,0.6853,0.4888,0.855,formulation contrast only; not primary
PPARA/PPARD,PPAR,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_A_pocketB,score_B,32,32,110,0.6465,0.5058,0.7803,dual vs A-only scored in pocket B
PPARA/PPARD,PPAR,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,D_vs_B_pocketA,score_A,32,32,110,0.4463,0.2979,0.583,dual vs B-only scored in pocket A
PPARA/PPARD,PPAR,strict_6.5_5.5_panel,vina_mode1,pocket_matched_directional,summary_min,"min(D/A,D/B)",32,32,110,0.4463,0.293,0.5801,"worst-direction summary; CI from class-preserving bootstrap of min(DA,DB)"
