name,uniprot,resolved,target_chembl,n_mols,pref_name
NLRP3,Q96P20,1,CHEMBL1741208,782,"NACHT, LRR and PYD domains-containing protein 3"
JNK1,P45983,1,CHEMBL2276,1917,Mitogen-activated protein kinase 8
VEGFR2_KDR,P35968,1,CHEMBL279,10627,Vascular endothelial growth factor receptor 2
AXL,P30530,1,CHEMBL4895,2894,Tyrosine-protein kinase receptor UFO
MERTK,Q12866,1,CHEMBL5331,2338,Tyrosine-protein kinase Mer
SYK,P43405,1,CHEMBL2599,5292,Tyrosine-protein kinase SYK
HSP90AA1,P07900,1,CHEMBL3880,1720,Heat shock protein HSP 90-alpha
WEE1,P30291,1,CHEMBL5491,1123,Wee1-like protein kinase
TOP1,P11387,1,CHEMBL1781,448,DNA topoisomerase 1
ROCK1,Q13464,1,CHEMBL3231,2776,Rho-associated protein kinase 1
PIM1,P11309,1,CHEMBL2147,4999,Serine/threonine-protein kinase pim-1
SERT_SLC6A4,P31645,1,CHEMBL228,5410,Sodium-dependent serotonin transporter
ESR1,P03372,1,CHEMBL206,4482,Estrogen receptor
FGFR1,P11362,1,CHEMBL3650,4163,Fibroblast growth factor receptor 1
ALK,Q9UM73,1,CHEMBL4247,2512,ALK tyrosine kinase receptor
BRAF,P15056,1,CHEMBL5145,5753,Serine/threonine-protein kinase B-raf
MAP2K1_MEK1,Q02750,1,CHEMBL3587,1100,Dual specificity mitogen-activated protein kinase kinase 1
BTK,Q06187,1,CHEMBL5251,9798,Tyrosine-protein kinase BTK
FLT3,P36888,1,CHEMBL1974,4435,Receptor-type tyrosine-protein kinase FLT3
SRC,P12931,1,CHEMBL267,4027,Proto-oncogene tyrosine-protein kinase Src
ABL1,P00519,1,CHEMBL1862,3125,Tyrosine-protein kinase ABL1
BACE1,P56817,1,CHEMBL4822,10023,Beta-secretase 1
