pair,gene_A,gene_B,role,uniprot_A,uniprot_B,n_strict_dual,n_strict_dual_smallmol,frac_strict_dual_smallmol,n_strict_A_only,n_strict_A_only_smallmol,frac_strict_A_only_smallmol,n_strict_B_only,n_strict_B_only_smallmol,frac_strict_B_only_smallmol,min_hardneg_raw,min_hardneg_smallmol_only,hardneg_lost_to_filter,thick_after_smallmol_filter,dual_n_scaffold,dual_singleton_frac,dual_top_scaffold_frac
CREBBP/BRD4,CREBBP,BRD4,H3_candidate,Q92793,O60885,47,46,0.9787,716,707,0.9874,270,251,0.9296,270,251,19,1,36,0.722,0.043
CNR1/CNR2,CNR1,CNR2,H3_candidate,P21554,P34972,1046,904,0.8642,324,304,0.9383,246,225,0.9146,246,225,21,1,479,0.714,0.024
HCRTR1/HCRTR2,HCRTR1,HCRTR2,H3_candidate,O43613,O43614,2762,2676,0.9689,210,208,0.9905,531,525,0.9887,210,208,2,1,814,0.636,0.043
SLC6A4/SLC6A3,SLC6A4,SLC6A3,H3_candidate,P31645,Q01959,1147,1136,0.9904,173,172,0.9942,131,130,0.9924,131,130,1,1,429,0.674,0.053
F2/F10,F2,F10,H3_candidate,P00734,P00742,389,344,0.8843,117,108,0.9231,281,277,0.9858,117,108,9,1,192,0.677,0.052
SLC6A2/SLC6A4,SLC6A2,SLC6A4,H3_candidate,P23975,P31645,1444,1433,0.9924,93,92,0.9892,96,95,0.9896,93,92,1,1,481,0.628,0.033
JAK1/TYK2,JAK1,TYK2,H3_candidate,P23458,P29597,2097,1906,0.9089,94,91,0.9681,117,112,0.9573,94,91,3,1,766,0.655,0.052
PPARA/PPARD,PPARA,PPARD,H3_candidate,Q07869,Q03181,276,219,0.7935,84,82,0.9762,110,100,0.9091,84,82,2,1,84,0.607,0.105
PPARG/PPARA,PPARG,PPARA,H3_candidate,P37231,Q07869,445,440,0.9888,85,82,0.9647,102,91,0.8922,85,82,3,1,205,0.722,0.066
PIK3CA/MTOR,PIK3CA,MTOR,K4_development,P42336,P42345,1552,1431,0.922,80,71,0.8875,81,78,0.963,80,71,9,1,536,0.597,0.077
ACHE/BCHE,ACHE,BCHE,K4_development,P22303,P06276,687,533,0.7758,189,176,0.9312,78,65,0.8333,78,65,13,1,327,0.752,0.038
CTSK/CTSS,CTSK,CTSS,H3_candidate,P43235,P25774,471,455,0.966,58,57,0.9828,71,67,0.9437,58,57,1,1,255,0.741,0.044
OPRM1/OPRD1,OPRM1,OPRD1,H3_candidate,P35372,P41143,1894,1570,0.8289,153,137,0.8954,64,57,0.8906,64,57,7,1,744,0.681,0.039
F2/PRSS1,F2,PRSS1,H3_candidate,P00734,P07477,185,126,0.6811,92,92,1.0,62,56,0.9032,62,56,6,1,87,0.701,0.032
OPRD1/OPRK1,OPRD1,OPRK1,H3_candidate,P41143,P41145,1351,1127,0.8342,62,55,0.8871,195,173,0.8872,62,55,7,1,598,0.697,0.021
S1PR3/S1PR1,S1PR3,S1PR1,H3_candidate,Q99500,P21453,287,287,1.0,55,55,1.0,201,175,0.8706,55,55,0,1,92,0.565,0.195
JAK1/JAK2,JAK1,JAK2,H3_candidate,P23458,O60674,6316,5985,0.9476,113,108,0.9558,53,53,1.0,53,53,0,1,2275,0.662,0.037
JAK3/TYK2,JAK3,TYK2,H3_candidate,P52333,P29597,1657,1527,0.9215,51,48,0.9412,305,294,0.9639,51,48,3,0,595,0.684,0.074
OPRM1/OPRK1,OPRM1,OPRK1,H3_candidate,P35372,P41145,1877,1615,0.8604,56,46,0.8214,104,87,0.8365,56,46,10,0,839,0.718,0.021
PIK3CA/PIK3CB,PIK3CA,PIK3CB,K4_isoform_control,P42336,P42338,602,516,0.8571,56,40,0.7143,67,67,1.0,56,40,16,0,289,0.747,0.05
EGFR/ERBB2,EGFR,ERBB2,K4_case,P00533,P04626,951,891,0.9369,39,36,0.9231,7,7,1.0,7,7,0,0,425,0.699,0.066
