pair,end,gene,uniprot,proposed_pdb,proposed_cognate_ccd,declared_intended_site,status,layer1_accession_ok,layer1_human_ok,layer1_longest_entity_ge80,layer1_not_peptide_or_light_chain,layer1_mutation_count,layer1_complex_partners,cognate_name,cognate_is_real_inhibitor,cognate_not_dummy,site_matches_declared,site_class,construct_domain,blacklist_trap_absent,box_from_this_cognate,operator,date_iso,pass_fail,notes
PIK3CA/mTOR,A,PIK3CA,P42336,4L23,X6K,class I PI3K ATP site (p110alpha),frozen_awaiting_layer2_signoff,,,,,,,,,,,,,,,,,,Layer-1 identity PASS in RECEPTOR_IDENTITY_AUDIT_V1; do not swap to 9CMK
PIK3CA/mTOR,B,MTOR,P42345,4JT6,X6K,mTOR kinase ATP site (NOT the FKBP-rapamycin/FRB site),frozen_awaiting_layer2_signoff,,,,,,,,,,,,,,,,,,Layer-1 identity PASS; 4JT6 is ATP site at 3.60 A; reject 8PPZ
AChE/BChE,A,ACHE,P22303,4EY7,E20,catalytic gorge / CAS-PAS,frozen_awaiting_layer2_signoff,,,,,,,,,,,,,,,,,,Layer-1 identity PASS; frozen receptor is 4EY7 not auto-rank 4M0E
AChE/BChE,B,BCHE,P06276,4BDS,THA,catalytic gorge,frozen_awaiting_layer2_signoff,,,,,,,,,,,,,,,,,,Layer-1 identity PASS; frozen receptor is 4BDS not auto-rank 6ZWI
F2/F10,A,F2,P00734,5AFY,WCE,thrombin S1 pocket (catalytic domain),pending_human_site_check,,,,,,,,,,,,,,,,,,Confirm heavy chain / S1; not light chain
F2/F10,B,F10,P00742,2JKH,BI7,factor Xa S1/S4 pockets (catalytic domain),pending_human_site_check,,,,,,,,,,,,,,,,,,Confirm catalytic domain S1/S4
JAK1/TYK2,A,JAK1,P23458,6N7A,KEV,JH1 kinase ATP site,pending_human_site_check,,,,,,,,,,,,,,,,,,Confirm JH1 not JH2
JAK1/TYK2,B,TYK2,P29597,3LXP,IZA,JH1 kinase ATP site (declare if JH2 pseudokinase),pending_human_site_check,,,,,,,,,,,,,,,,,,EXPLICIT JH1 vs JH2 call required
JAK1/JAK2,A,JAK1,P23458,6N7A,KEV,JH1 kinase ATP site,pending_human_site_check,,,,,,,,,,,,,,,,,,Reuse JAK1 6N7A only after JAK1/TYK2 A-end PASS
JAK1/JAK2,B,JAK2,O60674,8BXH,C87,JH1 kinase ATP site,pending_human_site_check,,,,,,,,,,,,,,,,,,Confirm JH1 not JH2
PPARG/PPARA,A,PPARG,P37231,9F7W,2OH,ligand-binding domain,pending_human_site_check,,,,,,,,,,,,,,,,,,LBD not DBD; ligand in LBD cavity
PPARG/PPARA,B,PPARA,Q07869,6LXA,EPA,ligand-binding domain,pending_human_site_check,,,,,,,,,,,,,,,,,,Confirm EPA in LBD
PPARA/PPARD,A,PPARA,Q07869,6LXA,EPA,ligand-binding domain,pending_human_site_check,,,,,,,,,,,,,,,,,,Reuse PPARA 6LXA only after PPARG/PPARA B-end PASS
PPARA/PPARD,B,PPARD,Q03181,5U3Q,7UJ,ligand-binding domain,pending_human_site_check,,,,,,,,,,,,,,,,,,LBD not DBD
CTSK/CTSS,A,CTSK,P43235,4X6H,3XT,S2 pocket papain-fold active site,pending_human_site_check,,,,,,,,,,,,,,,,,,Catalytic Cys/His facing ligand
CTSK/CTSS,B,CTSS,P25774,9GJ2,KH0,S2 pocket papain-fold active site,pending_human_site_check,,,,,,,,,,,,,,,,,,Catalytic Cys/His facing ligand
