panel_id,pair,class,molecule_chembl_id,canonical_smiles,pchembl_A,pchembl_B,theta6_class,label_rule,mw_freebase,heavy_atoms,gene_A,gene_B,uniprot_A,uniprot_B
J1J2_001,JAK1/JAK2,A_only,CHEMBL1288001,CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,7.41,5.30,A_only,strict_6.5_5.5,358.35,26,JAK1,JAK2,P23458,O60674
J1J2_002,JAK1/JAK2,A_only,CHEMBL3655090,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)c2cccc(C(C)(C)O)c2)C1,6.64,5.25,A_only,strict_6.5_5.5,415.52,29,JAK1,JAK2,P23458,O60674
J1J2_003,JAK1/JAK2,A_only,CHEMBL3658866,CC(C)N1CCC(S(=O)(=O)C[C@H]2C[C@@H](N(C)c3ncnc4[nH]ccc34)C2)C1,6.97,5.42,A_only,strict_6.5_5.5,391.54,27,JAK1,JAK2,P23458,O60674
J1J2_004,JAK1/JAK2,A_only,CHEMBL3814293,NC(=O)c1ccc2c(c1)nc([C@H]1CC[C@H](O)CC1)n2CCO,7.10,5.50,A_only,strict_6.5_5.5,303.36,22,JAK1,JAK2,P23458,O60674
J1J2_005,JAK1/JAK2,A_only,CHEMBL4225947,CC(C)S(=O)(=O)N1CC[C@@H](N(C)c2ncnc3[nH]ccc23)C1,6.77,5.32,A_only,strict_6.5_5.5,323.42,22,JAK1,JAK2,P23458,O60674
J1J2_006,JAK1/JAK2,A_only,CHEMBL4227307,CN(c1ncnc2[nH]ccc12)[C@@H]1CCN(S(C)(=O)=O)C1,7.16,5.33,A_only,strict_6.5_5.5,295.37,20,JAK1,JAK2,P23458,O60674
J1J2_007,JAK1/JAK2,A_only,CHEMBL4228436,CN(c1ncnc2[nH]ccc12)[C@@H]1CCN(S(=O)(=O)N2CCCCC2)C1,7.18,5.41,A_only,strict_6.5_5.5,364.48,25,JAK1,JAK2,P23458,O60674
J1J2_008,JAK1/JAK2,A_only,CHEMBL4229278,CC(C)COC(=O)N1CC[C@@H](N(C)c2ncnc3[nH]ccc23)C1,6.96,5.37,A_only,strict_6.5_5.5,317.39,23,JAK1,JAK2,P23458,O60674
J1J2_009,JAK1/JAK2,A_only,CHEMBL4285366,CN(c1ncnc2[nH]ccc12)[C@H]1CN(C(=O)c2ccncc2)CC12CC2,6.85,5.19,A_only,strict_6.5_5.5,348.41,26,JAK1,JAK2,P23458,O60674
J1J2_010,JAK1/JAK2,A_only,CHEMBL4285642,CN(c1ncnc2[nH]ccc12)[C@H]1CN(C(=O)Nc2ccc(Cl)cc2Cl)CC12CC2,6.92,5.33,A_only,strict_6.5_5.5,431.33,29,JAK1,JAK2,P23458,O60674
J1J2_011,JAK1/JAK2,A_only,CHEMBL4290647,CN(c1ncnc2[nH]ccc12)[C@H]1CN(C(=O)c2ccccc2)CC12CC2,6.82,5.20,A_only,strict_6.5_5.5,347.42,26,JAK1,JAK2,P23458,O60674
J1J2_012,JAK1/JAK2,A_only,CHEMBL5170765,O=C(Nc1nc2cccc([C@H]3CC[C@H](NC(=O)[C@@H]4CC4(F)F)CC3)n2n1)C1CC1,6.74,5.32,A_only,strict_6.5_5.5,403.43,29,JAK1,JAK2,P23458,O60674
J1J2_013,JAK1/JAK2,A_only,CHEMBL5420468,C[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1,7.70,4.76,A_only,strict_6.5_5.5,569.64,40,JAK1,JAK2,P23458,O60674
J1J2_014,JAK1/JAK2,A_only,CHEMBL5774054,CC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3C)c[nH]c12)N1CCN(C)C[C@H]1C,8.13,4.92,A_only,strict_6.5_5.5,593.73,42,JAK1,JAK2,P23458,O60674
J1J2_015,JAK1/JAK2,A_only,CHEMBL5779069,Cn1ccc(-c2ccc(Nc3nn([C@@H](CC#N)C4CC4)c4cc[nH]c(=O)c34)cc2Cl)n1,6.55,5.34,A_only,strict_6.5_5.5,433.9,31,JAK1,JAK2,P23458,O60674
J1J2_016,JAK1/JAK2,A_only,CHEMBL5785335,COc1nn(C)cc1Nc1ncc(C)c(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)[C@@H](C)C4)cccc23)n1,8.05,5.19,A_only,strict_6.5_5.5,517.64,38,JAK1,JAK2,P23458,O60674
J1J2_017,JAK1/JAK2,A_only,CHEMBL5791326,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)C[C@H]4C)cccc23)n1,7.01,4.69,A_only,strict_6.5_5.5,503.61,37,JAK1,JAK2,P23458,O60674
J1J2_018,JAK1/JAK2,A_only,CHEMBL5803271,CN(C)[C@@H]1CC[C@H](n2nc(Nc3ccc(Cl)cc3)c3c(=O)[nH]ccc32)[C@@H](C#N)C1,6.55,4.96,A_only,strict_6.5_5.5,410.91,29,JAK1,JAK2,P23458,O60674
J1J2_019,JAK1/JAK2,A_only,CHEMBL5805176,C[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCCN(C)CC1,7.70,4.75,A_only,strict_6.5_5.5,583.67,41,JAK1,JAK2,P23458,O60674
J1J2_020,JAK1/JAK2,A_only,CHEMBL5828860,CCOc1nn(C)cc1Nc1ncc(Cl)c(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,7.62,5.05,A_only,strict_6.5_5.5,538.06,38,JAK1,JAK2,P23458,O60674
J1J2_021,JAK1/JAK2,A_only,CHEMBL5841153,COC[C@@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3C)c[nH]c12)N1CCN(C)C[C@H]1C,7.85,5.17,A_only,strict_6.5_5.5,609.73,43,JAK1,JAK2,P23458,O60674
J1J2_022,JAK1/JAK2,A_only,CHEMBL5868512,CCCC(C)N(C)S(=O)(=O)C[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,7.25,5.48,A_only,strict_6.5_5.5,379.53,26,JAK1,JAK2,P23458,O60674
J1J2_023,JAK1/JAK2,A_only,CHEMBL5944377,CCOc1nn(C)cc1Nc1ncc(C)c(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)[C@@H](C)C4)cccc23)n1,7.82,4.70,A_only,strict_6.5_5.5,531.67,39,JAK1,JAK2,P23458,O60674
J1J2_024,JAK1/JAK2,A_only,CHEMBL5953308,CCN1CCN([C@H](C)C(=O)Nc2cccc3c(-c4nc(Nc5cn(C)nc5OC)ncc4C)c[nH]c23)CC1,7.72,5.21,A_only,strict_6.5_5.5,517.64,38,JAK1,JAK2,P23458,O60674
J1J2_025,JAK1/JAK2,A_only,CHEMBL5956409,N#C[C@H]1CCCCC1n1nc(Nc2ccc(-c3ccno3)cc2)c2c(=O)[nH]ccc21,6.50,5.50,A_only,strict_6.5_5.5,400.44,30,JAK1,JAK2,P23458,O60674
