panel_id,pair,class,molecule_chembl_id,canonical_smiles,pchembl_A,pchembl_B,theta6_class,label_rule,mw_freebase,heavy_atoms,gene_A,gene_B,uniprot_A,uniprot_B
J1TYK2_001,JAK1/TYK2,A_only,CHEMBL1235315,O=C1CCN(c2ncc(C(F)(F)F)c(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)n2)CC1,6.60,5.36,A_only,strict_6.5_5.5,455.4,33,JAK1,TYK2,P23458,P29597
J1TYK2_002,JAK1/TYK2,A_only,CHEMBL3655087,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@@H](NS(=O)(=O)[C@H]2C[C@@](C)(CC#N)C2)C1,7.51,5.28,A_only,strict_6.5_5.5,388.5,27,JAK1,TYK2,P23458,P29597
J1TYK2_003,JAK1/TYK2,A_only,CHEMBL3658855,CN(c1ncnc2[nH]ccc12)[C@H]1C[C@H](NS(=O)(=O)N2CCC(C#N)C2)C1,6.62,5.10,A_only,strict_6.5_5.5,375.46,26,JAK1,TYK2,P23458,P29597
J1TYK2_004,JAK1/TYK2,A_only,CHEMBL3658861,CCCS(=O)(=O)C[C@H]1C[C@H](N(C)c2ncnc3[nH]ccc23)C1,7.17,5.44,A_only,strict_6.5_5.5,322.43,22,JAK1,TYK2,P23458,P29597
J1TYK2_005,JAK1/TYK2,A_only,CHEMBL3745954,COc1ccc(F)c(-c2nc3c(NCC4CCNCC4)c(Cl)cnc3[nH]2)c1,7.31,4.94,A_only,strict_6.5_5.5,389.86,27,JAK1,TYK2,P23458,P29597
J1TYK2_006,JAK1/TYK2,A_only,CHEMBL3752910,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1nc(-c2cccnc2)nc2c1cnn2C,8.29,4.44,A_only,strict_6.5_5.5,503.49,37,JAK1,TYK2,P23458,P29597
J1TYK2_007,JAK1/TYK2,A_only,CHEMBL4276860,N#CN[C@@H]1CCc2ccc(-c3ncnc4[nH]ccc34)cc21,7.02,5.50,A_only,strict_6.5_5.5,275.31,21,JAK1,TYK2,P23458,P29597
J1TYK2_008,JAK1/TYK2,A_only,CHEMBL4286963,N#CN[C@H]1C[C@H](O)c2ccc(-c3ncnc4[nH]ccc34)cc21,7.04,5.47,A_only,strict_6.5_5.5,291.31,22,JAK1,TYK2,P23458,P29597
J1TYK2_009,JAK1/TYK2,A_only,CHEMBL5556990,N#Cc1ccccc1CN1CCC(Nc2c(-c3cc[nH]c3)cnc3[nH]ccc23)CC1,7.94,5.38,A_only,strict_6.5_5.5,396.5,30,JAK1,TYK2,P23458,P29597
J1TYK2_010,JAK1/TYK2,A_only,CHEMBL5754673,O=C(N[C@H](CO)Cc1ccccc1)C1CCN(c2ncnc3[nH]ccc23)CC12CC2,7.38,5.38,A_only,strict_6.5_5.5,405.5,30,JAK1,TYK2,P23458,P29597
