target_A_chembl,target_B_chembl,uniprot_A,uniprot_B,gene_A,gene_B,pref_A,pref_B,class_A,class_B,n_A,n_B,n_both_measured,theta_dual,theta_A_only,theta_B_only,theta_neither,strict_dual,strict_A_only,strict_B_only,strict_neither,strict_gray,min_strict_hardneg,directional_n10,formulation_n10,supports_strict_panel,supports_thin_panel,metal_either,metal_both,same_class
CHEMBL1293232,CHEMBL1293235,Q16637,P02545,SMN1,LMNA,Survival motor neuron protein,Prelamin-A/C,Tudor domain,Structural protein,33450,36154,9161,160,615,634,7752,91,341,370,6865,1494,341,1,1,1,1,0,0,0
CHEMBL3577,CHEMBL1293224,P00352,P10636,ALDH1A1,MAPT,Aldehyde dehydrogenase 1A1,Microtubule-associated protein tau,Oxidoreductase,Other cytosolic protein,75664,67208,24818,22,737,863,23196,4,270,345,21146,3053,270,1,1,1,1,0,0,0
CHEMBL5747,CHEMBL1163125,Q92793,O60885,CREBBP,BRD4,CREB-binding protein,Bromodomain-containing protein 4,p300/CBP family,Bromodomain,2990,9338,2056,301,1185,415,155,47,716,270,110,913,270,1,1,1,1,0,0,0
CHEMBL218,CHEMBL253,P21554,P34972,CNR1,CNR2,Cannabinoid receptor 1,Cannabinoid receptor 2,Cannabinoid receptor,Cannabinoid receptor,5892,7901,3391,1777,684,707,223,1046,324,246,87,1688,246,1,1,1,1,0,0,1
CHEMBL5113,CHEMBL4792,O43613,O43614,HCRTR1,HCRTR2,Orexin/Hypocretin receptor type 1,Orexin receptor type 2,Orexin receptor,Orexin receptor,7222,7636,6155,3978,637,1211,329,2762,210,531,136,2516,210,1,1,1,1,0,0,1
CHEMBL4096,CHEMBL1293235,P04637,P02545,TP53,LMNA,Cellular tumor antigen p53,Prelamin-A/C,Transcription factor,Structural protein,16995,36154,3131,129,287,335,2380,73,186,207,2116,549,186,1,1,1,1,0,0,0
CHEMBL1293224,CHEMBL1293232,P10636,Q16637,MAPT,SMN1,Microtubule-associated protein tau,Survival motor neuron protein,Other cytosolic protein,Tudor domain,67208,33450,12000,64,455,1213,10268,15,148,749,8682,2406,148,1,1,1,1,0,0,0
CHEMBL3577,CHEMBL1293235,P00352,P02545,ALDH1A1,LMNA,Aldehyde dehydrogenase 1A1,Prelamin-A/C,Oxidoreductase,Structural protein,75664,36154,13563,50,386,1617,11510,17,144,1089,10464,1849,144,1,1,1,1,0,0,0
CHEMBL1293224,CHEMBL1293235,P10636,P02545,MAPT,LMNA,Microtubule-associated protein tau,Prelamin-A/C,Other cytosolic protein,Structural protein,67208,36154,13587,95,412,1406,11674,31,139,871,10379,2167,139,1,1,1,1,0,0,0
CHEMBL228,CHEMBL238,P31645,Q01959,SLC6A4,SLC6A3,Sodium-dependent serotonin transporter,Sodium-dependent dopamine transporter,SLC06 neurotransmitter transporter family,SLC06 neurotransmitter transporter family,5410,3459,2598,1603,442,337,216,1147,173,131,60,1087,131,1,1,1,1,0,0,1
CHEMBL1951,CHEMBL2039,P21397,P27338,MAOA,MAOB,Amine oxidase [flavin-containing] A,Amine oxidase [flavin-containing] B,Oxidoreductase,Oxidoreductase,3193,4938,2459,357,266,710,1126,180,128,367,782,1002,128,1,1,1,1,0,0,1
CHEMBL3577,CHEMBL1293232,P00352,Q16637,ALDH1A1,SMN1,Aldehyde dehydrogenase 1A1,Survival motor neuron protein,Oxidoreductase,Tudor domain,75664,33450,13536,50,323,2035,11128,18,120,1448,9902,2048,120,1,1,1,1,0,0,0
CHEMBL2392,CHEMBL1293224,P06746,P10636,POLB,MAPT,DNA polymerase beta,Microtubule-associated protein tau,Enzyme,Other cytosolic protein,23075,67208,7628,28,424,381,6795,4,211,119,5987,1307,119,1,1,1,1,0,0,0
CHEMBL226,CHEMBL251,P30542,P29274,ADORA1,ADORA2A,Adenosine receptor A1,Adenosine receptor A2a,Adenosine receptor,Adenosine receptor,5133,6737,3610,2298,392,529,391,1544,119,119,173,1655,119,1,1,1,1,0,0,1
CHEMBL204,CHEMBL244,P00734,P00742,F2,F10,Prothrombin,Coagulation factor X,Serine protease S1A subfamily,Serine protease S1A subfamily,5583,5937,1868,645,258,607,358,389,117,281,196,885,117,1,1,1,1,0,0,1
