pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neg_sel,n_neg_neither,independent,reported,ci_lo,ci_hi,source_file
EGFR/HER2,main,fixed_score_delta_pocketB,score_B,D-vs-neither minus D-vs-A_only,28,,38,12,0.053884711779448646,0.0539,-0.16134868421052634,0.24546914160401,pocket B fixed; A-only versus neither negative class; joint stratified bootstrap
EGFR/HER2,main,fixed_score_delta_pocketA,score_A,D-vs-neither minus D-vs-B_only,28,,32,12,0.3783482142857143,0.3783,0.20161830357142851,0.5524553571428571,pocket A fixed; B-only versus neither negative class; joint stratified bootstrap
EGFR/HER2,main,AUROC_D_vs_A_pocketB,S_B=-E_B,dual vs A-only,28,38,,,0.6663533834586466,0.6663533834586466,0.5237584218584672,0.793095238095238,primary_directional_intervals_review_v1.csv
EGFR/HER2,main,AUROC_D_vs_B_pocketA,S_A=-E_A,dual vs B-only,28,32,,,0.4296875,0.4296875,0.2817924317062248,0.579011972770499,primary_directional_intervals_review_v1.csv
EGFR/HER2,main,summary_min,"min(D/A,D/B)",weaker directional arm,28,32,,,0.4296875,0.4296875,0.2817924317062248,0.5775046404364821,primary_directional_intervals_review_v1.csv
EGFR/HER2,main,AUROC_D_vs_neither_vina_mean,(S_A+S_B)/2,dual vs neither,28,12,,,0.7559523809523809,0.756,0.5564732142857143,0.9226190476190477,Table 3
EGFR/HER2,main,EF_dual_10pct,"vina_mean rank, k=ceil(0.10 n)",dual enrichment vs full D/A/B/N panel,28,82,,,0.3571428571428572,0.3571428571428572,,,eight_pair_ranking_operating_point_v1.csv
EGFR/HER2,main,top10_composition,"vina_mean descending, ties ligand_id",D/A/B/N of k=11,1,10,,,1/5/5/0,1/5/5/0,,,eight_pair_ranking_operating_point_v1.csv
JAK1/JAK2,main,fixed_score_delta_pocketB,score_B,D-vs-neither minus D-vs-A_only,32,,32,14,0.1415318080357143,0.1415,-0.06571044921875005,0.32758963448660705,"pocket B fixed; A-only versus neither; shared dual resample, independent negativ"
JAK1/JAK2,main,fixed_score_delta_pocketA,score_A,D-vs-neither minus D-vs-B_only,32,,32,14,-0.004324776785714302,-0.0043,-0.18223353794642855,0.15905412946428568,"pocket A fixed; B-only versus neither; shared dual resample, independent negativ"
JAK1/JAK2,main,AUROC_D_vs_A_pocketB,S_B=-E_B,dual vs A-only,32,32,,,0.58837890625,0.58837890625,0.4444173177083333,0.7292067307692305,primary_directional_intervals_review_v1.csv
JAK1/JAK2,main,AUROC_D_vs_B_pocketA,S_A=-E_A,dual vs B-only,32,32,,,0.7275390625,0.7275390625,0.5947525582813771,0.8482786429365963,primary_directional_intervals_review_v1.csv
JAK1/JAK2,main,summary_min,"min(D/A,D/B)",weaker directional arm,32,32,,,0.58837890625,0.58837890625,0.4444173177083333,0.7245793185309313,primary_directional_intervals_review_v1.csv
JAK1/JAK2,main,AUROC_D_vs_neither_vina_mean,(S_A+S_B)/2,dual vs neither,32,14,,,0.7299107142857143,0.73,0.5557477678571429,0.8861607142857143,Table 3
JAK1/JAK2,main,EF_dual_10pct,"vina_mean rank, k=ceil(0.10 n)",dual enrichment vs full D/A/B/N panel,32,78,,,1.875,1.875,,,eight_pair_ranking_operating_point_v1.csv
JAK1/JAK2,main,top10_composition,"vina_mean descending, ties ligand_id",D/A/B/N of k=11,6,5,,,6/5/0/0,6/5/0/0,,,eight_pair_ranking_operating_point_v1.csv
JAK1/TYK2,main,fixed_score_delta_pocketB,score_B,D-vs-neither minus D-vs-A_only,31,,32,14,0.1299683179723502,0.13,-0.060143649193548455,0.3107826900921659,"pocket B fixed; A-only versus neither; shared dual resample, independent negativ"
JAK1/TYK2,main,fixed_score_delta_pocketA,score_A,D-vs-neither minus D-vs-B_only,31,,32,14,0.4438364055299539,0.4438,0.2633928571428572,0.6338277649769583,"pocket A fixed; B-only versus neither; shared dual resample, independent negativ"
JAK1/TYK2,main,AUROC_D_vs_A_pocketB,S_B=-E_B,dual vs A-only,31,32,,,0.5751008064516129,0.5751008064516129,0.43421171171171175,0.7251602564102563,primary_directional_intervals_review_v1.csv
JAK1/TYK2,main,AUROC_D_vs_B_pocketA,S_A=-E_A,dual vs B-only,31,32,,,0.3649193548387097,0.3649193548387097,0.230550455346651,0.5050586510263929,primary_directional_intervals_review_v1.csv
JAK1/TYK2,main,summary_min,"min(D/A,D/B)",weaker directional arm,31,32,,,0.3649193548387097,0.3649193548387097,0.230550455346651,0.5030321852060983,primary_directional_intervals_review_v1.csv
JAK1/TYK2,main,AUROC_D_vs_neither_vina_mean,(S_A+S_B)/2,dual vs neither,31,14,,,0.7695852534562212,0.77,0.5990207373271889,0.9124423963133641,Table 3
JAK1/TYK2,main,EF_dual_10pct,"vina_mean rank, k=ceil(0.10 n)",dual enrichment vs full D/A/B/N panel,31,78,,,0.3196480938416422,0.3196480938416422,,,eight_pair_ranking_operating_point_v1.csv
JAK1/TYK2,main,top10_composition,"vina_mean descending, ties ligand_id",D/A/B/N of k=11,1,10,,,1/3/7/0,1/3/7/0,,,eight_pair_ranking_operating_point_v1.csv
PIK3CA/mTOR,main,fixed_score_delta_pocketB,score_B,D-vs-neither minus D-vs-A_only,18,,14,4,-0.13095238095238093,-0.131,-0.45243055555555556,0.17658730158730163,pocket B fixed; A-only versus neither negative class; joint stratified bootstrap
PIK3CA/mTOR,main,fixed_score_delta_pocketA,score_A,D-vs-neither minus D-vs-B_only,18,,12,4,-0.21990740740740744,-0.2199,-0.5115740740740741,0.018576388888888653,pocket A fixed; B-only versus neither negative class; joint stratified bootstrap
PIK3CA/mTOR,main,AUROC_D_vs_A_pocketB,S_B=-E_B,dual vs A-only,18,14,,,0.7142857142857143,0.7142857142857143,0.5058874700179048,0.8993066829004329,primary_directional_intervals_review_v1.csv
PIK3CA/mTOR,main,AUROC_D_vs_B_pocketA,S_A=-E_A,dual vs B-only,18,12,,,0.6921296296296297,0.6921296296296297,0.49473105841526893,0.8738075196408526,primary_directional_intervals_review_v1.csv
PIK3CA/mTOR,main,summary_min,"min(D/A,D/B)",weaker directional arm,18,12,,,0.6921296296296297,0.6921296296296297,0.47021053791887124,0.8133373015873016,primary_directional_intervals_review_v1.csv
PIK3CA/mTOR,main,AUROC_D_vs_neither_vina_mean,(S_A+S_B)/2,dual vs neither,18,4,,,0.5138888888888888,0.514,0.2222222222222222,0.8194444444444444,Table 3
PIK3CA/mTOR,main,EF_dual_10pct,"vina_mean rank, k=ceil(0.10 n)",dual enrichment vs full D/A/B/N panel,18,30,,,2.1333333333333333,2.1333333333333333,,,eight_pair_ranking_operating_point_v1.csv
PIK3CA/mTOR,main,top10_composition,"vina_mean descending, ties ligand_id",D/A/B/N of k=5,4,1,,,4/1/0/0,4/1/0/0,,,eight_pair_ranking_operating_point_v1.csv
AChE/BChE,main,fixed_score_delta_pocketB,score_B,D-vs-neither minus D-vs-A_only,27,,25,15,0.05827160493827155,0.0583,-0.08496296296296296,0.20493827160493827,pocket B fixed; A-only versus neither negative class; joint stratified bootstrap
AChE/BChE,main,fixed_score_delta_pocketA,score_A,D-vs-neither minus D-vs-B_only,27,,28,15,-0.015696649029982357,-0.0157,-0.1468298059964727,0.11589285714285696,pocket A fixed; B-only versus neither negative class; joint stratified bootstrap
AChE/BChE,main,AUROC_D_vs_A_pocketB,S_B=-E_B,dual vs A-only,27,25,,,0.6503703703703704,0.6503703703703704,0.4826968236311952,0.8013357142857143,primary_directional_intervals_review_v1.csv
