target,ligand,status,gnina_mode1,seconds
3POZ,EH120_041,ok,-10.4877329,220.5
3RCD,EH120_041,ok,-10.2509899,204.0
3POZ,EH120_042,ok,-8.98980331,142.5
3RCD,EH120_042,ok,-8.24371815,148.0
3POZ,EH120_043,ok,-9.21048641,205.1
3RCD,EH120_043,ok,-6.86337137,218.4
3POZ,EH120_044,ok,-8.54892921,179.6
3RCD,EH120_044,ok,-9.20448399,183.6
3POZ,EH120_045,ok,-9.87133121,196.9
3RCD,EH120_045,ok,-10.186182,190.1
3POZ,EH120_046,ok,-8.80334473,230.9
3RCD,EH120_046,ok,-8.71713352,213.7
3POZ,EH120_047,ok,-9.20162487,276.4
3RCD,EH120_047,ok,-9.22967815,240.4
3POZ,EH120_048,ok,-7.43764162,147.4
3RCD,EH120_048,ok,-8.4833622,158.8
3POZ,EH120_049,ok,-8.48679733,186.7
3RCD,EH120_049,ok,-8.01157188,168.7
3POZ,EH120_050,ok,-10.0996914,229.4
3RCD,EH120_050,ok,-9.4346838,209.8
3POZ,EH120_051,ok,-8.37947655,139.6
3RCD,EH120_051,ok,-8.07444191,146.0
3POZ,EH120_052,ok,-7.94200039,184.6
3RCD,EH120_052,ok,-8.2094717,178.9
3POZ,EH120_053,ok,-9.77418995,198.2
3RCD,EH120_053,ok,-6.68266249,190.6
3POZ,EH120_054,ok,-6.81042624,141.9
3RCD,EH120_054,ok,-6.99746037,142.5
3POZ,EH120_055,ok,-7.70819187,153.0
3RCD,EH120_055,ok,-8.58587074,142.8
3POZ,EH120_056,ok,-7.05702639,256.5
3RCD,EH120_056,ok,-7.46425962,250.6
3POZ,EH120_057,ok,-6.9069128,134.7
3RCD,EH120_057,ok,-6.83444405,136.4
3POZ,EH120_058,ok,-8.12140942,184.6
3RCD,EH120_058,ok,-7.51573372,186.9
3POZ,EH120_059,ok,-8.37992096,172.5
3RCD,EH120_059,ok,-9.18942738,167.1
3POZ,EH120_060,ok,-8.62450123,148.3
3RCD,EH120_060,ok,-8.29236317,149.5
3POZ,EH120_061,ok,-11.0336733,231.5
3RCD,EH120_061,ok,-11.2455893,213.8
3POZ,EH120_062,ok,-10.3760004,248.5
3RCD,EH120_062,ok,-11.1021967,241.0
3POZ,EH120_063,ok,-10.0002317,233.9
3RCD,EH120_063,ok,-9.6352911,222.6
3POZ,EH120_064,ok,-7.61002684,154.2
3RCD,EH120_064,ok,-7.60084391,147.5
3POZ,EH120_065,ok,-7.25887489,143.6
3RCD,EH120_065,ok,-7.07967138,139.8
3POZ,EH120_066,ok,-7.89871168,206.6
3RCD,EH120_066,ok,-7.22464561,205.5
3POZ,EH120_067,ok,-7.73147345,134.7
3RCD,EH120_067,ok,-9.06960678,139.5
3POZ,EH120_068,ok,-9.03901386,369.2
3RCD,EH120_068,ok,-8.86310196,360.9
3POZ,EH120_069,ok,-7.13096142,152.3
3RCD,EH120_069,ok,-6.95679426,156.8
3POZ,EH120_070,ok,-7.29990053,135.6
3RCD,EH120_070,ok,-8.15188313,134.5
3POZ,EH120_071,ok,-9.67801476,182.9
3RCD,EH120_071,ok,-10.2357988,184.5
3POZ,EH120_072,ok,-11.3552971,197.9
3RCD,EH120_072,ok,-11.2460556,176.4
3POZ,EH120_073,ok,-9.33365536,201.7
3RCD,EH120_073,ok,-8.83559895,190.1
3POZ,EH120_074,ok,-7.97204781,135.4
3RCD,EH120_074,ok,-8.50697422,136.4
3POZ,EH120_075,ok,-6.62070608,160.9
3RCD,EH120_075,ok,-7.87661886,146.2
3POZ,EH120_076,ok,-6.73263597,152.3
3RCD,EH120_076,ok,-8.31748199,140.7
3POZ,EH120_077,ok,-7.18342209,139.9
3RCD,EH120_077,ok,-8.51157379,150.2
3POZ,EH120_078,ok,-9.0137291,229.6
3RCD,EH120_078,ok,-8.36024189,241.3
3POZ,EH120_079,ok,-7.27907419,160.1
3RCD,EH120_079,ok,-7.76425886,148.6
3POZ,EH120_080,ok,-9.08308411,232.6
3RCD,EH120_080,ok,-10.3561106,217.4
3POZ,EH120_081,ok,-10.7484121,239.2
3RCD,EH120_081,ok,-11.1866541,238.7
3POZ,EH120_082,ok,-8.96315479,234.2
3RCD,EH120_082,ok,-10.0174532,232.4
3POZ,EH120_083,ok,-10.7458,232.1
3RCD,EH120_083,ok,-10.5893087,232.1
3POZ,EH120_084,ok,-10.6054115,195.4
3RCD,EH120_084,ok,-10.726016,210.3
3POZ,EH120_085,ok,-11.2854042,216.7
3RCD,EH120_085,ok,-11.2546644,199.1
3POZ,EH120_086,ok,-10.3700266,240.7
3RCD,EH120_086,ok,-10.6797419,231.5
3POZ,EH120_087,ok,-10.8528538,229.1
3RCD,EH120_087,ok,-10.8792067,229.6
3POZ,EH120_088,ok,-11.2035236,214.6
3RCD,EH120_088,ok,-12.5278244,205.6
3POZ,EH120_089,ok,-8.45174408,213.4
3RCD,EH120_089,ok,-9.15119362,229.9
3POZ,EH120_090,ok,-8.99961758,252.3
3RCD,EH120_090,ok,-9.90677738,240.8
3POZ,EH120_091,ok,-9.82561302,185.1
3RCD,EH120_091,ok,-10.5096807,178.0
3POZ,EH120_092,ok,-10.6791477,205.0
3RCD,EH120_092,ok,-10.9292355,200.6
3POZ,EH120_093,ok,-10.4519148,114.5
3RCD,EH120_093,ok,-10.5195875,116.5
3POZ,EH120_094,ok,-9.15253448,78.5
3RCD,EH120_094,ok,-9.41119862,76.5
3POZ,EH120_095,ok,-9.6566124,99.1
3RCD,EH120_095,ok,-10.5109854,95.8
3POZ,EH120_096,ok,-10.7644806,92.2
3RCD,EH120_096,ok,-11.014369,90.8
3POZ,EH120_097,ok,-9.81929874,88.3
3RCD,EH120_097,ok,-10.4820681,82.2
3POZ,EH120_098,ok,-10.3463411,86.6
3RCD,EH120_098,ok,-10.830512,86.3
3POZ,EH120_099,ok,-9.47809982,106.5
3RCD,EH120_099,ok,-9.91394138,95.6
3POZ,EH120_100,ok,-9.80936527,91.6
3RCD,EH120_100,ok,-11.2545815,86.9
3POZ,EH120_101,ok,-10.7040129,98.0
3RCD,EH120_101,ok,-10.9786024,98.7
3POZ,EH120_102,ok,-7.04196548,70.2
3RCD,EH120_102,ok,-8.43479633,69.4
3POZ,EH120_103,ok,-8.58375359,65.9
3RCD,EH120_103,ok,-7.36648941,64.4
3POZ,EH120_104,ok,-9.13002968,74.4
3RCD,EH120_104,ok,-8.95798302,72.3
3POZ,EH120_105,ok,-8.29298019,65.2
3RCD,EH120_105,ok,-7.47799206,63.9
3POZ,EH120_106,ok,-8.29443836,61.7
3RCD,EH120_106,ok,-8.42874908,60.5
3POZ,EH120_107,ok,-7.33879757,83.9
3RCD,EH120_107,ok,-7.81369495,81.0
3POZ,EH120_108,ok,-8.13039494,78.0
3RCD,EH120_108,ok,-7.56605244,73.6
3POZ,EH120_109,FAIL rc=1,,1.5
3RCD,EH120_109,FAIL rc=1,,1.3
3POZ,EH120_110,ok,-5.95538425,64.6
3RCD,EH120_110,ok,-6.50821066,64.1
3POZ,EH40_01,ok,-10.2033091,942.9
3RCD,EH40_01,ok,-9.24344063,862.8
3POZ,EH40_02,ok,-9.97628784,553.2
3RCD,EH40_02,ok,-10.0824699,484.3
3POZ,EH40_03,ok,-8.66115284,454.6
3RCD,EH40_03,ok,-7.84168911,466.7
3POZ,EH40_04,ok,-12.1248674,649.1
3RCD,EH40_04,ok,-12.0858126,654.3
3POZ,EH40_05,ok,-8.82317448,593.5
3RCD,EH40_05,ok,-10.039958,551.5
3POZ,EH40_06,ok,-9.88726616,7569.2
3RCD,EH40_06,ok,-10.2174177,7509.2
3POZ,EH40_07,ok,-8.7492857,398.3
3RCD,EH40_07,ok,-9.77959633,409.2
3POZ,EH40_08,ok,-9.80895138,396.6
3RCD,EH40_08,ok,-9.80040073,367.2
3POZ,EH40_09,ok,-9.41915512,705.4
3RCD,EH40_09,ok,-7.84567547,651.2
3POZ,EH40_10,ok,-8.80457211,335.0
3RCD,EH40_10,ok,-8.57603073,314.2
3POZ,EH40_11,ok,-9.55089569,286.7
3RCD,EH40_11,ok,-10.2008629,280.4
3POZ,EH40_12,ok,-9.73295498,315.3
3RCD,EH40_12,ok,-10.0587969,318.5
3POZ,EH40_13,ok,-8.30251789,357.4
3RCD,EH40_13,ok,-7.75751257,338.9
3POZ,EH40_14,ok,-7.11436462,209.4
3RCD,EH40_14,ok,-6.78973389,233.5
3POZ,EH40_15,ok,-7.3612833,232.9
3RCD,EH40_15,ok,-8.45674133,229.4
3POZ,EH40_16,ok,-10.1177101,228.4
3RCD,EH40_16,ok,-8.72922802,250.9
3POZ,EH40_17,ok,-7.15445662,290.3
3RCD,EH40_17,ok,-7.54382896,276.3
3POZ,EH40_18,ok,-11.3368464,274.5
3RCD,EH40_18,ok,-12.262495,264.0
3POZ,EH40_19,ok,-8.68743801,246.0
3RCD,EH40_19,ok,-8.72139931,254.5
3POZ,EH40_20,ok,-8.44234657,375.3
3RCD,EH40_20,ok,-7.79617786,353.3
3POZ,EH40_21,ok,-7.93028355,310.6
3RCD,EH40_21,ok,-7.51572561,276.3
3POZ,EH40_22,ok,-9.74552536,393.7
3RCD,EH40_22,ok,-9.96802044,385.0
3POZ,EH40_23,ok,-10.7675219,309.5
3RCD,EH40_23,ok,-10.982832,280.8
3POZ,EH40_24,ok,-6.88113976,194.9
3RCD,EH40_24,ok,-7.178514,188.5
3POZ,EH40_25,ok,-7.52854872,131.2
3RCD,EH40_25,ok,-7.43394566,139.0
3POZ,EH40_26,ok,-7.16047716,292.9
3RCD,EH40_26,ok,-7.52941275,340.7
3POZ,EH40_27,ok,-9.09745884,369.8
3RCD,EH40_27,ok,-10.0662794,363.5
3POZ,EH40_28,ok,-11.208847,637.7
3RCD,EH40_28,ok,-11.5806026,608.0
