pair_id,pair,target_A,target_B,family,motivation,literature_anchor,metal_enzyme_risk,ppi_risk,notes,dict_A_present,dict_B_present,auditable_now,unordered_dup
P01,EGFR/HER2,EGFR,HER2,kinase_homolog,classic dual TKI; pose-gold,TAK-285 3POZ/3RCD,False,False,,True,True,True,False
P02,PIK3CA/MTOR,PIK3CA,MTOR,pathway,largest paired ChEMBL set,PI-103 4L23/4JT6,False,False,,True,True,True,False
P03,ACHE/BCHE,ACHE,BCHE,hydrolase_homolog,cholinesterase dual,literature dual AChE/BChE,False,False,,True,True,True,False
P04,PIK3CA/PIK3CB,PIK3CA,PIK3CB,isozyme,isoform control (near),PI3Kα/β duals,False,False,too_close_for_primary,True,True,True,False
P05,MCL1/BCL2L1_BclxL,MCL1,BCL2L1_BclxL,PPI_BH3,linked pose-gold,Tanaka LC6 3WIY/3WIZ,False,True,,True,True,True,False
P06,MCL1/BCL2,MCL1,BCL2,PPI_BH3,BH3 family,Mcl-1/Bcl-2 duals,False,True,,True,True,True,False
P07,AKT1/RPS6KB1_p70S6K,AKT1,RPS6KB1_p70S6K,pathway,AKT/S6K pathway,M2698-class,False,False,,True,True,True,False
P08,BRD4/HDAC1,BRD4,HDAC1,epigenetic_hybrid,literature hotspot,JMC HDAC–BET hybrids,True,False,metal_Zn_HDAC,True,True,True,False
P09,BRD4/HDAC6,BRD4,HDAC6,epigenetic_hybrid,literature hotspot,HDAC6/BET hybrids,True,False,metal_Zn_HDAC,True,True,True,False
P10,JAK2/HDAC1,JAK2,HDAC1,epigenetic_hybrid,JAK/HDAC duals,JMC JAK/HDAC,True,False,metal_Zn_HDAC,True,True,True,False
P11,PARP1/MET,PARP1,MET,synthetic_lethalish,PARP1/c-Met duals,JMC PARP1/c-Met,False,False,,True,True,True,False
P12,CDK6/BRD4,CDK6,BRD4,kinase_epigenetic,CDK6/BRD4 duals,JMC CDK6/BRD4,False,False,,True,True,True,False
P13,EGFR/MET,EGFR,MET,kinase_combo,EGFR/MET resistance duals,literature EGFR/MET,False,False,,True,True,True,False
P14,EGFR/PIK3CA,EGFR,PIK3CA,pathway,EGFR–PI3K axis,pathway duals,False,False,,True,True,True,False
P15,EGFR/MTOR,EGFR,MTOR,pathway,EGFR–mTOR axis,pathway duals,False,False,,True,True,True,False
P16,EGFR/BRD4,EGFR,BRD4,kinase_epigenetic,EGFR/BRD hybrids,occasional hybrids,False,False,,True,True,True,False
P17,EGFR/CDK6,EGFR,CDK6,kinase_combo,cell-cycle + EGFR,CDK/EGFR literature,False,False,,True,True,True,False
P18,EGFR/PARP1,EGFR,PARP1,DDR_kinase,DDR + EGFR,occasional duals,False,False,,True,True,True,False
