name,chembl,uniprot,reason
NLRP3,,,needed_for_pair:X01
JNK1,,,needed_for_pair:X01
VEGFR2_KDR,CHEMBL279,P35968,VEGFR2/HDAC duals (JMC)
AXL,CHEMBL4895,P30530,MER/AXL duals
MERTK,CHEMBL3983,Q12866,MER/AXL duals
SYK,CHEMBL2599,P43405,SYK/HDAC duals
HSP90AA1,CHEMBL3880,P07900,Hsp90/HDAC6 duals
WEE1,CHEMBL2421,P30291,Wee1/HDAC duals
TOP1,CHEMBL1781,P11387,Top/HDAC duals
ROCK1,CHEMBL3231,Q13464,ROCK/HDAC duals
PIM1,CHEMBL2147,P11309,PIM/HDAC duals
SERT_SLC6A4,CHEMBL228,P31645,SERT/ER duals
ESR1,CHEMBL206,P03372,SERT/ER duals
FGFR1,CHEMBL3650,P11362,FGFR dual TKIs
ALK,CHEMBL4247,Q9UM73,ALK dual TKIs
BRAF,CHEMBL5145,P15056,BRAF/MEK pathway pairs
MAP2K1_MEK1,CHEMBL3587,Q02750,BRAF/MEK
BTK,CHEMBL5251,Q06187,BTK duals
FLT3,CHEMBL1974,P36888,FLT3 dual TKIs
SRC,CHEMBL267,P12931,SRC dual TKIs
ABL1,CHEMBL1862,P00519,BCR-ABL dual context
BACE1,CHEMBL4822,P56817,CNS duals / transporter pairs
