pair_id,pair,family,n_both_measured,theta_dual,theta_A_only,theta_B_only,strict_dual,strict_A_only,strict_B_only,strict_neither,gray,gray_frac,min_strict_hardneg,supports_strict_panel,supports_thin_panel,metal_enzyme_risk,ppi_risk,notes
P46,HDAC1/HDAC6,isozyme,3987,2231,223,1133,1490,93,494,190,1720,0.431,93,True,True,True,False,metal_both;isozyme
P02,PIK3CA/MTOR,pathway,2713,2002,266,236,1552,80,81,90,910,0.335,80,True,True,False,False,
P03,ACHE/BCHE,hydrolase_homolog,2537,986,483,225,687,189,78,518,1065,0.42,78,True,True,False,False,
P04,PIK3CA/PIK3CB,isozyme,1990,988,299,213,602,56,67,189,1076,0.541,56,True,True,False,False,too_close_for_primary
P27,PIK3CB/MTOR,pathway,497,188,96,73,126,42,25,72,232,0.467,25,False,True,False,False,
P49,BCL2/BCL2L1_BclxL,PPI_BH3,1077,690,230,52,522,87,15,45,408,0.379,15,False,False,False,True,
P05,MCL1/BCL2L1_BclxL,PPI_BH3,305,82,77,24,39,41,12,75,138,0.452,12,False,False,False,True,
P13,EGFR/MET,kinase_combo,201,92,38,35,40,17,10,17,117,0.582,10,False,False,False,False,
P26,PIK3CA/AKT1,pathway,190,81,60,22,41,22,8,8,111,0.584,8,False,False,False,False,
P01,EGFR/HER2,kinase_homolog,1751,1182,207,46,951,39,7,207,547,0.312,7,False,False,False,False,
P15,EGFR/MTOR,pathway,192,33,29,36,7,7,8,57,113,0.589,7,False,False,False,False,
P32,JAK2/BRD4,kinase_epigenetic,190,107,49,11,53,17,5,14,101,0.532,5,False,False,False,False,
P14,EGFR/PIK3CA,pathway,199,50,18,49,15,4,10,41,129,0.648,4,False,False,False,False,
P47,HDAC1/PIK3CA,epigenetic_pathway,106,90,3,13,77,3,7,0,19,0.179,3,False,False,True,False,metal_Zn_HDAC
P40,BRD4/PIK3CA,epigenetic_pathway,26,12,5,8,4,3,4,0,15,0.577,3,False,False,False,False,
P06,MCL1/BCL2,PPI_BH3,371,160,87,34,65,24,2,41,239,0.644,2,False,False,False,True,
P20,EGFR/JAK2,kinase_combo,115,69,17,14,33,5,2,2,73,0.635,2,False,False,False,False,
P07,AKT1/RPS6KB1_p70S6K,pathway,601,453,11,100,373,1,35,11,181,0.301,1,False,False,False,False,
P29,MTOR/AKT1,pathway,130,65,13,11,44,1,2,29,54,0.415,1,False,False,False,False,
P10,JAK2/HDAC1,epigenetic_hybrid,76,52,23,1,42,7,1,0,26,0.342,1,False,False,True,False,metal_Zn_HDAC
P19,EGFR/HDAC1,kinase_epigenetic,43,35,4,3,32,2,1,1,7,0.163,1,False,False,True,False,metal_Zn_HDAC
P17,EGFR/CDK6,kinase_combo,18,8,5,2,3,1,1,0,13,0.722,1,False,False,False,False,
P22,HER2/MTOR,pathway,17,1,4,4,0,2,1,6,8,0.471,1,False,False,False,False,
P24,HER2/HDAC6,kinase_epigenetic,17,13,2,1,10,1,1,1,4,0.235,1,False,False,True,False,metal_Zn_HDAC
P33,JAK2/CDK6,kinase_combo,13,5,5,2,3,1,2,0,7,0.538,1,False,False,False,False,
P30,MTOR/RPS6KB1_p70S6K,pathway,4,0,1,2,0,1,1,1,1,0.25,1,False,False,False,False,
P08,BRD4/HDAC1,epigenetic_hybrid,82,66,0,10,51,0,3,1,27,0.329,0,False,False,True,False,metal_Zn_HDAC
P28,PIK3CB/AKT1,pathway,56,48,6,1,40,5,0,1,10,0.179,0,False,False,False,False,
P48,HDAC6/PIK3CA,epigenetic_pathway,54,45,1,7,38,1,0,0,15,0.278,0,False,False,True,False,metal_Zn_HDAC
P45,MET/AKT1,kinase_pathway,41,8,10,4,3,5,0,7,26,0.634,0,False,False,False,False,
P09,BRD4/HDAC6,epigenetic_hybrid,39,27,3,9,22,0,2,0,15,0.385,0,False,False,True,False,metal_Zn_HDAC
P39,BRD4/HDAC2,epigenetic_hybrid,24,15,0,9,9,0,1,0,14,0.583,0,False,False,True,False,metal_Zn_HDAC
P38,BRD4/PARP1,epigenetic_DDR,21,20,1,0,11,0,0,0,10,0.476,0,False,False,False,False,
P35,CDK6/PARP1,DDR_cellcycle,18,16,0,0,7,0,0,1,10,0.556,0,False,False,False,False,
P34,JAK2/PIK3CA,kinase_pathway,17,9,6,1,4,1,0,0,12,0.706,0,False,False,False,False,
P11,PARP1/MET,synthetic_lethalish,13,10,1,0,10,0,0,1,2,0.154,0,False,False,False,False,
P41,PARP1/HDAC1,DDR_epigenetic,12,10,1,0,4,0,0,1,7,0.583,0,False,False,True,False,metal_Zn_HDAC
P44,MET/PIK3CA,kinase_pathway,11,5,1,1,2,0,0,2,7,0.636,0,False,False,False,False,
P16,EGFR/BRD4,kinase_epigenetic,10,7,3,0,3,1,0,0,6,0.6,0,False,False,False,False,
P37,CDK6/PIK3CA,kinase_pathway,7,5,0,1,1,0,0,1,5,0.714,0,False,False,False,False,
P12,CDK6/BRD4,kinase_epigenetic,6,5,1,0,2,1,0,0,3,0.5,0,False,False,False,False,
P18,EGFR/PARP1,DDR_kinase,5,2,1,0,2,1,0,1,1,0.2,0,False,False,False,False,
P21,HER2/PIK3CA,pathway,4,2,1,1,0,1,0,0,3,0.75,0,False,False,False,False,
P23,HER2/CDK6,kinase_combo,4,3,0,1,2,0,1,0,1,0.25,0,False,False,False,False,
P36,CDK6/HDAC1,kinase_epigenetic,3,0,1,1,0,0,1,1,1,0.333,0,False,False,True,False,metal_Zn_HDAC
P51,ACHE/HDAC1,hydrolase_epigenetic,2,2,0,0,0,0,0,0,2,1.0,0,False,False,True,False,metal_Zn_HDAC;weak_lit
P25,HER2/PARP1,DDR_kinase,1,1,0,0,0,0,0,0,1,1.0,0,False,False,False,False,
P52,BCHE/EGFR,cross_fold,1,0,0,1,0,0,0,0,1,1.0,0,False,False,False,False,weak_lit
P50,MCL1/AKT1,PPI_pathway,0,0,0,0,0,0,0,0,0,,0,False,False,False,True,
