pair,metric,n_seeds,primary_seed_value,median,min,max,iqr,range
AChE/BChE,auroc_dual_vs_A_only,5,0.6504,0.5988,0.5527,0.6504,0.0372,0.0977
AChE/BChE,auroc_dual_vs_B_only,5,0.6058,0.6104,0.6058,0.6396,0.0015,0.0338
AChE/BChE,summary_min,5,0.6058,0.5988,0.5527,0.6058,0.0372,0.0531
AChE/BChE,auroc_dual_vs_neither_mean,5,0.6494,0.6494,0.6373,0.659,0.012,0.0217
AChE/BChE,formulation_gap_neither_minus_summary_min,5,0.0436,0.0602,0.0369,0.0979,0.0292,0.061
EGFR/HER2,auroc_dual_vs_A_only,5,0.6664,0.6598,0.6391,0.6692,0.0132,0.0301
EGFR/HER2,auroc_dual_vs_B_only,5,0.4297,0.3728,0.3214,0.4297,0.0284,0.1083
EGFR/HER2,summary_min,5,0.4297,0.3728,0.3214,0.4297,0.0284,0.1083
EGFR/HER2,auroc_dual_vs_neither_mean,5,0.7641,0.7693,0.7634,0.7798,0.0127,0.0164
EGFR/HER2,formulation_gap_neither_minus_summary_min,5,0.3344,0.4022,0.3344,0.442,0.0259,0.1076
PIK3CA/PIK3CB,auroc_dual_vs_A_only,5,0.6905,0.6634,0.6541,0.6905,0.0185,0.0364
PIK3CA/PIK3CB,auroc_dual_vs_B_only,5,0.5,0.4783,0.4681,0.5019,0.0293,0.0338
PIK3CA/PIK3CB,summary_min,5,0.5,0.4783,0.4681,0.5019,0.0293,0.0338
PIK3CA/PIK3CB,auroc_dual_vs_neither_mean,5,0.5798,0.5926,0.5798,0.5993,0.0062,0.0195
PIK3CA/PIK3CB,formulation_gap_neither_minus_summary_min,5,0.0798,0.1193,0.0798,0.1287,0.0327,0.0489
PIK3CA/mTOR,auroc_dual_vs_A_only,5,0.7143,0.7381,0.7143,0.746,0.0178,0.0317
PIK3CA/mTOR,auroc_dual_vs_B_only,5,0.6921,0.7037,0.6759,0.7778,0.0209,0.1019
PIK3CA/mTOR,summary_min,5,0.6921,0.7037,0.6759,0.7262,0.0209,0.0503
PIK3CA/mTOR,auroc_dual_vs_neither_mean,5,0.5278,0.5347,0.5278,0.5486,0.0139,0.0208
PIK3CA/mTOR,formulation_gap_neither_minus_summary_min,5,-0.1644,-0.1644,-0.1776,-0.1412,0.0046,0.0364
