pair,seed,ligand,class,pocket,pdb,status,vina_mode1,reason
EGFR/HER2,20260727,EH40_01,dual,A,3POZ,primary_reused,-10.605,from_production_tables
EGFR/HER2,20260727,EH40_01,dual,B,3RCD,primary_reused,-9.745,from_production_tables
EGFR/HER2,20260727,EH40_02,dual,A,3POZ,primary_reused,-10.799,from_production_tables
EGFR/HER2,20260727,EH40_02,dual,B,3RCD,primary_reused,-10.571,from_production_tables
EGFR/HER2,20260727,EH40_03,dual,A,3POZ,primary_reused,-10.133,from_production_tables
EGFR/HER2,20260727,EH40_03,dual,B,3RCD,primary_reused,-10.215,from_production_tables
EGFR/HER2,20260727,EH40_04,dual,A,3POZ,primary_reused,-11.968,from_production_tables
EGFR/HER2,20260727,EH40_04,dual,B,3RCD,primary_reused,-11.632,from_production_tables
EGFR/HER2,20260727,EH40_05,dual,A,3POZ,primary_reused,-10.098,from_production_tables
EGFR/HER2,20260727,EH40_05,dual,B,3RCD,primary_reused,-9.98,from_production_tables
EGFR/HER2,20260727,EH40_06,dual,A,3POZ,primary_reused,-9.773,from_production_tables
EGFR/HER2,20260727,EH40_06,dual,B,3RCD,primary_reused,-10.024,from_production_tables
EGFR/HER2,20260727,EH40_07,dual,A,3POZ,primary_reused,-9.372,from_production_tables
EGFR/HER2,20260727,EH40_07,dual,B,3RCD,primary_reused,-9.65,from_production_tables
EGFR/HER2,20260727,EH40_08,dual,A,3POZ,primary_reused,-9.882,from_production_tables
EGFR/HER2,20260727,EH40_08,dual,B,3RCD,primary_reused,-9.707,from_production_tables
EGFR/HER2,20260727,EH40_09,dual,A,3POZ,primary_reused,-11.011,from_production_tables
EGFR/HER2,20260727,EH40_09,dual,B,3RCD,primary_reused,-9.963,from_production_tables
EGFR/HER2,20260727,EH40_10,dual,A,3POZ,primary_reused,-8.753,from_production_tables
EGFR/HER2,20260727,EH40_10,dual,B,3RCD,primary_reused,-8.321,from_production_tables
EGFR/HER2,20260727,EH40_11,dual,A,3POZ,primary_reused,-10.434,from_production_tables
EGFR/HER2,20260727,EH40_11,dual,B,3RCD,primary_reused,-10.275,from_production_tables
EGFR/HER2,20260727,EH40_12,dual,A,3POZ,primary_reused,-9.692,from_production_tables
EGFR/HER2,20260727,EH40_12,dual,B,3RCD,primary_reused,-10.467,from_production_tables
EGFR/HER2,20260727,EH40_13,dual,A,3POZ,primary_reused,-10.219,from_production_tables
EGFR/HER2,20260727,EH40_13,dual,B,3RCD,primary_reused,-9.203,from_production_tables
EGFR/HER2,20260727,EH40_14,dual,A,3POZ,primary_reused,-7.128,from_production_tables
EGFR/HER2,20260727,EH40_14,dual,B,3RCD,primary_reused,-7.55,from_production_tables
EGFR/HER2,20260727,EH40_15,dual,A,3POZ,primary_reused,-8.26,from_production_tables
EGFR/HER2,20260727,EH40_15,dual,B,3RCD,primary_reused,-8.259,from_production_tables
EGFR/HER2,20260727,EH40_16,A_only,A,3POZ,primary_reused,-10.466,from_production_tables
EGFR/HER2,20260727,EH40_16,A_only,B,3RCD,primary_reused,-10.072,from_production_tables
EGFR/HER2,20260727,EH40_17,A_only,A,3POZ,primary_reused,-9.126,from_production_tables
EGFR/HER2,20260727,EH40_17,A_only,B,3RCD,primary_reused,-8.576,from_production_tables
EGFR/HER2,20260727,EH40_18,A_only,A,3POZ,primary_reused,-11.17,from_production_tables
EGFR/HER2,20260727,EH40_18,A_only,B,3RCD,primary_reused,-12.292,from_production_tables
EGFR/HER2,20260727,EH40_19,A_only,A,3POZ,primary_reused,-8.396,from_production_tables
EGFR/HER2,20260727,EH40_19,A_only,B,3RCD,primary_reused,-8.225,from_production_tables
EGFR/HER2,20260727,EH40_20,A_only,A,3POZ,primary_reused,-10.245,from_production_tables
EGFR/HER2,20260727,EH40_20,A_only,B,3RCD,primary_reused,-9.624,from_production_tables
EGFR/HER2,20260727,EH40_21,A_only,A,3POZ,primary_reused,-9.684,from_production_tables
EGFR/HER2,20260727,EH40_21,A_only,B,3RCD,primary_reused,-9.132,from_production_tables
EGFR/HER2,20260727,EH40_22,A_only,A,3POZ,primary_reused,-10.012,from_production_tables
EGFR/HER2,20260727,EH40_22,A_only,B,3RCD,primary_reused,-10.127,from_production_tables
EGFR/HER2,20260727,EH40_23,A_only,A,3POZ,primary_reused,-11.292,from_production_tables
