pair,seed,ligand,class,pdb,status,vina_mode1
EGFR/HER2,20260727,EH120_041,dual,3POZ,production_corrected_box,-10.351
EGFR/HER2,20260727,EH120_041,dual,3RCD,production_corrected_box,-10.933
EGFR/HER2,20260727,EH120_042,dual,3POZ,production_corrected_box,-9.332
EGFR/HER2,20260727,EH120_042,dual,3RCD,production_corrected_box,-9.488
EGFR/HER2,20260727,EH120_043,dual,3POZ,production_corrected_box,-8.557
EGFR/HER2,20260727,EH120_043,dual,3RCD,production_corrected_box,-9.049
EGFR/HER2,20260727,EH120_044,dual,3POZ,production_corrected_box,-10.764
EGFR/HER2,20260727,EH120_044,dual,3RCD,production_corrected_box,-9.63
EGFR/HER2,20260727,EH120_045,dual,3POZ,production_corrected_box,-9.647
EGFR/HER2,20260727,EH120_045,dual,3RCD,production_corrected_box,-9.787
EGFR/HER2,20260727,EH120_046,dual,3POZ,production_corrected_box,-9.88
EGFR/HER2,20260727,EH120_046,dual,3RCD,production_corrected_box,-9.834
EGFR/HER2,20260727,EH120_047,dual,3POZ,production_corrected_box,-10.125
EGFR/HER2,20260727,EH120_047,dual,3RCD,production_corrected_box,-9.03
EGFR/HER2,20260727,EH120_048,dual,3POZ,production_corrected_box,-9.27
EGFR/HER2,20260727,EH120_048,dual,3RCD,production_corrected_box,-8.325
EGFR/HER2,20260727,EH120_049,dual,3POZ,production_corrected_box,-9.952
EGFR/HER2,20260727,EH120_049,dual,3RCD,production_corrected_box,-9.767
EGFR/HER2,20260727,EH120_050,dual,3POZ,production_corrected_box,-10.175
EGFR/HER2,20260727,EH120_050,dual,3RCD,production_corrected_box,-9.841
EGFR/HER2,20260727,EH120_051,dual,3POZ,production_corrected_box,-8.907
EGFR/HER2,20260727,EH120_051,dual,3RCD,production_corrected_box,-8.283
EGFR/HER2,20260727,EH120_052,dual,3POZ,production_corrected_box,-10.071
EGFR/HER2,20260727,EH120_052,dual,3RCD,production_corrected_box,-9.899
EGFR/HER2,20260727,EH120_053,dual,3POZ,production_corrected_box,-10.081
EGFR/HER2,20260727,EH120_053,dual,3RCD,production_corrected_box,-10.662
EGFR/HER2,20260727,EH120_054,A_only,3POZ,production_corrected_box,-7.386
EGFR/HER2,20260727,EH120_054,A_only,3RCD,production_corrected_box,-7.677
EGFR/HER2,20260727,EH120_055,A_only,3POZ,production_corrected_box,-9.061
EGFR/HER2,20260727,EH120_055,A_only,3RCD,production_corrected_box,-8.322
EGFR/HER2,20260727,EH120_056,A_only,3POZ,production_corrected_box,-8.027
EGFR/HER2,20260727,EH120_056,A_only,3RCD,production_corrected_box,-8.027
EGFR/HER2,20260727,EH120_057,A_only,3POZ,production_corrected_box,-7.531
EGFR/HER2,20260727,EH120_057,A_only,3RCD,production_corrected_box,-7.703
EGFR/HER2,20260727,EH120_058,A_only,3POZ,production_corrected_box,-9.741
EGFR/HER2,20260727,EH120_058,A_only,3RCD,production_corrected_box,-9.247
EGFR/HER2,20260727,EH120_059,A_only,3POZ,production_corrected_box,-9.241
EGFR/HER2,20260727,EH120_059,A_only,3RCD,production_corrected_box,-8.698
EGFR/HER2,20260727,EH120_060,A_only,3POZ,production_corrected_box,-8.586
EGFR/HER2,20260727,EH120_060,A_only,3RCD,production_corrected_box,-9.157
EGFR/HER2,20260727,EH120_061,A_only,3POZ,production_corrected_box,-10.818
EGFR/HER2,20260727,EH120_061,A_only,3RCD,production_corrected_box,-10.831
EGFR/HER2,20260727,EH120_062,A_only,3POZ,production_corrected_box,-11.255
EGFR/HER2,20260727,EH120_062,A_only,3RCD,production_corrected_box,-10.973
