pair,score,dual_percentile,threshold,n_library,n_dual_library,n_pass,n_dual_pass,n_A_only_pass,n_B_only_pass,precision_dual,recall_dual,hardneg_fraction_pass,note
EGFR/HER2,vina_worst,10,8.3105,98,28,84,25,27,32,0.2976,0.8929,0.7024,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_worst,25,9.1787,98,28,63,21,13,29,0.3333,0.75,0.6667,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_worst,50,9.6995,98,28,47,14,9,24,0.2979,0.5,0.7021,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_worst,75,9.9672,98,28,35,7,7,21,0.2,0.25,0.8,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_worst,90,10.3371,98,28,23,3,5,15,0.1304,0.1071,0.8696,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_mean,10,8.5993,98,28,83,25,26,32,0.3012,0.8929,0.6988,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_mean,25,9.464,98,28,61,21,13,27,0.3443,0.75,0.6557,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_mean,50,9.974,98,28,44,14,7,23,0.3182,0.5,0.6818,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_mean,75,10.2157,98,28,33,7,6,20,0.2121,0.25,0.7879,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
EGFR/HER2,vina_mean,90,10.5464,98,28,20,3,5,12,0.15,0.1071,0.85,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
AChE/BChE,vina_worst,10,7.89,80,27,69,24,23,22,0.3478,0.8889,0.6522,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
AChE/BChE,vina_worst,25,8.8855,80,27,55,20,17,18,0.3636,0.7407,0.6364,AND-like dual filter on Dual+A-only+B-only; neither excluded. Not a docking scale-up.
