pair,ligand,molecule_chembl_id,frozen_class,target_name,target_chembl_id,assay_chembl_id,document_chembl_id,assay_type,standard_type,standard_relation,pchembl_value,assay_organism,confidence_score,protein_construct,wildtype_or_mutant,priority_flags,original_label,human_include_exclude,human_reviewed_label,human_rationale,incomparable_record,note
EGFR/HER2,EH40_01,CHEMBL1614725,dual,EGFR,CHEMBL203,CHEMBL2328801,CHEMBL2321748,B,IC50,=,8.4,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_01,CHEMBL1614725,dual,EGFR,CHEMBL203,CHEMBL2328802,CHEMBL2321748,B,IC50,=,5.08,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_01,CHEMBL1614725,dual,EGFR,CHEMBL203,CHEMBL2351562,CHEMBL2346616,B,IC50,=,7.64,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_01,CHEMBL1614725,dual,EGFR,CHEMBL203,CHEMBL3636784,CHEMBL3632549,B,IC50,=,9.0,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_01,CHEMBL1614725,dual,EGFR,CHEMBL203,CHEMBL3991696,CHEMBL3991601,B,Kd,=,6.17,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_01,CHEMBL1614725,dual,HER2,CHEMBL1824,CHEMBL1924800,CHEMBL1921673,B,IC50,=,7.77,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_01,CHEMBL1614725,dual,HER2,CHEMBL1824,CHEMBL3636785,CHEMBL3632549,B,IC50,=,8.52,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_01,CHEMBL1614725,dual,HER2,CHEMBL1824,CHEMBL4670947,CHEMBL4665812,B,IC50,=,8.04,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL674106,CHEMBL1146682,B,IC50,=,8.0,,8,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL859867,CHEMBL1144455,B,Kd,=,8.26,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL910357,CHEMBL1149340,B,IC50,=,7.92,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL944276,CHEMBL1140899,B,IC50,=,7.77,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1060182,CHEMBL1150977,B,Kd,=,8.62,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1061143,CHEMBL1150977,B,Kd,=,8.07,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1061068,CHEMBL1150977,B,Kd,=,9.04,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1060190,CHEMBL1150977,B,Kd,=,8.68,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1063796,CHEMBL1150977,B,Kd,=,8.66,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1063797,CHEMBL1150977,B,Kd,=,8.41,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1051285,CHEMBL1150977,B,Kd,=,8.46,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1062839,CHEMBL1150977,B,Kd,=,8.55,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1051286,CHEMBL1150977,B,Kd,=,8.92,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1050839,CHEMBL1150977,B,Kd,=,8.38,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1044055,CHEMBL1154692,B,IC50,=,7.28,,8,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1064921,CHEMBL1157563,B,IC50,=,7.95,,8,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1260610,CHEMBL1255185,B,IC50,=,6.36,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1908704,CHEMBL1908390,B,Kd,=,6.07,,8,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL1930721,CHEMBL1926681,B,IC50,=,8.05,,8,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL3418211,CHEMBL3414443,B,IC50,=,8.26,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL3750872,CHEMBL3745647,B,IC50,=,6.55,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL3854309,CHEMBL3853296,B,IC50,=,7.58,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
EGFR/HER2,EH40_02,CHEMBL554,dual,EGFR,CHEMBL203,CHEMBL3882125,CHEMBL3881529,B,IC50,=,7.68,Homo sapiens,9,unknown,unknown,egfr_directional_priority;mixed_endpoint;biochem_and_functional;top_document_series,dual,include,dual,Homo sapiens high-confidence activity retained; construct/mutation unknown without assay free text.,0,construct/mutation require source-document reading; API fields deposited here; reviewed_by=local_agent_metadata_pass; review_date=2026-08-26; chembl_api_down
