document_chembl_id,source_type,title,journal,year,pubmed_id,doi,patent_id,publication_types,direct_url,chembl_url,pairs,ligands,targets,assay_chembl_ids,n_decisive_rows,required_action
CHEMBL1125266,article_unclassified,Tyrphostins. 2. Heterocyclic and alpha-substituted benzylidenemalononitrile tyrphostins as potent inhibitors of EGF receptor and ErbB2/neu tyrosine kinases.,Journal of medicinal chemistry,1991,1676428,10.1021/jm00110a022,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm00110a022,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1125266,EGFR/HER2,EH120_067;EH120_070;EH120_076,EGFR;HER2,CHEMBL673948;CHEMBL676152;CHEMBL763200,6,classify_then_read_full_text_and_supporting_information
CHEMBL1126897,article_unclassified,Tyrphostins. 3. Structure-activity relationship studies of alpha-substituted benzylidenemalononitrile 5-S-aryltyrphostins.,Journal of medicinal chemistry,1993,7902440,10.1021/jm00075a010,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm00075a010,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1126897,EGFR/HER2,EH120_094,EGFR,CHEMBL677392,1,classify_then_read_full_text_and_supporting_information
CHEMBL1129291,article_unclassified,"Tyrosine kinase inhibitors. 8. An unusually steep structure-activity relationship for analogues of 4-(3-bromoanilino)-6,7-dimethoxyquinazoline (PD 153035), a potent inhibitor of the epidermal growth factor receptor.",Journal of medicinal chemistry,1996,8568816,10.1021/jm9503613,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm9503613,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1129291,EGFR/HER2,EH120_054,EGFR,CHEMBL680017,1,classify_then_read_full_text_and_supporting_information
CHEMBL1131301,article_unclassified,"Tyrosine kinase inhibitors. 14. Structure-activity relationships for methylamino-substituted derivatives of 4-[(3-bromophenyl)amino]-6-(methylamino)-pyrido[3,4-d]pyrimidine (PD 158780), a potent and specific inhibitor of the tyrosine kinase activity of receptors for the EGF family of growth factors.",Journal of medicinal chemistry,1998,9513602,10.1021/jm970641d,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm970641d,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1131301,EGFR/HER2,EH120_057,EGFR;HER2,CHEMBL621853;CHEMBL713290,2,classify_then_read_full_text_and_supporting_information
CHEMBL1132213,article_unclassified,Tyrosine kinase inhibitors. 15. 4-(Phenylamino)quinazoline and 4-(phenylamino)pyrido[d]pyrimidine acrylamides as irreversible inhibitors of the ATP binding site of the epidermal growth factor receptor.,Journal of medicinal chemistry,1999,10346932,10.1021/jm9806603,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm9806603,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1132213,EGFR/HER2,EH120_051,EGFR;HER2,CHEMBL673949;CHEMBL674018,2,classify_then_read_full_text_and_supporting_information
CHEMBL1134561,article_unclassified,6-Substituted-4-(3-bromophenylamino)quinazolines as putative irreversible inhibitors of the epidermal growth factor receptor (EGFR) and human epidermal growth factor receptor (HER-2) tyrosine kinases with enhanced antitumor activity.,Journal of medicinal chemistry,2001,11495584,10.1021/jm0005555,,Journal Article,https://doi.org/10.1021/jm0005555,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1134561,EGFR/HER2,EH120_055;EH40_17;EH40_21,EGFR;HER2,CHEMBL676070;CHEMBL680018,5,classify_then_read_full_text_and_supporting_information
CHEMBL1134843,article_unclassified,"Tyrosine kinase inhibitors. 18. 6-Substituted 4-anilinoquinazolines and 4-anilinopyrido[3,4-d]pyrimidines as soluble, irreversible inhibitors of the epidermal growth factor receptor.",Journal of medicinal chemistry,2001,11462982,10.1021/jm000372i,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm000372i,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1134843,EGFR/HER2,EH120_055,EGFR,CHEMBL673925,1,classify_then_read_full_text_and_supporting_information
CHEMBL1134862,article_unclassified,"Rational design of 4,5-disubstituted-5,7-dihydro-pyrrolo[2,3-d]pyrimidin-6-ones as a novel class of inhibitors of epidermal growth factor receptor (EGF-R) and Her2(p185(erbB)) tyrosine kinases.",Bioorganic & medicinal chemistry letters,2002,12127526,10.1016/s0960-894x(02)00364-5,,Journal Article,https://doi.org/10.1016/s0960-894x(02)00364-5,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1134862,EGFR/HER2,EH120_059,EGFR;HER2,CHEMBL615491;CHEMBL674637,2,classify_then_read_full_text_and_supporting_information
CHEMBL1135763,article_unclassified,"Discovery of aminothiazole inhibitors of cyclin-dependent kinase 2: synthesis, X-ray crystallographic analysis, and biological activities.",Journal of medicinal chemistry,2002,12190313,10.1021/jm0201520,,Journal Article,https://doi.org/10.1021/jm0201520,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1135763,EGFR/HER2,EH40_27,HER2,CHEMBL683805,1,classify_then_read_full_text_and_supporting_information
CHEMBL1136484,article_unclassified,3D-QSAR studies on natural acetylcholinesterase inhibitors of Sarcococca saligna by comparative molecular field analysis (CoMFA).,Bioorganic & medicinal chemistry letters,2003,14643329,10.1016/j.bmcl.2003.09.034,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1016/j.bmcl.2003.09.034,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1136484,AChE/BChE,AB_087,AChE,CHEMBL641237,1,classify_then_read_full_text_and_supporting_information
CHEMBL1136802,article_unclassified,Receptor-guided alignment-based comparative 3D-QSAR studies of benzylidene malonitrile tyrphostins as EGFR and HER-2 kinase inhibitors.,Journal of medicinal chemistry,2003,14561085,10.1021/jm030065n,,Comparative Study;Journal Article,https://doi.org/10.1021/jm030065n,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1136802,EGFR/HER2,EH120_094;EH40_40,EGFR;HER2,CHEMBL676067;CHEMBL769140,3,classify_then_read_full_text_and_supporting_information
CHEMBL1138126,article_unclassified,"Tyrosine kinase inhibitors. 19. 6-Alkynamides of 4-anilinoquinazolines and 4-anilinopyrido[3,4-d]pyrimidines as irreversible inhibitors of the erbB family of tyrosine kinase receptors.",Journal of medicinal chemistry,2006,16480284,10.1021/jm050936o,,"Journal Article;Research Support, Non-U.S. Gov't",https://doi.org/10.1021/jm050936o,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1138126,EGFR/HER2,EH120_044;EH120_048;EH120_049;EH120_052,EGFR;HER2,CHEMBL862512;CHEMBL862513,8,classify_then_read_full_text_and_supporting_information
CHEMBL1139130,article_unclassified,New C-5 substituted pyrrolotriazine dual inhibitors of EGFR and HER2 protein tyrosine kinases.,Bioorganic & medicinal chemistry letters,2007,17270437,10.1016/j.bmcl.2007.01.002,,Journal Article,https://doi.org/10.1016/j.bmcl.2007.01.002,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1139130,EGFR/HER2,EH40_32,EGFR;HER2,CHEMBL903493;CHEMBL903494,2,classify_then_read_full_text_and_supporting_information
CHEMBL1139297,article_unclassified,"Synthesis and stereochemical effects of pyrrolidinyl-acetylenic thieno[3,2-d]pyrimidines as EGFR and ErbB-2 inhibitors.",Bioorganic & medicinal chemistry letters,2009,19028424,10.1016/j.bmcl.2008.11.023,,Journal Article,https://doi.org/10.1016/j.bmcl.2008.11.023,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1139297,EGFR/HER2,EH120_047,HER2,CHEMBL1009319,1,classify_then_read_full_text_and_supporting_information
CHEMBL1140398,article_unclassified,New dual inhibitors of EGFR and HER2 protein tyrosine kinases.,Bioorganic & medicinal chemistry letters,2005,16111887,10.1016/j.bmcl.2005.07.027,,Journal Article,https://doi.org/10.1016/j.bmcl.2005.07.027,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1140398,EGFR/HER2,EH120_075;EH120_079;EH40_08;EH40_26,EGFR;HER2,CHEMBL880259;CHEMBL881943,8,classify_then_read_full_text_and_supporting_information
CHEMBL1140495,article_unclassified,"Neutral 5-substituted 4-anilinoquinazolines as potent, orally active inhibitors of erbB2 receptor tyrosine kinase.",Bioorganic & medicinal chemistry letters,2007,17869514,10.1016/j.bmcl.2007.08.073,,Journal Article,https://doi.org/10.1016/j.bmcl.2007.08.073,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1140495,EGFR/HER2,EH120_090,EGFR;HER2,CHEMBL924155;CHEMBL924156,2,classify_then_read_full_text_and_supporting_information
CHEMBL1141048,article_unclassified,"5-Substituted 4-anilinoquinazolines as potent, selective and orally active inhibitors of erbB2 receptor tyrosine kinase.",Bioorganic & medicinal chemistry letters,2005,16055332,10.1016/j.bmcl.2005.06.068,,Journal Article,https://doi.org/10.1016/j.bmcl.2005.06.068,https://www.ebi.ac.uk/chembl/explore/document/CHEMBL1141048,EGFR/HER2,EH120_091;EH120_097,EGFR;HER2,CHEMBL881949;CHEMBL881955,4,classify_then_read_full_text_and_supporting_information
