pair,bindingdb_monomerid,inchikey,frozen_class_theta6_mixed,pA_mixed,pB_mixed,in_scored_panel_structure,in_chembl_map_structure,panel_pmid_overlap,unichem_status,n_pmids,independent_structure_and_literature,affinity_types
EGFR/HER2,107057,AFTBNZZMNUUEFO-UHFFFAOYSA-N,A_only,6.0177,5.1079,0,0,0,unichem_skipped_bulk,1,0,IC50
EGFR/HER2,112499,LVXJQMNHJWSHET-AATRIKPKSA-N,dual,11.0,9.2007,0,0,0,unichem_skipped_bulk,16,0,EC50;IC50
EGFR/HER2,112500,ICDUDMAKDBBZOT-SNAWJCMRSA-N,dual,8.0057,6.6126,1,0,0,unichem_skipped_bulk,0,0,IC50
EGFR/HER2,112501,CJIJVEOGUOJOMJ-GQCTYLIASA-N,dual,7.9586,7.0757,0,0,0,unichem_skipped_bulk,0,0,IC50
EGFR/HER2,112502,XFXOYVZSTQCSQN-HWKANZROSA-N,dual,7.3468,6.6737,0,0,0,unichem_skipped_bulk,0,0,IC50
EGFR/HER2,112503,YMQSEEOAYCTNQU-NSCUHMNNSA-N,dual,7.7447,6.6073,0,0,0,unichem_skipped_bulk,0,0,IC50
EGFR/HER2,112504,HNVQCOJZTIBBPB-VOTSOKGWSA-N,dual,7.9208,7.0655,0,0,0,unichem_skipped_bulk,0,0,IC50
EGFR/HER2,130909,HKSZLNNOFSGOKW-FYTWVXJKSA-N,dual,8.0969,8.2218,0,0,0,unichem_skipped_bulk,2,0,IC50
EGFR/HER2,13216,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,dual,7.1024,6.1487,0,0,0,unichem_skipped_bulk,5,0,IC50;KD
EGFR/HER2,13530,KTUFNOKKBVMGRW-UHFFFAOYSA-N,dual,9.9586,10.2218,1,0,0,unichem_skipped_bulk,3,0,IC50;KD
EGFR/HER2,13900,DCVODVBLQRXBMG-UHFFFAOYSA-N,A_only,7.0458,5.5528,0,0,1,unichem_skipped_bulk,1,0,IC50
EGFR/HER2,13901,ZCKGARDCKJFLRH-UHFFFAOYSA-N,A_only,7.2218,5.5229,1,0,1,unichem_skipped_bulk,1,0,IC50
EGFR/HER2,13902,XSFGXVBMHUSTNL-UHFFFAOYSA-N,A_only,7.301,5.4815,1,0,1,unichem_skipped_bulk,1,0,IC50
