chembl_id,smiles
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
CHEMBL100366,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C=O)C12
CHEMBL104681,CN(C)Cc1ccc(CSCCNc2cc(F)c([N+](=O)[O-])cc2[N+](=O)[O-])o1
CHEMBL105017,[Br-].[Br-].c1ccc2c(c1)ccc[n+]2CCCCCCCCC[n+]1cccc2ccccc21
CHEMBL106082,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccccc3C#N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1
CHEMBL106344,CN(C)Cc1ccc(CSCCNc2cc(NCc3ccccn3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1
CHEMBL106348,CN(C)CCNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-]
CHEMBL106932,CC(C)=NNc1cc(NCCSCc2ccc(CN(C)C)o2)c([N+](=O)[O-])cc1[N+](=O)[O-]
CHEMBL1076260,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2cccnc2s1
CHEMBL1079742,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl
CHEMBL1080271,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1
CHEMBL1080272,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1
CHEMBL1080274,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc2ccsc2s1
CHEMBL1080506,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12
CHEMBL1080990,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12
CHEMBL1081849,Cc1c(C(=O)NCCCN2CCN(C)CC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12
CHEMBL1087368,CCN(CC)CCNC(=O)c1[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1C
CHEMBL1088832,Oc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(C4CCN(Cc5ccc(F)cc5)CC4)c3n2)c1
CHEMBL1089423,O=C1/C(=C/c2c(-c3ccccn3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21
CHEMBL1090130,Cn1c(-c2ccccc2)c(/C=C2\Oc3cc(O)cc(O)c3C2=O)c2ccccc21
CHEMBL1090381,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3CC4CCC(C3)O4)ccnc21
CHEMBL1090505,COc1ccc2c(c1)c(/C=C1\Oc3cc(O)cc(O)c3C1=O)c(C)n2CCN1CCN(CCCO)CC1
CHEMBL1091071,Cn1cc(/C=C2\Oc3cc(O)cc(O)c3C2=O)c2c(-c3ccccc3)cccc21
CHEMBL1091316,Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4ccc(N5CCOCC5)nc4)cc3C2=O)c2c(N3CC4CCC(C3)O4)ccnc21
CHEMBL1091345,CC(C)Nc1nc(-c2ccc(NC(=O)Nc3ccc(N4CCN(C)CC4)cc3)cc2)nc(N2C3CCC2COC3)n1
CHEMBL1091354,CN(C)C1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1
CHEMBL1091358,CN(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(C4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1
CHEMBL1091613,O=C(Nc1cccc(-c2nc3sccn3c2-c2ccncc2)c1)c1ccccc1Cl
CHEMBL1091696,Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)N4CC5CCC(C4)O5)CC3)ccnc21
CHEMBL1091698,CN1CCN(C(=O)C2CCN(c3ccnc4c3c(/C=C3\Oc5ccc(NC(=O)Nc6cccnc6)cc5C3=O)cn4C)CC2)CC1
CHEMBL1091700,Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CCC(C(=O)N4CCCCC4)CC3)ccnc21
CHEMBL1091706,CN(Cc1ccccn1)C(=O)C1CCN(c2ccnc3c2c(/C=C2\Oc4ccc(NC(=O)Nc5cccnc5)cc4C2=O)cn3C)CC1
CHEMBL1091864,O=C1/C(=C/c2c(-c3ccc(Cl)cc3)[nH]c3ccccc23)Oc2cc(O)cc(O)c21
CHEMBL1091883,O=C1/C(=C/c2c[nH]c3ccc(Oc4ccccc4)cc23)Oc2cc(O)cc(O)c21
CHEMBL1091884,Cc1[nH]c2ccccc2c1/C=C1\Oc2cc(O)cc(O)c2C1=O
CHEMBL1092073,CN(C)CCNC(=O)c1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4ccn(CC(F)(F)F)c4n3)cc2)cc1
CHEMBL1092397,O=C(Nc1ccc(OCCN2CCCC2)cc1)Nc1ccc(-c2nc(N3C4CCC3COC4)nc(N3C4CCC3COC4)n2)cc1
CHEMBL1092556,Nc1cccc(-c2nc(N3CCOCC3)c3[nH]ccc3n2)c1
CHEMBL1092569,Oc1cccc(-c2nc(N3CCOCC3)c3[nH]cc(C4CCNCC4)c3n2)c1
CHEMBL1092818,CN(C)C(=O)c1ccccc1-c1ccnc2c1c(/C=C1\Oc3cccc(O)c3C1=O)cn2C
CHEMBL1093629,O=C1/C(=C/c2c[nH]c3ccccc23)Oc2cc(O)cc(O)c21
CHEMBL1093685,Cn1cc(/C=C2\Oc3ccc(NC(=O)Nc4cccnc4)cc3C2=O)c2c(N3CC4CCC(C3)O4)ccnc21
CHEMBL1094981,CC(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1
CHEMBL1095259,N=C1N=C(NCCS(=O)(=O)O)/C(=C/C(O)CNC(=O)c2cc(Br)c(Br)[nH]2)N1
