pair,contrast,subset,tanimoto_cut,n_pos,n_neg,median_nn_tanimoto_dual,median_nn_tanimoto_neg,auroc,note
EGFR/HER2,D_vs_A,all,,28,38,0.4255,0.3921,0.6664,unmatched directional contrast (Table 2 arm)
EGFR/HER2,D_vs_A,chemotype_matched,0.3,28,27,0.4255,0.4265,0.6548,hard-negs with NN Tanimoto to dual >= cut
EGFR/HER2,D_vs_A,chemotype_matched,0.4,28,15,0.4255,0.4624,0.5786,hard-negs with NN Tanimoto to dual >= cut
EGFR/HER2,D_vs_A,chemotype_matched,0.5,28,7,0.4255,0.5312,0.5561,hard-negs with NN Tanimoto to dual >= cut
EGFR/HER2,D_vs_A,chemotype_distant,0.3,28,11,0.4255,0.1724,0.6948,hard-negs with NN Tanimoto to dual < 0.3
EGFR/HER2,D_vs_B,all,,28,32,0.3564,0.3672,0.4297,unmatched directional contrast (Table 2 arm)
EGFR/HER2,D_vs_B,chemotype_matched,0.3,28,25,0.3564,0.3913,0.4257,hard-negs with NN Tanimoto to dual >= cut
EGFR/HER2,D_vs_B,chemotype_matched,0.4,28,11,0.3564,0.4835,0.5584,hard-negs with NN Tanimoto to dual >= cut
EGFR/HER2,D_vs_B,chemotype_matched,0.5,28,3,0.3564,0.5474,0.3452,hard-negs with NN Tanimoto to dual >= cut
EGFR/HER2,D_vs_B,chemotype_distant,0.3,28,7,0.3564,0.2869,0.4439,hard-negs with NN Tanimoto to dual < 0.3
AChE/BChE,D_vs_A,all,,27,25,0.24,0.236,0.6504,unmatched directional contrast (Table 2 arm)
AChE/BChE,D_vs_A,chemotype_matched,0.3,27,7,0.24,0.3258,0.5714,hard-negs with NN Tanimoto to dual >= cut
AChE/BChE,D_vs_A,chemotype_matched,0.4,27,0,,,,no hard-neg with Tanimoto>=cut to any dual
AChE/BChE,D_vs_A,chemotype_matched,0.5,27,0,,,,no hard-neg with Tanimoto>=cut to any dual
AChE/BChE,D_vs_A,chemotype_distant,0.3,27,18,0.24,0.2053,0.6811,hard-negs with NN Tanimoto to dual < 0.3
AChE/BChE,D_vs_B,all,,27,28,0.3627,0.2527,0.6058,unmatched directional contrast (Table 2 arm)
AChE/BChE,D_vs_B,chemotype_matched,0.3,27,11,0.3627,0.4906,0.532,hard-negs with NN Tanimoto to dual >= cut
AChE/BChE,D_vs_B,chemotype_matched,0.4,27,9,0.3627,0.506,0.5514,hard-negs with NN Tanimoto to dual >= cut
AChE/BChE,D_vs_B,chemotype_matched,0.5,27,5,0.3627,0.6078,0.4519,hard-negs with NN Tanimoto to dual >= cut
AChE/BChE,D_vs_B,chemotype_distant,0.3,27,17,0.3627,0.2178,0.6536,hard-negs with NN Tanimoto to dual < 0.3
PIK3CA/PIK3CB,D_vs_A,all,,28,27,0.2701,0.25,0.6905,unmatched directional contrast (Table 2 arm)
PIK3CA/PIK3CB,D_vs_A,chemotype_matched,0.3,28,11,0.2701,0.3299,0.5032,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/PIK3CB,D_vs_A,chemotype_matched,0.4,28,3,0.2701,0.5873,0.4643,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/PIK3CB,D_vs_A,chemotype_matched,0.5,28,3,0.2701,0.5873,0.4643,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/PIK3CB,D_vs_A,chemotype_distant,0.3,28,16,0.2701,0.2324,0.8192,hard-negs with NN Tanimoto to dual < 0.3
PIK3CA/PIK3CB,D_vs_B,all,,28,28,0.2241,0.4194,0.5,unmatched directional contrast (Table 2 arm)
PIK3CA/PIK3CB,D_vs_B,chemotype_matched,0.3,28,22,0.2241,0.4379,0.5114,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/PIK3CB,D_vs_B,chemotype_matched,0.4,28,15,0.2241,0.4722,0.4976,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/PIK3CB,D_vs_B,chemotype_matched,0.5,28,4,0.2241,0.5604,0.3393,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/PIK3CB,D_vs_B,chemotype_distant,0.3,28,6,0.2241,0.2569,0.4583,hard-negs with NN Tanimoto to dual < 0.3
PIK3CA/mTOR,D_vs_A,all,,18,14,0.2446,0.226,0.7143,unmatched directional contrast (Table 2 arm)
PIK3CA/mTOR,D_vs_A,chemotype_matched,0.3,18,3,0.2446,0.3708,0.4815,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/mTOR,D_vs_A,chemotype_matched,0.4,18,1,0.2446,0.7895,0.2778,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/mTOR,D_vs_A,chemotype_matched,0.5,18,1,0.2446,0.7895,0.2778,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/mTOR,D_vs_A,chemotype_distant,0.3,18,11,0.2446,0.2184,0.7778,hard-negs with NN Tanimoto to dual < 0.3
PIK3CA/mTOR,D_vs_B,all,,18,12,0.2151,0.3061,0.6921,unmatched directional contrast (Table 2 arm)
PIK3CA/mTOR,D_vs_B,chemotype_matched,0.3,18,6,0.2151,0.3409,0.6667,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/mTOR,D_vs_B,chemotype_matched,0.4,18,1,0.2151,0.5915,0.8333,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/mTOR,D_vs_B,chemotype_matched,0.5,18,1,0.2151,0.5915,0.8333,hard-negs with NN Tanimoto to dual >= cut
PIK3CA/mTOR,D_vs_B,chemotype_distant,0.3,18,6,0.2151,0.266,0.7176,hard-negs with NN Tanimoto to dual < 0.3
