ligand,pair,target,document_chembl_id,reported_value,reported_unit,endpoint,evidence_tier,assay_context,construct_or_source,mutation_status,decision,incomparable_record,label_effect,evidence_location
EH120_059,EGFR/HER2,EGFR,CHEMBL1134862,29,nM,IC50,primary,"biochemical EGF-R kinase inhibition; mean of at least two tests","exact construct not reported",unspecified,include,0,"supports pIC50 7.54; class remains A_only","Sun 2002 Table 1 compound 26f"
EH120_059,EGFR/HER2,HER2,CHEMBL1134862,49.3,uM,IC50,primary_cellular_surrogate,"ligand-induced BrdU incorporation in 3T3 cells under Her2 proliferation column","receptor construct and species context not fully specified",unspecified,cellular_surrogate_only,1,"below threshold and not direct HER2 potency; class remains A_only","Sun 2002 Table 2 compound 26f and text"
EH120_045,EGFR/HER2,EGFR,CHEMBL5131445,3.9,nM,Kd,primary_comparator,"DiscoverX KINOMEscan comparator panel","commercial KINOMEscan; exact construct not reported",unspecified,include,0,none,"Ma 2022 Table 6"
EH120_045,EGFR/HER2,HER2,CHEMBL5131445,0.75,nM,Kd,primary_comparator,"DiscoverX KINOMEscan comparator panel","commercial KINOMEscan; exact construct not reported",unspecified,include,0,"supports pKd 9.12; BindingDB 76 nM rejected","Ma 2022 Table 6"
PM48_04,PIK3CA/mTOR,PIK3CA,CHEMBL5500428,1.4,nM,IC50,secondary_citation,"narrative value cited from earlier work",not_applicable,not_applicable,exclude_from_primary_only,1,"class unchanged from other rows","Hong 2024 introduction; ref 35"
PM48_04,PIK3CA/mTOR,mTOR,CHEMBL5500428,4.3,nM,IC50,secondary_citation,"narrative value cited from earlier work",not_applicable,not_applicable,exclude_from_primary_only,1,"class unchanged from Yang row","Hong 2024 introduction; ref 35"
PM48_04,PIK3CA/mTOR,mTOR,CHEMBL5620391,0.45,nM,IC50,primary_reference_control,"8/10-dose response in duplicate; Wuxi Bioduro enzyme screen","not reported in main paper",unspecified,include,0,"supports pIC50 9.35","Yang 2023 Table 1 and methods"
PM48_05,PIK3CA/mTOR,PIK3CA,CHEMBL5214883,0.1,nM,IC50,review,"review record lacks an original pictilisib assay protocol",not_applicable,not_applicable,exclude_from_primary_only,1,"remove review-derived frozen maximum; class remains dual","Bass 2021 review"
PM48_05,PIK3CA/mTOR,mTOR,CHEMBL4373732,3,nM,IC50,review_mapping_error,"3 nM is printed for PI3Kalpha; mTOR is 580 nM",not_applicable,not_applicable,exclude,1,"remove target-shifted maximum; class remains dual at theta 6","Elmenier 2019 section 4.1.6"
PM48_05,PIK3CA/mTOR,PIK3CA,CHEMBL4373732,3,nM,IC50,review,"review restatement of earlier work",not_applicable,not_applicable,secondary_only,0,"consistent with Folkes value","Elmenier 2019 section 4.1.6"
PM48_05,PIK3CA/mTOR,mTOR,CHEMBL4373732,580,nM,IC50,review,"review restatement of earlier work",not_applicable,not_applicable,secondary_only,0,"pIC50 approximately 6.24; primary Folkes source still required","Elmenier 2019 section 4.1.6"
PM48_05,PIK3CA/mTOR,PIK3CA,CHEMBL1140078,3,nM,IC50,primary,"radiometric SPA; 1 uM ATP; 33P-ATP; 1 h; mean of at least two determinations","recombinant human p110alpha/p85alpha purified GST fusion","wild type; E545K and H1047R separately tested",include,0,"supports primary pIC50 8.52; class remains dual","Folkes 2008 Table 4 and Assays"
PM48_05,PIK3CA/mTOR,mTOR,CHEMBL1140078,580,nM,Kiapp,primary,"GFP-4E-BP1 HTRF; 8 uM ATP; 30 min at 25 C; duplicate dose-response; competitive tight-binding fit","mTOR construct not reported",unspecified,include,0,"supports primary pKi 6.24; class remains dual at theta 6","Folkes 2008 Table 4 footnote b and mTOR assay"
AB_089,AChE/BChE,AChE,CHEMBL4680246,16.6,uM,IC50,primary,"Ellman assay; mean +/- SD; n=3","human erythrocyte AChE",not_applicable,include,0,none,"Sang 2020 Table 1 compound 4c"
AB_089,AChE/BChE,BChE,CHEMBL4680246,7.6,uM,IC50,primary,"Ellman assay; mean +/- SD; n=3","human serum BChE",not_applicable,include,0,none,"Sang 2020 Table 1 compound 4c"
AB_091,AChE/BChE,AChE,CHEMBL4680246,17.3,uM,IC50,primary,"Ellman assay; mean +/- SD; n=3","human erythrocyte AChE",not_applicable,include,0,none,"Sang 2020 Table 1 compound 4b"
AB_091,AChE/BChE,BChE,CHEMBL4680246,6.5,uM,IC50,primary,"Ellman assay; mean +/- SD; n=3","human serum BChE",not_applicable,include,0,none,"Sang 2020 Table 1 compound 4b"
AB_094,AChE/BChE,AChE,CHEMBL4680246,19.7,uM,IC50,primary,"Ellman assay; mean +/- SD; n=3","human erythrocyte AChE",not_applicable,include,0,none,"Sang 2020 Table 1 compound 4a"
AB_094,AChE/BChE,BChE,CHEMBL4680246,5.1,uM,IC50,primary,"Ellman assay; mean +/- SD; n=3","human serum BChE",not_applicable,include,0,none,"Sang 2020 Table 1 compound 4a"
PM48_22,PIK3CA/mTOR,mTOR,CHEMBL4765307,3000,nM,IC50,primary_reference_control,"cellular TSC1-null p-p70S6 Thr389 ELISA after 2 h","TSC1-null cells; pathway surrogate",not_applicable,exclude_from_biochemical_max,1,"class remains A_only","Cheng 2021 Table 7 and methods"
PM48_22,PIK3CA/mTOR,PIK3CA,CHEMBL5579880,1.7,nM,IC50,primary_reference_control,"ADP-Glo; 10 uM ATP; 25 uM PIP2:3PS; 60 min; six-point curve","Carna PI3Kalpha 11-101; 1.25 nM",unspecified,include,0,"supports pIC50 8.77","Shi 2024 Table 3 and enzymatic methods"
